,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,description
41,penalty,Holding,Kailer Yamamoto,Rasmus Andersson,[79. 39.],1,10:40,EDM,CGY,CGY,20,EDM,22,0,2,8479977,8478397.0,Kailer Yamamoto Holding against Rasmus Andersson
60,penalty,Slashing,Travis Hamonic,Josh Archibald,[71.  2.],1,06:17,CGY,EDM,CGY,20,EDM,22,1,2,8474612,8476326.0,Travis Hamonic Slashing against Josh Archibald
69,penalty,Fighting,Buddy Robinson,Jujhar Khaira,[46. 11.],1,04:05,CGY,EDM,CGY,20,EDM,22,1,3,8477210,8476915.0,Buddy Robinson Fighting against Jujhar Khaira
70,penalty,Fighting,Jujhar Khaira,Buddy Robinson,[54. 16.],1,04:05,EDM,CGY,CGY,20,EDM,22,1,3,8476915,8477210.0,Jujhar Khaira Fighting against Buddy Robinson
86,penalty,Tripping,Darnell Nurse,Elias Lindholm,[55. 12.],2,18:52,EDM,CGY,CGY,20,EDM,22,1,3,8477498,8477496.0,Darnell Nurse Tripping against Elias Lindholm
174,penalty,Goalie leave crease,Mike Smith,,[82.  1.],2,00:24,EDM,CGY,CGY,20,EDM,22,3,6,8469608,,Mike Smith Goalie leave crease
175,penalty,Goalie leave crease,Cam Talbot,Andrew Mangiapane,[-82.   0.],2,00:24,CGY,EDM,CGY,20,EDM,22,3,6,8475660,8478233.0,Cam Talbot Goalie leave crease served by Andrew Mangiapane
176,penalty,Roughing,Cam Talbot,Sam Gagner,[-83.  -3.],2,00:24,CGY,EDM,CGY,20,EDM,22,3,6,8475660,8474040.0,Cam Talbot Roughing against Sam Gagner
177,penalty,Roughing,Cam Talbot,Sam Gagner,[-85.  -3.],2,00:24,CGY,EDM,CGY,20,EDM,22,3,6,8475660,8474040.0,Cam Talbot Roughing against Sam Gagner
178,penalty,Fighting,Cam Talbot,Mike Smith,[-8. -8.],2,00:24,CGY,EDM,CGY,20,EDM,22,3,6,8475660,8469608.0,Cam Talbot Fighting against Mike Smith
179,penalty,Fighting,Mike Smith,Cam Talbot,[-1. -2.],2,00:24,EDM,CGY,CGY,20,EDM,22,3,6,8469608,8475660.0,Mike Smith Fighting against Cam Talbot
180,penalty,Game misconduct,Cam Talbot,,[-11.  -8.],2,00:24,CGY,EDM,CGY,20,EDM,22,3,6,8475660,,Cam Talbot Game misconduct
181,penalty,Game misconduct,Mike Smith,,[-1. -2.],2,00:24,EDM,CGY,CGY,20,EDM,22,3,6,8469608,,Mike Smith Game misconduct
182,penalty,Fighting,Matthew Tkachuk,Ethan Bear,[-51. -11.],2,00:24,CGY,EDM,CGY,20,EDM,22,3,6,8479314,8478451.0,Matthew Tkachuk Fighting against Ethan Bear
183,penalty,Fighting,Ethan Bear,Matthew Tkachuk,[-38. -12.],2,00:24,EDM,CGY,CGY,20,EDM,22,3,6,8478451,8479314.0,Ethan Bear Fighting against Matthew Tkachuk
184,penalty,Roughing,Sam Gagner,Mark Giordano,[-80.  -6.],2,00:24,EDM,CGY,CGY,20,EDM,22,3,6,8474040,8470966.0,Sam Gagner Roughing against Mark Giordano
222,penalty,Roughing,Sam Bennett,Patrick Russell,[80. -8.],3,08:43,CGY,EDM,CGY,20,EDM,22,3,6,8477935,8479466.0,Sam Bennett Roughing against Patrick Russell
223,penalty,Roughing,Patrick Russell,Sam Bennett,[76. -3.],3,08:43,EDM,CGY,CGY,20,EDM,22,3,6,8479466,8477935.0,Patrick Russell Roughing against Sam Bennett
234,penalty,Too many men on the ice,Matthew Tkachuk,,[15. 41.],3,05:26,CGY,EDM,CGY,20,EDM,22,3,7,8479314,,Too many men/ice served by Matthew Tkachuk
248,penalty,PS - Hooking on breakaway,Matthew Tkachuk,Gaetan Haas,[69. -4.],3,01:57,CGY,EDM,CGY,20,EDM,22,3,7,8479314,8481813.0,Matthew Tkachuk PS - Hooking on breakaway against Gaetan Haas
