,event,player_one,coords,period,period_time_remaining,player_one_team,player_two_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,player_one_id,game_id,winning_team,date,description
1,giveaway,Mikael Backlund,[ 83. -35.],1,19:36,CGY,EDM,CGY,20,EDM,22,0,0,8474150,2019020803,EDM,2020-02-02,Giveaway by Mikael Backlund
13,giveaway,Rasmus Andersson,[51. 41.],1,17:49,CGY,EDM,CGY,20,EDM,22,0,2,8478397,2019020803,EDM,2020-02-02,Giveaway by Rasmus Andersson
18,giveaway,Matt Benning,[-78. -37.],1,16:10,EDM,CGY,CGY,20,EDM,22,0,2,8476988,2019020803,EDM,2020-02-02,Giveaway by Matt Benning
19,giveaway,Zack Kassian,[-44.  22.],1,16:00,EDM,CGY,CGY,20,EDM,22,0,2,8475178,2019020803,EDM,2020-02-02,Giveaway by Zack Kassian
22,giveaway,Oscar Klefbom,[-87. -30.],1,15:14,EDM,CGY,CGY,20,EDM,22,0,2,8476472,2019020803,EDM,2020-02-02,Giveaway by Oscar Klefbom
34,giveaway,Zack Kassian,[-74. -10.],1,12:36,EDM,CGY,CGY,20,EDM,22,0,2,8475178,2019020803,EDM,2020-02-02,Giveaway by Zack Kassian
52,giveaway,Derek Ryan,[ 7. 41.],1,08:49,CGY,EDM,CGY,20,EDM,22,0,2,8478585,2019020803,EDM,2020-02-02,Giveaway by Derek Ryan
54,giveaway,Travis Hamonic,[36. 37.],1,08:18,CGY,EDM,CGY,20,EDM,22,0,2,8474612,2019020803,EDM,2020-02-02,Giveaway by Travis Hamonic
94,giveaway,Noah Hanifin,[33. -3.],2,16:46,CGY,EDM,CGY,20,EDM,22,1,3,8478396,2019020803,EDM,2020-02-02,Giveaway by Noah Hanifin
97,giveaway,Mike Smith,[99.  2.],2,16:27,EDM,CGY,CGY,20,EDM,22,1,4,8469608,2019020803,EDM,2020-02-02,Giveaway by Mike Smith
98,giveaway,Alex Chiasson,[-76. -24.],2,16:05,EDM,CGY,CGY,20,EDM,22,1,4,8475163,2019020803,EDM,2020-02-02,Giveaway by Alex Chiasson
105,giveaway,Darnell Nurse,[99. -2.],2,14:30,EDM,CGY,CGY,20,EDM,22,2,4,8477498,2019020803,EDM,2020-02-02,Giveaway by Darnell Nurse
112,giveaway,Josh Archibald,[ 70. -18.],2,13:36,EDM,CGY,CGY,20,EDM,22,2,4,8476326,2019020803,EDM,2020-02-02,Giveaway by Josh Archibald
113,giveaway,Andrew Mangiapane,[ 68. -28.],2,13:33,CGY,EDM,CGY,20,EDM,22,2,4,8478233,2019020803,EDM,2020-02-02,Giveaway by Andrew Mangiapane
115,giveaway,Matthew Tkachuk,[ 59. -24.],2,13:04,CGY,EDM,CGY,20,EDM,22,2,4,8479314,2019020803,EDM,2020-02-02,Giveaway by Matthew Tkachuk
122,giveaway,Cam Talbot,[-95.  -1.],2,11:28,CGY,EDM,CGY,20,EDM,22,2,4,8475660,2019020803,EDM,2020-02-02,Giveaway by Cam Talbot
128,giveaway,Ethan Bear,[84. 17.],2,09:48,EDM,CGY,CGY,20,EDM,22,2,4,8478451,2019020803,EDM,2020-02-02,Giveaway by Ethan Bear
131,giveaway,Andrew Mangiapane,[-38.  38.],2,09:35,CGY,EDM,CGY,20,EDM,22,3,4,8478233,2019020803,EDM,2020-02-02,Giveaway by Andrew Mangiapane
149,giveaway,Cam Talbot,[-97.   0.],2,05:04,CGY,EDM,CGY,20,EDM,22,3,5,8475660,2019020803,EDM,2020-02-02,Giveaway by Cam Talbot
169,giveaway,Milan Lucic,[74. 39.],2,00:58,CGY,EDM,CGY,20,EDM,22,3,6,8473473,2019020803,EDM,2020-02-02,Giveaway by Milan Lucic
171,giveaway,Gaetan Haas,[28. 18.],2,00:39,EDM,CGY,CGY,20,EDM,22,3,6,8481813,2019020803,EDM,2020-02-02,Giveaway by Gaetan Haas
226,giveaway,Matthew Tkachuk,[-39.   3.],3,07:47,CGY,EDM,CGY,20,EDM,22,3,6,8479314,2019020803,EDM,2020-02-02,Giveaway by Matthew Tkachuk
229,giveaway,Johnny Gaudreau,[37. -5.],3,07:00,CGY,EDM,CGY,20,EDM,22,3,6,8476346,2019020803,EDM,2020-02-02,Giveaway by Johnny Gaudreau
240,giveaway,Mark Giordano,[-35.  -8.],3,03:29,CGY,EDM,CGY,20,EDM,22,3,7,8470966,2019020803,EDM,2020-02-02,Giveaway by Mark Giordano
258,giveaway,Sam Bennett,[-29.  23.],3,00:34,CGY,EDM,CGY,20,EDM,22,3,8,8477935,2019020803,EDM,2020-02-02,Giveaway by Sam Bennett
30,takeaway,Riley Sheahan,[ 67. -40.],1,13:32,EDM,CGY,CGY,20,EDM,22,0,2,8475772,2019020803,EDM,2020-02-02,Takeaway by Riley Sheahan
38,takeaway,Kailer Yamamoto,[-61.  25.],1,11:29,EDM,CGY,CGY,20,EDM,22,0,2,8479977,2019020803,EDM,2020-02-02,Takeaway by Kailer Yamamoto
53,takeaway,TJ Brodie,[ 68. -36.],1,08:41,CGY,EDM,CGY,20,EDM,22,0,2,8474673,2019020803,EDM,2020-02-02,Takeaway by TJ Brodie
85,takeaway,Leon Draisaitl,[49. 39.],2,19:16,EDM,CGY,CGY,20,EDM,22,1,3,8477934,2019020803,EDM,2020-02-02,Takeaway by Leon Draisaitl
90,takeaway,Riley Sheahan,[56.  0.],2,18:19,EDM,CGY,CGY,20,EDM,22,1,3,8475772,2019020803,EDM,2020-02-02,Takeaway by Riley Sheahan
91,takeaway,Ryan Nugent-Hopkins,[-28.  20.],2,18:05,EDM,CGY,CGY,20,EDM,22,1,3,8476454,2019020803,EDM,2020-02-02,Takeaway by Ryan Nugent-Hopkins
102,takeaway,Kailer Yamamoto,[ 0. 12.],2,15:15,EDM,CGY,CGY,20,EDM,22,2,4,8479977,2019020803,EDM,2020-02-02,Takeaway by Kailer Yamamoto
110,takeaway,Dillon Dube,[ 71. -36.],2,14:02,CGY,EDM,CGY,20,EDM,22,2,4,8479346,2019020803,EDM,2020-02-02,Takeaway by Dillon Dube
135,takeaway,Ryan Nugent-Hopkins,[ 42. -35.],2,08:47,EDM,CGY,CGY,20,EDM,22,3,4,8476454,2019020803,EDM,2020-02-02,Takeaway by Ryan Nugent-Hopkins
137,takeaway,Leon Draisaitl,[-51.  15.],2,08:28,EDM,CGY,CGY,20,EDM,22,3,4,8477934,2019020803,EDM,2020-02-02,Takeaway by Leon Draisaitl
148,takeaway,Ryan Nugent-Hopkins,[ 73. -35.],2,05:25,EDM,CGY,CGY,20,EDM,22,3,5,8476454,2019020803,EDM,2020-02-02,Takeaway by Ryan Nugent-Hopkins
186,takeaway,Mark Giordano,[-41.   0.],2,00:13,CGY,EDM,CGY,20,EDM,22,3,6,8470966,2019020803,EDM,2020-02-02,Takeaway by Mark Giordano
189,takeaway,Derek Ryan,[ 37. -28.],3,19:09,CGY,EDM,CGY,20,EDM,22,3,6,8478585,2019020803,EDM,2020-02-02,Takeaway by Derek Ryan
214,takeaway,Andrew Mangiapane,[-12. -24.],3,11:25,CGY,EDM,CGY,20,EDM,22,3,6,8478233,2019020803,EDM,2020-02-02,Takeaway by Andrew Mangiapane
216,takeaway,Andrew Mangiapane,[ 7. 34.],3,10:39,CGY,EDM,CGY,20,EDM,22,3,6,8478233,2019020803,EDM,2020-02-02,Takeaway by Andrew Mangiapane
7,giveaway,Jordan Oesterle,[-41. -30.],1,19:13,ARI,EDM,ARI,53,EDM,22,0,0,8477851,2019020824,,2020-02-05,Giveaway by Jordan Oesterle
11,giveaway,Ryan Nugent-Hopkins,[ 45. -31.],1,18:49,EDM,ARI,ARI,53,EDM,22,0,0,8476454,2019020824,,2020-02-05,Giveaway by Ryan Nugent-Hopkins
23,giveaway,Zack Kassian,[38.  8.],1,16:39,EDM,ARI,ARI,53,EDM,22,0,0,8475178,2019020824,,2020-02-05,Giveaway by Zack Kassian
28,giveaway,Matt Benning,[91. 28.],1,15:38,EDM,ARI,ARI,53,EDM,22,0,0,8476988,2019020824,,2020-02-05,Giveaway by Matt Benning
38,giveaway,Oscar Klefbom,[38. 30.],1,13:51,EDM,ARI,ARI,53,EDM,22,0,0,8476472,2019020824,,2020-02-05,Giveaway by Oscar Klefbom
42,giveaway,Leon Draisaitl,[-1. -9.],1,12:22,EDM,ARI,ARI,53,EDM,22,0,0,8477934,2019020824,,2020-02-05,Giveaway by Leon Draisaitl
57,giveaway,Carl Soderberg,[39. 38.],1,08:35,ARI,EDM,ARI,53,EDM,22,0,0,8471262,2019020824,,2020-02-05,Giveaway by Carl Soderberg
60,giveaway,Alex Goligoski,[-77. -26.],1,07:35,ARI,EDM,ARI,53,EDM,22,0,0,8471274,2019020824,,2020-02-05,Giveaway by Alex Goligoski
87,giveaway,Jakob Chychrun,[-34.   6.],1,00:49,ARI,EDM,ARI,53,EDM,22,0,0,8479345,2019020824,,2020-02-05,Giveaway by Jakob Chychrun
95,giveaway,Phil Kessel,[-40.  30.],2,19:14,ARI,EDM,ARI,53,EDM,22,0,0,8473548,2019020824,,2020-02-05,Giveaway by Phil Kessel
119,giveaway,Leon Draisaitl,[ 52. -10.],2,13:26,EDM,ARI,ARI,53,EDM,22,1,0,8477934,2019020824,,2020-02-05,Giveaway by Leon Draisaitl
127,giveaway,Nick Schmaltz,[-77.  38.],2,10:52,ARI,EDM,ARI,53,EDM,22,2,0,8477951,2019020824,,2020-02-05,Giveaway by Nick Schmaltz
138,giveaway,Clayton Keller,[-95.  -1.],2,07:48,ARI,EDM,ARI,53,EDM,22,2,0,8479343,2019020824,,2020-02-05,Giveaway by Clayton Keller
143,giveaway,Alex Goligoski,[88. 33.],2,05:16,ARI,EDM,ARI,53,EDM,22,2,0,8471274,2019020824,,2020-02-05,Giveaway by Alex Goligoski
152,giveaway,Sam Gagner,[40. 34.],2,03:11,EDM,ARI,ARI,53,EDM,22,2,0,8474040,2019020824,,2020-02-05,Giveaway by Sam Gagner
208,giveaway,Darnell Nurse,[-23.   1.],3,06:55,EDM,ARI,ARI,53,EDM,22,2,0,8477498,2019020824,,2020-02-05,Giveaway by Darnell Nurse
222,giveaway,Matt Benning,[-69. -23.],3,03:49,EDM,ARI,ARI,53,EDM,22,2,0,8476988,2019020824,,2020-02-05,Giveaway by Matt Benning
9,takeaway,Taylor Hall,[-23.   2.],1,19:09,ARI,EDM,ARI,53,EDM,22,0,0,8475791,2019020824,,2020-02-05,Takeaway by Taylor Hall
67,takeaway,Riley Sheahan,[-44.  12.],1,05:29,EDM,ARI,ARI,53,EDM,22,0,0,8475772,2019020824,,2020-02-05,Takeaway by Riley Sheahan
157,takeaway,Connor McDavid,[-97.  -5.],2,01:51,EDM,ARI,ARI,53,EDM,22,2,0,8478402,2019020824,,2020-02-05,Takeaway by Connor McDavid
190,takeaway,Jakob Chychrun,[-39.  37.],3,13:16,ARI,EDM,ARI,53,EDM,22,2,0,8479345,2019020824,,2020-02-05,Takeaway by Jakob Chychrun
220,takeaway,Taylor Hall,[-34.  20.],3,05:03,ARI,EDM,ARI,53,EDM,22,2,0,8475791,2019020824,,2020-02-05,Takeaway by Taylor Hall
221,takeaway,Carl Soderberg,[-31.  39.],3,03:58,ARI,EDM,ARI,53,EDM,22,2,0,8471262,2019020824,,2020-02-05,Takeaway by Carl Soderberg
15,giveaway,Connor McDavid,[72. 38.],1,16:33,EDM,SJS,EDM,22,SJS,28,0,0,8478402,2019020837,,2020-02-07,Giveaway by Connor McDavid
27,giveaway,Oscar Klefbom,[-87.  33.],1,14:17,EDM,SJS,EDM,22,SJS,28,2,0,8476472,2019020837,,2020-02-07,Giveaway by Oscar Klefbom
50,giveaway,Leon Draisaitl,[63. 19.],1,09:16,EDM,SJS,EDM,22,SJS,28,2,0,8477934,2019020837,,2020-02-07,Giveaway by Leon Draisaitl
56,giveaway,Darnell Nurse,[-66.  -2.],1,08:21,EDM,SJS,EDM,22,SJS,28,2,1,8477498,2019020837,,2020-02-07,Giveaway by Darnell Nurse
59,giveaway,Sam Gagner,[-57. -37.],1,07:36,EDM,SJS,EDM,22,SJS,28,2,1,8474040,2019020837,,2020-02-07,Giveaway by Sam Gagner
62,giveaway,Maxim Letunov,[98. -2.],1,07:27,SJS,EDM,EDM,22,SJS,28,2,1,8477983,2019020837,,2020-02-07,Giveaway by Maxim Letunov
83,giveaway,Mario Ferraro,[-33.  34.],1,02:49,SJS,EDM,EDM,22,SJS,28,2,1,8479983,2019020837,,2020-02-07,Giveaway by Mario Ferraro
85,giveaway,Joe Thornton,[-52.  34.],1,02:18,SJS,EDM,EDM,22,SJS,28,2,1,8466138,2019020837,,2020-02-07,Giveaway by Joe Thornton
101,giveaway,Sam Gagner,[ 69. -36.],2,18:36,EDM,SJS,EDM,22,SJS,28,2,2,8474040,2019020837,,2020-02-07,Giveaway by Sam Gagner
105,giveaway,Kailer Yamamoto,[59. 39.],2,18:16,EDM,SJS,EDM,22,SJS,28,2,2,8479977,2019020837,,2020-02-07,Giveaway by Kailer Yamamoto
108,giveaway,Melker Karlsson,[65.  8.],2,17:51,SJS,EDM,EDM,22,SJS,28,2,2,8477922,2019020837,,2020-02-07,Giveaway by Melker Karlsson
110,giveaway,Darnell Nurse,[71. 38.],2,16:57,EDM,SJS,EDM,22,SJS,28,2,2,8477498,2019020837,,2020-02-07,Giveaway by Darnell Nurse
115,giveaway,Evander Kane,[ 79. -21.],2,15:59,SJS,EDM,EDM,22,SJS,28,2,2,8475169,2019020837,,2020-02-07,Giveaway by Evander Kane
122,giveaway,Evander Kane,[-57.  37.],2,14:49,SJS,EDM,EDM,22,SJS,28,2,2,8475169,2019020837,,2020-02-07,Giveaway by Evander Kane
139,giveaway,Brent Burns,[ 98. -13.],2,11:38,SJS,EDM,EDM,22,SJS,28,2,3,8470613,2019020837,,2020-02-07,Giveaway by Brent Burns
144,giveaway,Alexander True,[-71. -10.],2,10:56,SJS,EDM,EDM,22,SJS,28,2,3,8480384,2019020837,,2020-02-07,Giveaway by Alexander True
156,giveaway,Timo Meier,[40. 17.],2,06:40,SJS,EDM,EDM,22,SJS,28,2,4,8478414,2019020837,,2020-02-07,Giveaway by Timo Meier
