,event,player_one,coords,period,period_time_remaining,player_one_team,player_two_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,player_one_id,description
2,giveaway,Sami Niku,[ 47. -40.],1,19:43,WPG,NSH,WPG,52,NSH,18,0,0,8478915,Giveaway by Sami Niku
22,giveaway,Mikael Granlund,[-73. -16.],1,15:35,NSH,WPG,WPG,52,NSH,18,1,0,8475798,Giveaway by Mikael Granlund
26,giveaway,Nikolaj Ehlers,[ 50. -40.],1,14:50,WPG,NSH,WPG,52,NSH,18,1,0,8477940,Giveaway by Nikolaj Ehlers
31,giveaway,Dmitry Kulikov,[32. 40.],1,13:25,WPG,NSH,WPG,52,NSH,18,1,0,8475179,Giveaway by Dmitry Kulikov
33,giveaway,Josh Morrissey,[ 32. -39.],1,13:18,WPG,NSH,WPG,52,NSH,18,1,0,8477504,Giveaway by Josh Morrissey
39,giveaway,Connor Hellebuyck,[ 46. -40.],1,12:04,WPG,NSH,WPG,52,NSH,18,1,0,8476945,Giveaway by Connor Hellebuyck
52,giveaway,Mason Appleton,[32. -4.],1,09:20,WPG,NSH,WPG,52,NSH,18,1,0,8478891,Giveaway by Mason Appleton
64,giveaway,Jansen Harkins,[ 33. -36.],1,07:28,WPG,NSH,WPG,52,NSH,18,1,0,8478424,Giveaway by Jansen Harkins
71,giveaway,Yakov Trenin,[-36. -38.],1,06:06,NSH,WPG,WPG,52,NSH,18,1,0,8478508,Giveaway by Yakov Trenin
73,giveaway,Colton Sissons,[-48.   2.],1,06:01,NSH,WPG,WPG,52,NSH,18,1,0,8476925,Giveaway by Colton Sissons
79,giveaway,Colton Sissons,[99. -1.],1,05:09,NSH,WPG,WPG,52,NSH,18,1,0,8476925,Giveaway by Colton Sissons
91,giveaway,Luca Sbisa,[ 75. -17.],1,02:26,WPG,NSH,WPG,52,NSH,18,1,0,8474579,Giveaway by Luca Sbisa
94,giveaway,Dante Fabbro,[-36. -27.],1,02:17,NSH,WPG,WPG,52,NSH,18,1,1,8479371,Giveaway by Dante Fabbro
102,giveaway,Nick Bonino,[-38. -29.],1,00:11,NSH,WPG,WPG,52,NSH,18,1,1,8474009,Giveaway by Nick Bonino
113,giveaway,Mattias Ekholm,[ 60. -40.],2,16:21,NSH,WPG,WPG,52,NSH,18,1,1,8475218,Giveaway by Mattias Ekholm
117,giveaway,Dmitry Kulikov,[-36. -38.],2,14:29,WPG,NSH,WPG,52,NSH,18,1,1,8475179,Giveaway by Dmitry Kulikov
151,giveaway,Matt Irwin,[ 75. -36.],2,07:00,NSH,WPG,WPG,52,NSH,18,1,1,8475625,Giveaway by Matt Irwin
161,giveaway,Patrik Laine,[55. 27.],2,05:30,WPG,NSH,WPG,52,NSH,18,1,1,8479339,Giveaway by Patrik Laine
175,giveaway,Jack Roslovic,[-35. -39.],2,01:58,WPG,NSH,WPG,52,NSH,18,1,1,8478458,Giveaway by Jack Roslovic
190,giveaway,Anthony Bitetto,[69. 39.],3,18:22,WPG,NSH,WPG,52,NSH,18,1,1,8475868,Giveaway by Anthony Bitetto
192,giveaway,Jack Roslovic,[38. 37.],3,17:38,WPG,NSH,WPG,52,NSH,18,1,1,8478458,Giveaway by Jack Roslovic
195,giveaway,Nikolaj Ehlers,[ 49. -30.],3,16:04,WPG,NSH,WPG,52,NSH,18,1,1,8477940,Giveaway by Nikolaj Ehlers
202,giveaway,Dmitry Kulikov,[46. 38.],3,14:24,WPG,NSH,WPG,52,NSH,18,1,1,8475179,Giveaway by Dmitry Kulikov
204,giveaway,Dmitry Kulikov,[35. 39.],3,13:53,WPG,NSH,WPG,52,NSH,18,1,1,8475179,Giveaway by Dmitry Kulikov
210,giveaway,Nicholas Shore,[35. 40.],3,12:16,WPG,NSH,WPG,52,NSH,18,1,1,8476406,Giveaway by Nicholas Shore
247,giveaway,Neal Pionk,[ 33. -38.],3,02:55,WPG,NSH,WPG,52,NSH,18,1,1,8480145,Giveaway by Neal Pionk
264,giveaway,Josh Morrissey,[ 18. -36.],4,03:56,WPG,NSH,WPG,52,NSH,18,1,1,8477504,Giveaway by Josh Morrissey
23,takeaway,Kyle Turris,[ 25. -36.],1,15:14,NSH,WPG,WPG,52,NSH,18,1,0,8474068,Takeaway by Kyle Turris
27,takeaway,Mark Scheifele,[85. 18.],1,14:35,WPG,NSH,WPG,52,NSH,18,1,0,8476460,Takeaway by Mark Scheifele
28,takeaway,Viktor Arvidsson,[-30. -22.],1,14:26,NSH,WPG,WPG,52,NSH,18,1,0,8478042,Takeaway by Viktor Arvidsson
30,takeaway,Nicholas Shore,[ 52. -35.],1,13:42,WPG,NSH,WPG,52,NSH,18,1,0,8476406,Takeaway by Nicholas Shore
122,takeaway,Andrew Copp,[-68.  39.],2,13:11,WPG,NSH,WPG,52,NSH,18,1,1,8477429,Takeaway by Andrew Copp
153,takeaway,Anthony Bitetto,[32. 39.],2,06:45,WPG,NSH,WPG,52,NSH,18,1,1,8475868,Takeaway by Anthony Bitetto
