,event,player_one,coords,period,period_time_remaining,player_one_team,player_two_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,player_one_id,description
5,giveaway,Semyon Varlamov,[-94.   2.],1,18:59,NYI,DAL,NYI,2,DAL,25,0,0,8473575,Giveaway by Semyon Varlamov
32,giveaway,Blake Comeau,[66. 35.],1,14:14,DAL,NYI,NYI,2,DAL,25,1,0,8471260,Giveaway by Blake Comeau
34,giveaway,Esa Lindell,[70. 31.],1,13:55,DAL,NYI,NYI,2,DAL,25,1,0,8476902,Giveaway by Esa Lindell
37,giveaway,Devon Toews,[-93. -21.],1,13:25,NYI,DAL,NYI,2,DAL,25,1,0,8478038,Giveaway by Devon Toews
39,giveaway,Roope Hintz,[-93.  14.],1,13:09,DAL,NYI,NYI,2,DAL,25,1,0,8478449,Giveaway by Roope Hintz
40,giveaway,John Klingberg,[63. 35.],1,12:49,DAL,NYI,NYI,2,DAL,25,1,0,8475906,Giveaway by John Klingberg
53,giveaway,Mattias Janmark,[ 57. -38.],1,10:28,DAL,NYI,NYI,2,DAL,25,1,0,8477406,Giveaway by Mattias Janmark
79,giveaway,Tyler Seguin,[49. 37.],1,04:01,DAL,NYI,NYI,2,DAL,25,1,1,8475794,Giveaway by Tyler Seguin
90,giveaway,Leo Komarov,[-67.  23.],1,01:18,NYI,DAL,NYI,2,DAL,25,1,1,8473463,Giveaway by Leo Komarov
92,giveaway,Casey Cizikas,[-6. 25.],1,01:12,NYI,DAL,NYI,2,DAL,25,1,1,8475231,Giveaway by Casey Cizikas
99,giveaway,John Klingberg,[16. 17.],1,00:09,DAL,NYI,NYI,2,DAL,25,1,1,8475906,Giveaway by John Klingberg
104,giveaway,Casey Cizikas,[44. 17.],2,19:25,NYI,DAL,NYI,2,DAL,25,1,1,8475231,Giveaway by Casey Cizikas
105,giveaway,Matt Martin,[ 60. -37.],2,19:18,NYI,DAL,NYI,2,DAL,25,1,1,8474709,Giveaway by Matt Martin
122,giveaway,Roman Polak,[-86. -22.],2,16:00,DAL,NYI,NYI,2,DAL,25,1,1,8471392,Giveaway by Roman Polak
132,giveaway,Jamie Oleksiak,[ 34. -35.],2,13:34,DAL,NYI,NYI,2,DAL,25,1,1,8476467,Giveaway by Jamie Oleksiak
153,giveaway,Corey Perry,[75. 37.],2,09:08,DAL,NYI,NYI,2,DAL,25,1,1,8470621,Giveaway by Corey Perry
156,giveaway,Brock Nelson,[-26.  31.],2,07:51,NYI,DAL,NYI,2,DAL,25,1,1,8475754,Giveaway by Brock Nelson
161,giveaway,Mathew Barzal,[ 30. -20.],2,06:51,NYI,DAL,NYI,2,DAL,25,1,2,8478445,Giveaway by Mathew Barzal
167,giveaway,Corey Perry,[-34. -39.],2,05:06,DAL,NYI,NYI,2,DAL,25,2,2,8470621,Giveaway by Corey Perry
168,giveaway,Ben Bishop,[-76.  -7.],2,04:44,DAL,NYI,NYI,2,DAL,25,2,2,8471750,Giveaway by Ben Bishop
