,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,description
13,penalty,Holding the stick,Brayden Schenn,Jordan Staal,[80. -1.],1,16:18,STL,CAR,STL,19,CAR,12,1,0,8475170,8473533.0,Brayden Schenn Holding the stick against Jordan Staal
51,penalty,Roughing,Vince Dunn,Andrei Svechnikov,[-49.  38.],1,04:25,STL,CAR,STL,19,CAR,12,1,0,8478407,8480830.0,Vince Dunn Roughing against Andrei Svechnikov
52,penalty,Roughing,Andrei Svechnikov,Vince Dunn,[-40.  39.],1,04:25,CAR,STL,STL,19,CAR,12,1,0,8480830,8478407.0,Andrei Svechnikov Roughing against Vince Dunn
56,penalty,Holding,Sebastian Aho,Robert Thomas,[-22.  20.],1,02:51,CAR,STL,STL,19,CAR,12,1,0,8478427,8480023.0,Sebastian Aho Holding against Robert Thomas
71,penalty,Hooking,Vince Dunn,Martin Necas,[58. 39.],2,18:08,STL,CAR,STL,19,CAR,12,2,0,8478407,8480039.0,Vince Dunn Hooking against Martin Necas
94,penalty,Slashing,Jordan Martinook,Jaden Schwartz,[-36.  -2.],2,12:41,CAR,STL,STL,19,CAR,12,3,1,8476921,8475768.0,Jordan Martinook Slashing against Jaden Schwartz
107,penalty,Hooking,Jake Gardiner,David Perron,[-69.   0.],2,09:02,CAR,STL,STL,19,CAR,12,4,1,8474581,8474102.0,Jake Gardiner Hooking against David Perron
154,penalty,Tripping,Sammy Blais,Andrei Svechnikov,[-14. -22.],3,12:18,STL,CAR,STL,19,CAR,12,5,1,8478104,8480830.0,Sammy Blais Tripping against Andrei Svechnikov
175,penalty,Hooking,Alexander Steen,Martin Necas,[10.  4.],3,04:57,STL,CAR,STL,19,CAR,12,6,2,8470257,8480039.0,Alexander Steen Hooking against Martin Necas
186,penalty,Slashing,Martin Necas,Zach Sanford,[ 43. -38.],3,02:20,CAR,STL,STL,19,CAR,12,6,3,8480039,8477482.0,Martin Necas Slashing against Zach Sanford
41,penalty,Holding,Jay Bouwmeester,Kyle Connor,[-62.  28.],1,08:32,STL,WPG,STL,19,WPG,52,0,1,8470151,8478398.0,Jay Bouwmeester Holding against Kyle Connor
46,penalty,Hooking,Blake Wheeler,Alexander Steen,[19.  3.],1,07:44,WPG,STL,STL,19,WPG,52,0,1,8471218,8470257.0,Blake Wheeler Hooking against Alexander Steen
49,penalty,Tripping,Nikolaj Ehlers,Jaden Schwartz,[  1. -20.],1,07:25,WPG,STL,STL,19,WPG,52,0,1,8477940,8475768.0,Nikolaj Ehlers Tripping against Jaden Schwartz
118,penalty,Holding,Sami Niku,Sammy Blais,[-66.  13.],2,10:37,WPG,STL,STL,19,WPG,52,0,2,8478915,8478104.0,Sami Niku Holding against Sammy Blais
8,penalty,Tripping,Joel Kiviranta,Ivan Barbashev,[-30. -30.],1,17:31,DAL,STL,STL,19,DAL,25,0,0,8481641,8477964.0,Joel Kiviranta Tripping against Ivan Barbashev
19,penalty,Boarding,Jamie Benn,Ivan Barbashev,[-66. -40.],1,13:45,DAL,STL,STL,19,DAL,25,0,0,8473994,8477964.0,Jamie Benn Boarding against Ivan Barbashev
