,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,description
49,penalty,Hi-sticking,John Tavares,Dominic Toninato,[1. 2.],1,07:39,TOR,FLA,TOR,10,FLA,13,0,1,8475166,8476952.0,John Tavares Hi-sticking against Dominic Toninato
95,penalty,Tripping,Mike Matheson,Pierre Engvall,[ 89. -32.],2,17:38,FLA,TOR,TOR,10,FLA,13,0,1,8476875,8478115.0,Mike Matheson Tripping against Pierre Engvall
148,penalty,Slashing,Jayce Hawryluk,Jason Spezza,[69. 22.],2,02:57,FLA,TOR,TOR,10,FLA,13,1,1,8477963,8469455.0,Jayce Hawryluk Slashing against Jason Spezza
177,penalty,Hooking,Mitchell Marner,Vincent Trocheck,[79. -8.],3,16:49,TOR,FLA,TOR,10,FLA,13,3,2,8478483,8476389.0,Mitchell Marner Hooking against Vincent Trocheck
188,penalty,Tripping,Mike Hoffman,Auston Matthews,[-20.   9.],3,13:27,FLA,TOR,TOR,10,FLA,13,3,3,8474884,8479318.0,Mike Hoffman Tripping against Auston Matthews
121,penalty,Tripping,Mike Matheson,Sonny Milano,[-76.   3.],2,12:04,FLA,CBJ,CBJ,29,FLA,13,0,0,8476875,8477947.0,Mike Matheson Tripping against Sonny Milano
158,penalty,Hi stick - double minor,Scott Harrington,Colton Sceviour,[32. 25.],2,02:10,CBJ,FLA,CBJ,29,FLA,13,0,0,8476449,8474098.0,Scott Harrington Hi stick - double minor against Colton Sceviour
55,penalty,Hi-sticking,Dominic Toninato,Paul Stastny,[-72.  23.],1,07:01,FLA,VGK,FLA,13,VGK,54,0,1,8476952,8471669.0,Dominic Toninato Hi-sticking against Paul Stastny
70,penalty,Hooking,Mark Stone,Jonathan Huberdeau,[-33. -19.],1,04:53,VGK,FLA,FLA,13,VGK,54,0,1,8475913,8476456.0,Mark Stone Hooking against Jonathan Huberdeau
77,penalty,Missing key [PD_151],William Carrier,,[-84.   3.],1,03:38,VGK,FLA,FLA,13,VGK,54,1,1,8477478,,Delaying Game - Unsucc. chlg served by William Carrier
118,penalty,Cross checking,Brayden McNabb,Evgenii Dadonov,[84.  4.],2,15:35,VGK,FLA,FLA,13,VGK,54,1,2,8475188,8474149.0,Brayden McNabb Cross checking against Evgenii Dadonov
119,penalty,Interference - Goalkeeper,Evgenii Dadonov,Marc-Andre Fleury,[86.  0.],2,15:35,FLA,VGK,FLA,13,VGK,54,1,2,8474149,8470594.0,Evgenii Dadonov Interference - Goalkeeper against Marc-Andre Fleury
132,penalty,PS - Tripping on breakaway,William Carrier,Brett Connolly,[69. -1.],2,13:20,VGK,FLA,FLA,13,VGK,54,1,2,8477478,8475792.0,William Carrier PS - Tripping on breakaway against Brett Connolly
160,penalty,Tripping,Keith Yandle,Tomas Nosek,[-17.  42.],2,06:03,FLA,VGK,FLA,13,VGK,54,2,3,8471735,8477931.0,Keith Yandle Tripping against Tomas Nosek
170,penalty,Too many men on the ice,Brett Connolly,,[17. 37.],2,02:53,FLA,VGK,FLA,13,VGK,54,2,3,8475792,,Too many men/ice served by Brett Connolly
188,penalty,Holding,Josh Brown,William Carrier,[80. -1.],3,17:53,FLA,VGK,FLA,13,VGK,54,2,4,8477384,8477478.0,Josh Brown Holding against William Carrier
194,penalty,Hooking,Reilly Smith,Frank Vatrano,[-95. -22.],3,16:18,VGK,FLA,FLA,13,VGK,54,2,4,8475191,8478366.0,Reilly Smith Hooking against Frank Vatrano
209,penalty,Interference - Goalkeeper,Dominic Toninato,Marc-Andre Fleury,[-85.   1.],3,12:09,FLA,VGK,FLA,13,VGK,54,2,5,8476952,8470594.0,Dominic Toninato Interference - Goalkeeper against Marc-Andre Fleury
24,penalty,Holding,Kris Letang,Vincent Trocheck,[-75.  26.],1,15:38,PIT,FLA,FLA,13,PIT,5,0,0,8471724,8476389.0,Kris Letang Holding against Vincent Trocheck
79,penalty,Hooking,Marcus Pettersson,Evgenii Dadonov,[-79.   1.],1,01:18,PIT,FLA,FLA,13,PIT,5,1,2,8477969,8474149.0,Marcus Pettersson Hooking against Evgenii Dadonov
90,penalty,Tripping,Frank Vatrano,Jared McCann,[-59.   2.],2,17:40,FLA,PIT,FLA,13,PIT,5,1,2,8478366,8477955.0,Frank Vatrano Tripping against Jared McCann
153,penalty,Hooking,Juuso Riikola,Jonathan Huberdeau,[68. -4.],2,03:51,PIT,FLA,FLA,13,PIT,5,2,3,8480945,8476456.0,Juuso Riikola Hooking against Jonathan Huberdeau
50,penalty,Tripping,Sean Couturier,Evgenii Dadonov,[-62. -36.],1,09:01,PHI,FLA,PHI,4,FLA,13,0,1,8476461,8474149.0,Sean Couturier Tripping against Evgenii Dadonov
75,penalty,Tripping,Jayce Hawryluk,Claude Giroux,[-12.  39.],1,02:32,FLA,PHI,PHI,4,FLA,13,1,1,8477963,8473512.0,Jayce Hawryluk Tripping against Claude Giroux
