,event,player_one,coords,period,period_time_remaining,player_one_team,player_two_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,player_one_id,description
5,giveaway,Alex Biega,[-31.  13.],1,18:39,DET,PHI,DET,17,PHI,4,0,0,8473415,Giveaway by Alex Biega
9,giveaway,Filip Hronek,[97. 11.],1,17:12,DET,PHI,DET,17,PHI,4,0,0,8479425,Giveaway by Filip Hronek
23,giveaway,Trevor Daley,[-38.  38.],1,13:00,DET,PHI,DET,17,PHI,4,0,0,8470110,Giveaway by Trevor Daley
39,giveaway,Justin Abdelkader,[ 47. -28.],1,09:05,DET,PHI,DET,17,PHI,4,0,0,8471716,Giveaway by Justin Abdelkader
56,giveaway,Madison Bowey,[80. 26.],1,04:43,DET,PHI,DET,17,PHI,4,0,0,8477474,Giveaway by Madison Bowey
97,giveaway,Travis Sanheim,[-31.  -2.],2,11:32,PHI,DET,DET,17,PHI,4,0,0,8477948,Giveaway by Travis Sanheim
124,giveaway,Philippe Myers,[-84.  17.],2,04:39,PHI,DET,DET,17,PHI,4,0,1,8479026,Giveaway by Philippe Myers
128,giveaway,Dennis Cholowski,[-86.  -9.],2,04:01,DET,PHI,DET,17,PHI,4,0,1,8479395,Giveaway by Dennis Cholowski
136,giveaway,Ivan Provorov,[58. 26.],2,01:40,PHI,DET,DET,17,PHI,4,0,1,8478500,Giveaway by Ivan Provorov
162,giveaway,Jonathan Bernier,[96. -2.],3,14:31,DET,PHI,DET,17,PHI,4,0,2,8473541,Giveaway by Jonathan Bernier
163,giveaway,Michael Raffl,[97. -5.],3,14:17,PHI,DET,DET,17,PHI,4,0,2,8477290,Giveaway by Michael Raffl
165,giveaway,Andreas Athanasiou,[-76.  13.],3,13:13,DET,PHI,DET,17,PHI,4,0,2,8476960,Giveaway by Andreas Athanasiou
180,giveaway,Travis Sanheim,[-97. -11.],3,10:55,PHI,DET,DET,17,PHI,4,0,2,8477948,Giveaway by Travis Sanheim
184,giveaway,Jakub Voracek,[-40. -37.],3,08:57,PHI,DET,DET,17,PHI,4,0,2,8474161,Giveaway by Jakub Voracek
186,giveaway,Robby Fabbri,[45. 16.],3,08:21,DET,PHI,DET,17,PHI,4,0,2,8477952,Giveaway by Robby Fabbri
191,giveaway,Robert Hagg,[-41.  36.],3,07:04,PHI,DET,DET,17,PHI,4,0,2,8477462,Giveaway by Robert Hagg
193,giveaway,Filip Hronek,[77.  2.],3,06:00,DET,PHI,DET,17,PHI,4,0,2,8479425,Giveaway by Filip Hronek
53,takeaway,Jakub Voracek,[ -9. -13.],1,05:18,PHI,DET,DET,17,PHI,4,0,0,8474161,Takeaway by Jakub Voracek
76,takeaway,Travis Sanheim,[72. 29.],2,17:58,PHI,DET,DET,17,PHI,4,0,0,8477948,Takeaway by Travis Sanheim
132,takeaway,Andreas Athanasiou,[20. -8.],2,02:43,DET,PHI,DET,17,PHI,4,0,1,8476960,Takeaway by Andreas Athanasiou
157,takeaway,Kevin Hayes,[-37. -11.],3,17:19,PHI,DET,DET,17,PHI,4,0,1,8475763,Takeaway by Kevin Hayes
171,takeaway,Robby Fabbri,[-76.  -1.],3,12:31,DET,PHI,DET,17,PHI,4,0,2,8477952,Takeaway by Robby Fabbri
205,takeaway,Kevin Hayes,[-91.  27.],3,01:23,PHI,DET,DET,17,PHI,4,0,3,8475763,Takeaway by Kevin Hayes
6,giveaway,Travis Konecny,[-71.  40.],1,18:42,PHI,NJD,PHI,4,NJD,1,0,1,8478439,Giveaway by Travis Konecny
7,giveaway,Jack Hughes,[-92. -29.],1,18:39,NJD,PHI,PHI,4,NJD,1,0,1,8481559,Giveaway by Jack Hughes
25,giveaway,Jesper Bratt,[62. -8.],1,11:22,NJD,PHI,PHI,4,NJD,1,0,1,8479407,Giveaway by Jesper Bratt
61,giveaway,James van Riemsdyk,[ 28. -27.],1,01:45,PHI,NJD,PHI,4,NJD,1,0,1,8474037,Giveaway by James van Riemsdyk
64,giveaway,Ivan Provorov,[ 24. -33.],1,01:39,PHI,NJD,PHI,4,NJD,1,0,1,8478500,Giveaway by Ivan Provorov
67,giveaway,Matt Niskanen,[-39.  37.],1,00:42,PHI,NJD,PHI,4,NJD,1,0,1,8471702,Giveaway by Matt Niskanen
87,giveaway,Andy Greene,[96. -7.],2,16:25,NJD,PHI,PHI,4,NJD,1,0,2,8472382,Giveaway by Andy Greene
89,giveaway,Scott Laughton,[  3. -32.],2,15:16,PHI,NJD,PHI,4,NJD,1,0,2,8476872,Giveaway by Scott Laughton
94,giveaway,Joey Anderson,[56. 35.],2,13:31,NJD,PHI,PHI,4,NJD,1,0,2,8479315,Giveaway by Joey Anderson
96,giveaway,Michael Raffl,[  9. -11.],2,12:50,PHI,NJD,PHI,4,NJD,1,0,2,8477290,Giveaway by Michael Raffl
115,giveaway,Ivan Provorov,[30. 34.],2,08:05,PHI,NJD,PHI,4,NJD,1,0,2,8478500,Giveaway by Ivan Provorov
142,giveaway,Andy Greene,[91. 31.],2,03:07,NJD,PHI,PHI,4,NJD,1,0,2,8472382,Giveaway by Andy Greene
163,giveaway,Mirco Mueller,[-96.  21.],3,15:54,NJD,PHI,PHI,4,NJD,1,0,3,8477509,Giveaway by Mirco Mueller
168,giveaway,Mackenzie Blackwood,[-98.   4.],3,15:22,NJD,PHI,PHI,4,NJD,1,0,4,8478406,Giveaway by Mackenzie Blackwood
193,giveaway,Ivan Provorov,[ 97. -11.],3,09:22,PHI,NJD,PHI,4,NJD,1,0,4,8478500,Giveaway by Ivan Provorov
196,giveaway,Travis Sanheim,[98.  3.],3,09:03,PHI,NJD,PHI,4,NJD,1,0,4,8477948,Giveaway by Travis Sanheim
221,giveaway,Andy Greene,[-96.   8.],3,01:14,NJD,PHI,PHI,4,NJD,1,0,5,8472382,Giveaway by Andy Greene
226,giveaway,Mackenzie Blackwood,[-85.   2.],3,00:07,NJD,PHI,PHI,4,NJD,1,0,5,8478406,Giveaway by Mackenzie Blackwood
