,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,game_id,winning_team,date,description
3,penalty,Slashing,Alex Ovechkin,Jared McCann,[-5. 21.],1,19:25,WSH,PIT,WSH,15,PIT,5,0,0,8471214,8477955.0,2019020806,,2020-02-02,Alex Ovechkin Slashing against Jared McCann
23,penalty,Roughing,Jack Johnson,Garnet Hathaway,[-89. -21.],1,15:51,PIT,WSH,WSH,15,PIT,5,0,0,8471677,8477903.0,2019020806,,2020-02-02,Jack Johnson Roughing against Garnet Hathaway
24,penalty,Roughing,Garnet Hathaway,Jack Johnson,[-89. -18.],1,15:51,WSH,PIT,WSH,15,PIT,5,0,0,8477903,8471677.0,2019020806,,2020-02-02,Garnet Hathaway Roughing against Jack Johnson
31,penalty,Tripping,John Marino,Lars Eller,[-30.  -1.],1,14:18,PIT,WSH,WSH,15,PIT,5,0,0,8478507,8474189.0,2019020806,,2020-02-02,John Marino Tripping against Lars Eller
44,penalty,Interference,Lars Eller,Patric Hornqvist,[-4. 39.],1,11:42,WSH,PIT,WSH,15,PIT,5,0,0,8474189,8471887.0,2019020806,,2020-02-02,Lars Eller Interference against Patric Hornqvist
96,penalty,Holding the stick,Dominik Simon,Lars Eller,[-70. -13.],1,02:55,PIT,WSH,WSH,15,PIT,5,1,2,8478866,8474189.0,2019020806,,2020-02-02,Dominik Simon Holding the stick against Lars Eller
127,penalty,Slashing,Jonas Siegenthaler,Alex Galchenyuk,[-75.  -2.],2,16:43,WSH,PIT,WSH,15,PIT,5,1,2,8478399,8476851.0,2019020806,,2020-02-02,Jonas Siegenthaler Slashing against Alex Galchenyuk
177,penalty,Interference,Sidney Crosby,T.J. Oshie,[-16.  39.],2,06:33,PIT,WSH,WSH,15,PIT,5,1,3,8471675,8471698.0,2019020806,,2020-02-02,Sidney Crosby Interference against T.J. Oshie
188,penalty,Too many men on the ice,Brendan Leipsic,,[-39.  34.],2,04:17,WSH,PIT,WSH,15,PIT,5,1,3,8476894,,2019020806,,2020-02-02,Too many men/ice served by Brendan Leipsic
201,penalty,Cross checking,Kris Letang,Tom Wilson,[-78.   5.],3,19:43,PIT,WSH,WSH,15,PIT,5,1,3,8471724,8476880.0,2019020806,,2020-02-02,Kris Letang Cross checking against Tom Wilson
202,penalty,Hi-sticking,Tom Wilson,Kris Letang,[-80.  13.],3,19:43,WSH,PIT,WSH,15,PIT,5,1,3,8476880,8471724.0,2019020806,,2020-02-02,Tom Wilson Hi-sticking against Kris Letang
211,penalty,Slashing,Dmitry Orlov,Sidney Crosby,[54.  9.],3,18:06,WSH,PIT,WSH,15,PIT,5,1,3,8475200,8471675.0,2019020806,,2020-02-02,Dmitry Orlov Slashing against Sidney Crosby
261,penalty,Hi-sticking,Carl Hagelin,Chad Ruhwedel,[-19. -11.],3,09:19,WSH,PIT,WSH,15,PIT,5,2,3,8474176,8477244.0,2019020806,,2020-02-02,Carl Hagelin Hi-sticking against Chad Ruhwedel
52,penalty,Tripping,Zach Aston-Reese,Steven Stamkos,[-43.  39.],1,09:50,PIT,TBL,TBL,14,PIT,5,1,0,8479944,8474564.0,2019020829,,2020-02-07,Zach Aston-Reese Tripping against Steven Stamkos
97,penalty,Interference,Cedric Paquette,Sidney Crosby,[-73. -12.],1,00:56,TBL,PIT,TBL,14,PIT,5,2,0,8476975,8471675.0,2019020829,,2020-02-07,Cedric Paquette Interference against Sidney Crosby
102,penalty,Tripping,Patric Hornqvist,Alex Killorn,[-68.  22.],1,00:10,PIT,TBL,TBL,14,PIT,5,2,0,8471887,8473986.0,2019020829,,2020-02-07,Patric Hornqvist Tripping against Alex Killorn
116,penalty,Tripping,Brayden Point,Patric Hornqvist,[61. 26.],2,17:49,TBL,PIT,TBL,14,PIT,5,2,0,8478010,8471887.0,2019020829,,2020-02-07,Brayden Point Tripping against Patric Hornqvist
161,penalty,Tripping,Matt Murray,Evgeni Malkin,[-85.  -6.],2,07:55,PIT,TBL,TBL,14,PIT,5,3,1,8476899,8471215.0,2019020829,,2020-02-07,Matt Murray Tripping against Anthony Cirelli served by Evgeni Malkin
207,penalty,Roughing,Patric Hornqvist,Alex Killorn,[-97.  -1.],3,18:00,PIT,TBL,TBL,14,PIT,5,3,1,8471887,8473986.0,2019020829,,2020-02-07,Patric Hornqvist Roughing against Alex Killorn
208,penalty,Roughing,Alex Killorn,Patric Hornqvist,[-95.   0.],3,18:00,TBL,PIT,TBL,14,PIT,5,3,1,8473986,8471887.0,2019020829,,2020-02-07,Alex Killorn Roughing against Patric Hornqvist
228,penalty,Hooking,Pat Maroon,Chad Ruhwedel,[-7. 39.],3,13:07,TBL,PIT,TBL,14,PIT,5,3,2,8474034,8477244.0,2019020829,,2020-02-07,Pat Maroon Hooking against Chad Ruhwedel
