,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,game_id,winning_team,date,description
119,penalty,Holding,Michael Del Zotto,Matt Luff,[97.  6.],2,15:54,ANA,LAK,LAK,26,ANA,24,0,2,8474584,8479644.0,2019020804,ANA,2020-02-02,Michael Del Zotto Holding against Matt Luff
131,penalty,Holding,Adrian Kempe,Michael Del Zotto,[-51.  -1.],2,12:49,LAK,ANA,LAK,26,ANA,24,0,3,8477960,8474584.0,2019020804,ANA,2020-02-02,Adrian Kempe Holding against Michael Del Zotto
140,penalty,Fighting,Kurtis MacDermid,Nicolas Deslauriers,[-59.  -1.],2,10:23,LAK,ANA,LAK,26,ANA,24,0,3,8477073,8475235.0,2019020804,ANA,2020-02-02,Kurtis MacDermid Fighting against Nicolas Deslauriers
141,penalty,Fighting,Nicolas Deslauriers,Kurtis MacDermid,[-69.  -2.],2,10:23,ANA,LAK,LAK,26,ANA,24,0,3,8475235,8477073.0,2019020804,ANA,2020-02-02,Nicolas Deslauriers Fighting against Kurtis MacDermid
166,penalty,Holding,Cam Fowler,Jeff Carter,[ 79. -15.],2,03:42,ANA,LAK,LAK,26,ANA,24,0,3,8475764,8470604.0,2019020804,ANA,2020-02-02,Cam Fowler Holding against Jeff Carter
12,penalty,Hooking,Carl Hagelin,Blake Lizotte,[ 61. -10.],1,16:27,WSH,LAK,WSH,15,LAK,26,0,0,8474176,8481481.0,2019020817,,2020-02-05,Carl Hagelin Hooking against Blake Lizotte
27,penalty,Slashing,Kurtis MacDermid,T.J. Oshie,[-55.  31.],1,10:24,LAK,WSH,WSH,15,LAK,26,0,0,8477073,8471698.0,2019020817,,2020-02-05,Kurtis MacDermid Slashing against T.J. Oshie
138,penalty,Holding,Martin Fehervary,Austin Wagner,[87. 16.],2,00:21,WSH,LAK,WSH,15,LAK,26,1,1,8480796,8478455.0,2019020817,,2020-02-05,Martin Fehervary Holding against Austin Wagner
139,penalty,Hooking,Mathew Barzal,Dustin Brown,[95. 21.],2,07:06,NYI,LAK,NYI,2,LAK,26,2,3,8478445,8470606.0,2019020831,,2020-02-07,Mathew Barzal Hooking against Dustin Brown
147,penalty,Slashing,Anthony Beauvillier,Anze Kopitar,[ 1. -4.],2,03:58,NYI,LAK,NYI,2,LAK,26,2,3,8478463,8471685.0,2019020831,,2020-02-07,Anthony Beauvillier Slashing against Anze Kopitar
202,penalty,Hooking,Sean Walker,Michael Dal Colle,[85.  8.],3,12:05,LAK,NYI,NYI,2,LAK,26,3,3,8480336,8477936.0,2019020831,,2020-02-07,Sean Walker Hooking against Michael Dal Colle
216,penalty,Fighting,Alec Martinez,Casey Cizikas,[67. 25.],3,08:57,LAK,NYI,NYI,2,LAK,26,3,3,8474166,8475231.0,2019020831,,2020-02-07,Alec Martinez Fighting against Casey Cizikas
217,penalty,Roughing,Casey Cizikas,Alec Martinez,[73. 29.],3,08:57,NYI,LAK,NYI,2,LAK,26,3,3,8475231,8474166.0,2019020831,,2020-02-07,Casey Cizikas Roughing against Alec Martinez
