,event,player_one,coords,period,period_time_remaining,player_one_team,player_two_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,player_one_id,description
5,giveaway,Max Jones,[61. 28.],1,19:05,ANA,LAK,LAK,26,ANA,24,0,0,8479368,Giveaway by Max Jones
10,giveaway,Matt Roy,[77. -2.],1,17:45,LAK,ANA,LAK,26,ANA,24,0,0,8478911,Giveaway by Matt Roy
25,giveaway,Nick Ritchie,[-69.  26.],1,16:09,ANA,LAK,LAK,26,ANA,24,0,0,8477941,Giveaway by Nick Ritchie
29,giveaway,Hampus Lindholm,[-93.  24.],1,15:33,ANA,LAK,LAK,26,ANA,24,0,0,8476854,Giveaway by Hampus Lindholm
33,giveaway,Alec Martinez,[74.  5.],1,15:03,LAK,ANA,LAK,26,ANA,24,0,0,8474166,Giveaway by Alec Martinez
37,giveaway,Matt Luff,[ 85. -24.],1,14:22,LAK,ANA,LAK,26,ANA,24,0,0,8479644,Giveaway by Matt Luff
45,giveaway,Michael Amadio,[95.  1.],1,13:14,LAK,ANA,LAK,26,ANA,24,0,1,8478020,Giveaway by Michael Amadio
69,giveaway,Sam Steel,[-96.  -6.],1,08:17,ANA,LAK,LAK,26,ANA,24,0,1,8479351,Giveaway by Sam Steel
79,giveaway,Derek Forbort,[99. -8.],1,05:02,LAK,ANA,LAK,26,ANA,24,0,1,8475762,Giveaway by Derek Forbort
91,giveaway,Jonathan Quick,[84.  3.],1,01:24,LAK,ANA,LAK,26,ANA,24,0,1,8471734,Giveaway by Jonathan Quick
106,giveaway,Ben Hutton,[-98.   2.],2,17:48,LAK,ANA,LAK,26,ANA,24,0,1,8477018,Giveaway by Ben Hutton
113,giveaway,Sean Walker,[-12.  27.],2,16:42,LAK,ANA,LAK,26,ANA,24,0,2,8480336,Giveaway by Sean Walker
121,giveaway,Michael Amadio,[-59. -35.],2,14:47,LAK,ANA,LAK,26,ANA,24,0,2,8478020,Giveaway by Michael Amadio
124,giveaway,Sean Walker,[ 35. -31.],2,13:51,LAK,ANA,LAK,26,ANA,24,0,2,8480336,Giveaway by Sean Walker
127,giveaway,Jakob Silfverberg,[41. 24.],2,13:27,ANA,LAK,LAK,26,ANA,24,0,2,8475164,Giveaway by Jakob Silfverberg
160,giveaway,Hampus Lindholm,[ 85. -15.],2,06:18,ANA,LAK,LAK,26,ANA,24,0,3,8476854,Giveaway by Hampus Lindholm
168,giveaway,Adrian Kempe,[36. 12.],2,03:22,LAK,ANA,LAK,26,ANA,24,0,3,8477960,Giveaway by Adrian Kempe
172,giveaway,Hampus Lindholm,[ 83. -12.],2,02:48,ANA,LAK,LAK,26,ANA,24,0,3,8476854,Giveaway by Hampus Lindholm
183,giveaway,Ryan Getzlaf,[ 89. -25.],2,00:16,ANA,LAK,LAK,26,ANA,24,1,3,8470612,Giveaway by Ryan Getzlaf
190,giveaway,Erik Gudbranson,[-92.  25.],3,19:02,ANA,LAK,LAK,26,ANA,24,1,3,8475790,Giveaway by Erik Gudbranson
210,giveaway,Derek Forbort,[ 96. -15.],3,14:34,LAK,ANA,LAK,26,ANA,24,1,3,8475762,Giveaway by Derek Forbort
236,giveaway,Max Jones,[10. 34.],3,07:51,ANA,LAK,LAK,26,ANA,24,1,3,8479368,Giveaway by Max Jones
251,giveaway,Jacob Larsson,[-68.  38.],3,05:04,ANA,LAK,LAK,26,ANA,24,1,3,8478491,Giveaway by Jacob Larsson
7,takeaway,Troy Terry,[-92.  25.],1,18:15,ANA,LAK,LAK,26,ANA,24,0,0,8478873,Takeaway by Troy Terry
34,takeaway,Sam Steel,[-41.  35.],1,14:41,ANA,LAK,LAK,26,ANA,24,0,0,8479351,Takeaway by Sam Steel
67,takeaway,Alex Iafallo,[-93.  26.],1,09:34,LAK,ANA,LAK,26,ANA,24,0,1,8480113,Takeaway by Alex Iafallo
82,takeaway,Adrian Kempe,[-42.  28.],1,04:09,LAK,ANA,LAK,26,ANA,24,0,1,8477960,Takeaway by Adrian Kempe
98,takeaway,Ryan Getzlaf,[-41.   7.],2,19:38,ANA,LAK,LAK,26,ANA,24,0,1,8470612,Takeaway by Ryan Getzlaf
112,takeaway,Carter Rowney,[-99.  15.],2,17:03,ANA,LAK,LAK,26,ANA,24,0,2,8477240,Takeaway by Carter Rowney
136,takeaway,Anze Kopitar,[-47.  39.],2,11:07,LAK,ANA,LAK,26,ANA,24,0,3,8471685,Takeaway by Anze Kopitar
204,takeaway,Sam Steel,[-92. -12.],3,16:42,ANA,LAK,LAK,26,ANA,24,1,3,8479351,Takeaway by Sam Steel
214,takeaway,Sam Steel,[-12. -40.],3,13:30,ANA,LAK,LAK,26,ANA,24,1,3,8479351,Takeaway by Sam Steel
222,takeaway,Blake Lizotte,[4. 1.],3,10:59,LAK,ANA,LAK,26,ANA,24,1,3,8481481,Takeaway by Blake Lizotte
230,takeaway,Tyler Toffoli,[-61. -25.],3,09:17,LAK,ANA,LAK,26,ANA,24,1,3,8475726,Takeaway by Tyler Toffoli
244,takeaway,Nick Ritchie,[-39.  37.],3,06:18,ANA,LAK,LAK,26,ANA,24,1,3,8477941,Takeaway by Nick Ritchie
258,takeaway,Nick Ritchie,[  4. -22.],3,02:50,ANA,LAK,LAK,26,ANA,24,1,3,8477941,Takeaway by Nick Ritchie
11,giveaway,Dmitry Orlov,[  7. -36.],1,16:31,WSH,LAK,WSH,15,LAK,26,0,0,8475200,Giveaway by Dmitry Orlov
29,giveaway,Alex Ovechkin,[-36.  37.],1,10:00,WSH,LAK,WSH,15,LAK,26,0,0,8471214,Giveaway by Alex Ovechkin
38,giveaway,Evgeny Kuznetsov,[60. 39.],1,06:52,WSH,LAK,WSH,15,LAK,26,0,0,8475744,Giveaway by Evgeny Kuznetsov
55,giveaway,Dmitry Orlov,[-81.  34.],1,02:02,WSH,LAK,WSH,15,LAK,26,0,1,8475200,Giveaway by Dmitry Orlov
69,giveaway,Garnet Hathaway,[68. 34.],2,16:52,WSH,LAK,WSH,15,LAK,26,0,1,8477903,Giveaway by Garnet Hathaway
73,giveaway,Matt Roy,[97. -3.],2,16:22,LAK,WSH,WSH,15,LAK,26,0,1,8478911,Giveaway by Matt Roy
81,giveaway,Drew Doughty,[97. 11.],2,14:55,LAK,WSH,WSH,15,LAK,26,0,1,8474563,Giveaway by Drew Doughty
97,giveaway,Martin Fehervary,[-92. -25.],2,11:35,WSH,LAK,WSH,15,LAK,26,1,1,8480796,Giveaway by Martin Fehervary
105,giveaway,Matt Roy,[65.  6.],2,09:06,LAK,WSH,WSH,15,LAK,26,1,1,8478911,Giveaway by Matt Roy
108,giveaway,Jonathan Quick,[93. 11.],2,08:33,LAK,WSH,WSH,15,LAK,26,1,1,8471734,Giveaway by Jonathan Quick
122,giveaway,Tom Wilson,[-41. -32.],2,04:53,WSH,LAK,WSH,15,LAK,26,1,1,8476880,Giveaway by Tom Wilson
123,giveaway,Kyle Clifford,[-29.  38.],2,04:28,LAK,WSH,WSH,15,LAK,26,1,1,8475160,Giveaway by Kyle Clifford
129,giveaway,Sean Walker,[-98.   9.],2,03:07,LAK,WSH,WSH,15,LAK,26,1,1,8480336,Giveaway by Sean Walker
154,giveaway,Dmitry Orlov,[ 50. -34.],3,14:57,WSH,LAK,WSH,15,LAK,26,1,1,8475200,Giveaway by Dmitry Orlov
189,giveaway,Radko Gudas,[ 98. -11.],3,06:44,WSH,LAK,WSH,15,LAK,26,1,2,8475462,Giveaway by Radko Gudas
208,giveaway,Braden Holtby,[85.  6.],3,01:50,WSH,LAK,WSH,15,LAK,26,3,2,8474651,Giveaway by Braden Holtby
5,takeaway,Alex Iafallo,[-43.  24.],1,18:24,LAK,WSH,WSH,15,LAK,26,0,0,8480113,Takeaway by Alex Iafallo
36,takeaway,Michael Amadio,[-52.  20.],1,07:16,LAK,WSH,WSH,15,LAK,26,0,0,8478020,Takeaway by Michael Amadio
45,takeaway,Adrian Kempe,[55. 23.],1,03:31,LAK,WSH,WSH,15,LAK,26,0,1,8477960,Takeaway by Adrian Kempe
52,takeaway,Anze Kopitar,[-25. -16.],1,02:30,LAK,WSH,WSH,15,LAK,26,0,1,8471685,Takeaway by Anze Kopitar
59,takeaway,John Carlson,[-29.  39.],1,00:20,WSH,LAK,WSH,15,LAK,26,0,1,8474590,Takeaway by John Carlson
65,takeaway,Blake Lizotte,[-45.  38.],2,17:51,LAK,WSH,WSH,15,LAK,26,0,1,8481481,Takeaway by Blake Lizotte
90,takeaway,Richard Panik,[-51. -22.],2,13:11,WSH,LAK,WSH,15,LAK,26,0,1,8475209,Takeaway by Richard Panik
93,takeaway,Carl Hagelin,[-37. -12.],2,12:39,WSH,LAK,WSH,15,LAK,26,0,1,8474176,Takeaway by Carl Hagelin
107,takeaway,Martin Fehervary,[-33.  23.],2,08:41,WSH,LAK,WSH,15,LAK,26,1,1,8480796,Takeaway by Martin Fehervary
125,takeaway,T.J. Oshie,[ -5. -39.],2,03:52,WSH,LAK,WSH,15,LAK,26,1,1,8471698,Takeaway by T.J. Oshie
168,takeaway,Tom Wilson,[-5. 40.],3,12:01,WSH,LAK,WSH,15,LAK,26,1,1,8476880,Takeaway by Tom Wilson
169,takeaway,Michael Amadio,[ 33. -33.],3,11:51,LAK,WSH,WSH,15,LAK,26,1,1,8478020,Takeaway by Michael Amadio
186,takeaway,Kurtis MacDermid,[-26.  39.],3,07:44,LAK,WSH,WSH,15,LAK,26,1,2,8477073,Takeaway by Kurtis MacDermid
211,takeaway,Tom Wilson,[-3. 40.],3,01:24,WSH,LAK,WSH,15,LAK,26,4,2,8476880,Takeaway by Tom Wilson
2,giveaway,Matt Roy,[ 90. -26.],1,19:36,LAK,NYI,NYI,2,LAK,26,0,0,8478911,Giveaway by Matt Roy
6,giveaway,Josh Bailey,[ 94. -14.],1,18:54,NYI,LAK,NYI,2,LAK,26,0,0,8474573,Giveaway by Josh Bailey
9,giveaway,Alec Martinez,[ 83. -21.],1,18:45,LAK,NYI,NYI,2,LAK,26,0,0,8474166,Giveaway by Alec Martinez
10,giveaway,Alec Martinez,[ 87. -25.],1,18:40,LAK,NYI,NYI,2,LAK,26,0,0,8474166,Giveaway by Alec Martinez
19,giveaway,Derick Brassard,[  7. -40.],1,17:00,NYI,LAK,NYI,2,LAK,26,0,0,8473544,Giveaway by Derick Brassard
29,giveaway,Noah Dobson,[-82.  34.],1,13:54,NYI,LAK,NYI,2,LAK,26,0,0,8480865,Giveaway by Noah Dobson
35,giveaway,Anthony Beauvillier,[ 54. -31.],1,13:21,NYI,LAK,NYI,2,LAK,26,0,0,8478463,Giveaway by Anthony Beauvillier
43,giveaway,Jonathan Quick,[93. -2.],1,11:57,LAK,NYI,NYI,2,LAK,26,0,0,8471734,Giveaway by Jonathan Quick
64,giveaway,Leo Komarov,[ 46. -37.],1,07:48,NYI,LAK,NYI,2,LAK,26,0,1,8473463,Giveaway by Leo Komarov
65,giveaway,Noah Dobson,[-66.  39.],1,07:27,NYI,LAK,NYI,2,LAK,26,0,1,8480865,Giveaway by Noah Dobson
69,giveaway,Derick Brassard,[ 82. -36.],1,05:51,NYI,LAK,NYI,2,LAK,26,0,1,8473544,Giveaway by Derick Brassard
70,giveaway,Kieffer Bellows,[-11. -40.],1,05:04,NYI,LAK,NYI,2,LAK,26,0,1,8479356,Giveaway by Kieffer Bellows
73,giveaway,Carl Grundstrom,[2. 1.],1,04:40,LAK,NYI,NYI,2,LAK,26,0,1,8479336,Giveaway by Carl Grundstrom
75,giveaway,Sean Walker,[77. 35.],1,03:27,LAK,NYI,NYI,2,LAK,26,0,1,8480336,Giveaway by Sean Walker
78,giveaway,Brock Nelson,[-38.  -6.],1,02:41,NYI,LAK,NYI,2,LAK,26,0,1,8475754,Giveaway by Brock Nelson
85,giveaway,Austin Wagner,[ 97. -15.],1,00:56,LAK,NYI,NYI,2,LAK,26,0,2,8478455,Giveaway by Austin Wagner
96,giveaway,Kurtis MacDermid,[-69.  -1.],2,18:05,LAK,NYI,NYI,2,LAK,26,1,2,8477073,Giveaway by Kurtis MacDermid
107,giveaway,Jonathan Quick,[-96.  -2.],2,15:23,LAK,NYI,NYI,2,LAK,26,1,2,8471734,Giveaway by Jonathan Quick
118,giveaway,Noah Dobson,[97. 24.],2,12:53,NYI,LAK,NYI,2,LAK,26,1,2,8480865,Giveaway by Noah Dobson
126,giveaway,Tyler Toffoli,[-92. -27.],2,10:49,LAK,NYI,NYI,2,LAK,26,1,3,8475726,Giveaway by Tyler Toffoli
