,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,game_id,winning_team,date,description
255,penalty,Illegal check to head,Zack Smith,Torey Krug,[ 37. -37.],3,02:26,CHI,BOS,CHI,16,BOS,6,1,1,8474250,8476792.0,2019020826,,2020-02-06,Zack Smith Illegal check to head against Torey Krug
257,penalty,Misconduct,Ryan Carpenter,,[ 5. 37.],3,02:12,CHI,BOS,CHI,16,BOS,6,1,1,8477846,,2019020826,,2020-02-06,Ryan Carpenter Misconduct
261,penalty,Tripping,Torey Krug,Olli Maatta,[ 33. -39.],3,01:05,BOS,CHI,CHI,16,BOS,6,1,1,8476792,8476874.0,2019020826,,2020-02-06,Torey Krug Tripping against Olli Maatta
33,penalty,Hooking,Charlie McAvoy,Taylor Hall,[-62. -32.],1,10:51,BOS,ARI,BOS,6,ARI,53,0,0,8479325,8475791.0,2019020844,,2020-02-08,Charlie McAvoy Hooking against Taylor Hall
59,penalty,Hi-sticking,Conor Garland,Zdeno Chara,[-79. -33.],1,05:54,ARI,BOS,BOS,6,ARI,53,0,0,8478856,8465009.0,2019020844,,2020-02-08,Conor Garland Hi-sticking against Zdeno Chara
74,penalty,Hi-sticking,Jeremy Lauzon,Vinnie Hinostroza,[-91. -27.],1,02:33,BOS,ARI,BOS,6,ARI,53,0,0,8478468,8476994.0,2019020844,,2020-02-08,Jeremy Lauzon Hi-sticking against Vinnie Hinostroza
83,penalty,Match penalty,Jeremy Lauzon,Anders Bjork,[52. 38.],1,00:21,BOS,ARI,BOS,6,ARI,53,0,0,8478468,8478075.0,2019020844,,2020-02-08,Jeremy Lauzon Match penalty against Derek Stepan served by Anders Bjork
101,penalty,Roughing,Lawson Crouse,Charlie McAvoy,[79. 37.],2,15:14,ARI,BOS,BOS,6,ARI,53,0,1,8478474,8479325.0,2019020844,,2020-02-08,Lawson Crouse Roughing against Charlie McAvoy
130,penalty,Interference,Brad Richardson,Chris Wagner,[-75.   0.],2,08:01,ARI,BOS,BOS,6,ARI,53,1,1,8470755,8475780.0,2019020844,,2020-02-08,Brad Richardson Interference against Chris Wagner
140,penalty,Hooking,Niklas Hjalmarsson,Chris Wagner,[-64.   4.],2,05:47,ARI,BOS,BOS,6,ARI,53,2,1,8471769,8475780.0,2019020844,,2020-02-08,Niklas Hjalmarsson Hooking against Chris Wagner
18,penalty,Tripping,Brad Marchand,Jonathan Bernier,[95. -7.],1,16:59,BOS,DET,DET,17,BOS,6,0,0,8473419,8473541.0,2019020855,,2020-02-10,Brad Marchand Tripping against Jonathan Bernier
39,penalty,Tripping,Sean Kuraly,Valtteri Filppula,[ 24. -24.],1,09:05,BOS,DET,DET,17,BOS,6,0,0,8476374,8470047.0,2019020855,,2020-02-10,Sean Kuraly Tripping against Valtteri Filppula
48,penalty,Holding,Trevor Daley,Sean Kuraly,[95.  8.],1,06:45,DET,BOS,DET,17,BOS,6,0,0,8470110,8476374.0,2019020855,,2020-02-10,Trevor Daley Holding against Sean Kuraly
51,penalty,Tripping,Valtteri Filppula,Jake DeBrusk,[-7. 10.],1,06:03,DET,BOS,DET,17,BOS,6,0,0,8470047,8478498.0,2019020855,,2020-02-10,Valtteri Filppula Tripping against Jake DeBrusk
66,penalty,Tripping,Justin Abdelkader,Charlie Coyle,[ 40. -20.],1,03:50,DET,BOS,DET,17,BOS,6,0,0,8471716,8475745.0,2019020855,,2020-02-10,Justin Abdelkader Tripping against Charlie Coyle
148,penalty,Holding,Patrik Nemeth,Jake DeBrusk,[-66.   5.],2,02:56,DET,BOS,DET,17,BOS,6,1,0,8475747,8478498.0,2019020855,,2020-02-10,Patrik Nemeth Holding against Jake DeBrusk
191,penalty,Tripping,Jake DeBrusk,Trevor Daley,[-97. -13.],3,13:59,BOS,DET,DET,17,BOS,6,1,1,8478498,8470110.0,2019020855,,2020-02-10,Jake DeBrusk Tripping against Trevor Daley
49,penalty,Too many men on the ice,Brendan Gallagher,,[42. 37.],1,09:28,MTL,BOS,BOS,6,MTL,8,1,0,8475848,,2019020877,,2020-02-13,Too many men/ice served by Brendan Gallagher
84,penalty,Slashing,Brad Marchand,Danton Heinen,[14.  4.],1,01:12,BOS,MTL,BOS,6,MTL,8,1,0,8473419,8478046.0,2019020877,,2020-02-13,Brad Marchand Slashing against Jeff Petry served by Danton Heinen
85,penalty,Roughing,Jeff Petry,Brad Marchand,[19. 13.],1,01:12,MTL,BOS,BOS,6,MTL,8,1,0,8473507,8473419.0,2019020877,,2020-02-13,Jeff Petry Roughing against Brad Marchand
86,penalty,Roughing,Brad Marchand,Jeff Petry,[39.  3.],1,01:12,BOS,MTL,BOS,6,MTL,8,1,0,8473419,8473507.0,2019020877,,2020-02-13,Brad Marchand Roughing against Jeff Petry
113,penalty,Slashing,Danton Heinen,Artturi Lehkonen,[53. 30.],2,14:22,BOS,MTL,BOS,6,MTL,8,2,1,8478046,8477476.0,2019020877,,2020-02-13,Danton Heinen Slashing against Artturi Lehkonen
115,penalty,Cross checking,Zdeno Chara,Brendan Gallagher,[53. 35.],2,14:22,BOS,MTL,BOS,6,MTL,8,2,1,8465009,8475848.0,2019020877,,2020-02-13,Zdeno Chara Cross checking against Brendan Gallagher
116,penalty,Roughing,Brendan Gallagher,Zdeno Chara,[38. 35.],2,14:22,MTL,BOS,BOS,6,MTL,8,2,1,8475848,8465009.0,2019020877,,2020-02-13,Brendan Gallagher Roughing against Zdeno Chara
143,penalty,Roughing,Jonathan Drouin,Chris Wagner,[ 81. -34.],2,05:28,MTL,BOS,BOS,6,MTL,8,2,1,8477494,8475780.0,2019020877,,2020-02-13,Jonathan Drouin Roughing against Chris Wagner
144,penalty,Roughing,Chris Wagner,Jonathan Drouin,[ 68. -34.],2,05:28,BOS,MTL,BOS,6,MTL,8,2,1,8475780,8477494.0,2019020877,,2020-02-13,Chris Wagner Roughing against Jonathan Drouin
148,penalty,Roughing,Joel Armia,Torey Krug,[-94. -11.],2,04:46,MTL,BOS,BOS,6,MTL,8,2,1,8476469,8476792.0,2019020877,,2020-02-13,Joel Armia Roughing against Torey Krug
190,penalty,Delaying Game - Puck over glass,Charlie McAvoy,,[-62. -35.],3,15:41,BOS,MTL,BOS,6,MTL,8,3,1,8479325,,2019020877,,2020-02-13,Charlie McAvoy Delaying Game - Puck over glass
203,penalty,Hi-sticking,Brendan Gallagher,John Moore,[-89. -10.],3,13:42,MTL,BOS,BOS,6,MTL,8,3,1,8475848,8475186.0,2019020877,,2020-02-13,Brendan Gallagher Hi-sticking against John Moore
16,penalty,Holding,Gustav Lindstrom,Danton Heinen,[93. 14.],1,17:35,DET,BOS,BOS,6,DET,17,0,0,8480184,8478046.0,2019020895,,2020-02-15,Gustav Lindstrom Holding against Danton Heinen
80,penalty,Cross checking,Adam Erne,Chris Wagner,[12. 36.],1,01:32,DET,BOS,BOS,6,DET,17,0,1,8477454,8475780.0,2019020895,,2020-02-15,Adam Erne Cross checking against Chris Wagner
117,penalty,Hooking,David Krejci,Andreas Athanasiou,[ 66. -29.],2,11:35,BOS,DET,BOS,6,DET,17,1,1,8471276,8476960.0,2019020895,,2020-02-15,David Krejci Hooking against Andreas Athanasiou
137,penalty,Interference,Jeremy Lauzon,Christoffer Ehn,[41. 38.],2,06:50,BOS,DET,BOS,6,DET,17,3,1,8478468,8478036.0,2019020895,,2020-02-15,Jeremy Lauzon Interference against Christoffer Ehn
153,penalty,Holding,Charlie McAvoy,Robby Fabbri,[ 76. -37.],2,01:48,BOS,DET,BOS,6,DET,17,3,1,8479325,8477952.0,2019020895,,2020-02-15,Charlie McAvoy Holding against Robby Fabbri
228,penalty,Fighting,Andreas Athanasiou,Chris Wagner,[-71. -33.],3,03:21,DET,BOS,BOS,6,DET,17,4,1,8476960,8475780.0,2019020895,,2020-02-15,Andreas Athanasiou Fighting against Chris Wagner
229,penalty,Fighting,Chris Wagner,Andreas Athanasiou,[-64. -26.],3,03:21,BOS,DET,BOS,6,DET,17,4,1,8475780,8476960.0,2019020895,,2020-02-15,Chris Wagner Fighting against Andreas Athanasiou
56,penalty,Roughing,Ryan Lindgren,Brad Marchand,[11. 40.],1,08:29,NYR,BOS,NYR,3,BOS,6,0,0,8479324,8473419.0,2019020907,,2020-02-16,Ryan Lindgren Roughing against Brad Marchand
116,penalty,Hi stick - double minor,David Krejci,Ryan Lindgren,[-69.  -4.],2,14:54,BOS,NYR,NYR,3,BOS,6,0,1,8471276,8479324.0,2019020907,,2020-02-16,David Krejci Hi stick - double minor against Ryan Lindgren
170,penalty,Cross checking,Brad Marchand,Ryan Lindgren,[-86.  -2.],2,02:46,BOS,NYR,NYR,3,BOS,6,0,1,8473419,8479324.0,2019020907,,2020-02-16,Brad Marchand Cross checking against Ryan Lindgren
184,penalty,Tripping,Mika Zibanejad,Brad Marchand,[44.  5.],2,00:27,NYR,BOS,NYR,3,BOS,6,0,2,8476459,8473419.0,2019020907,,2020-02-16,Mika Zibanejad Tripping against Brad Marchand
209,penalty,Interference,Karson Kuhlman,Marc Staal,[-58. -28.],3,15:37,BOS,NYR,NYR,3,BOS,6,0,2,8480901,8471686.0,2019020907,,2020-02-16,Karson Kuhlman Interference against Marc Staal
235,penalty,Tripping,Torey Krug,Mika Zibanejad,[-59.   9.],3,10:55,BOS,NYR,NYR,3,BOS,6,0,2,8476792,8476459.0,2019020907,,2020-02-16,Torey Krug Tripping against Mika Zibanejad
49,penalty,Slashing,Ethan Bear,Brad Marchand,[-80. -10.],1,09:04,EDM,BOS,EDM,22,BOS,6,0,1,8478451,8473419.0,2019020929,,2020-02-20,Ethan Bear Slashing against Brad Marchand
71,penalty,Tripping,Joakim Nordstrom,Gaetan Haas,[-90.  31.],1,04:48,BOS,EDM,EDM,22,BOS,6,0,1,8475807,8481813.0,2019020929,,2020-02-20,Joakim Nordstrom Tripping against Gaetan Haas
75,penalty,Hi stick - double minor,Kailer Yamamoto,Charlie Coyle,[34. 36.],1,03:53,EDM,BOS,EDM,22,BOS,6,0,1,8479977,8475745.0,2019020929,,2020-02-20,Kailer Yamamoto Hi stick - double minor against Charlie Coyle
105,penalty,Slashing,Adam Larsson,Brad Marchand,[86. 10.],2,16:23,EDM,BOS,EDM,22,BOS,6,0,1,8476457,8473419.0,2019020929,,2020-02-20,Adam Larsson Slashing against Brad Marchand
126,penalty,Tripping,Torey Krug,Gaetan Haas,[-27.  26.],2,13:11,BOS,EDM,EDM,22,BOS,6,0,1,8476792,8481813.0,2019020929,,2020-02-20,Torey Krug Tripping against Gaetan Haas
147,penalty,Hooking,Patrice Bergeron,Ethan Bear,[-77.  12.],2,09:04,BOS,EDM,EDM,22,BOS,6,0,1,8470638,8478451.0,2019020929,,2020-02-20,Patrice Bergeron Hooking against Ethan Bear
154,penalty,Holding the stick,Ryan Nugent-Hopkins,Charlie Coyle,[-34. -33.],2,07:45,EDM,BOS,EDM,22,BOS,6,0,1,8476454,8475745.0,2019020929,,2020-02-20,Ryan Nugent-Hopkins Holding the stick against Charlie Coyle
201,penalty,Tripping,Karson Kuhlman,Caleb Jones,[-76.   7.],3,18:01,BOS,EDM,EDM,22,BOS,6,0,1,8480901,8478452.0,2019020929,,2020-02-20,Karson Kuhlman Tripping against Caleb Jones
217,penalty,Too many men on the ice,Kailer Yamamoto,,[-10.  40.],3,14:35,EDM,BOS,EDM,22,BOS,6,1,1,8479977,,2019020929,,2020-02-20,Too many men/ice served by Kailer Yamamoto
236,penalty,Roughing,Joakim Nordstrom,Alex Chiasson,[95.  8.],3,10:26,BOS,EDM,EDM,22,BOS,6,1,1,8475807,8475163.0,2019020929,,2020-02-20,Joakim Nordstrom Roughing against Alex Chiasson
243,penalty,Slashing,Darnell Nurse,Charlie Coyle,[-77.  -1.],3,08:50,EDM,BOS,EDM,22,BOS,6,1,1,8477498,8475745.0,2019020929,,2020-02-20,Darnell Nurse Slashing against Charlie Coyle
262,penalty,Tripping,David Pastrnak,William Lagesson,[-65.  31.],3,02:30,BOS,EDM,EDM,22,BOS,6,1,1,8477956,8478021.0,2019020929,,2020-02-20,David Pastrnak Tripping against William Lagesson
38,penalty,Elbowing,Matt Grzelcyk,Tobias Rieder,[ 0. 25.],1,13:27,BOS,CGY,CGY,20,BOS,6,3,2,8476891,8476356.0,2019020945,,2020-02-22,Matt Grzelcyk Elbowing against Tobias Rieder
129,penalty,Fighting,Matthew Tkachuk,Jeremy Lauzon,[70. 36.],2,09:43,CGY,BOS,CGY,20,BOS,6,3,4,8479314,8478468.0,2019020945,,2020-02-22,Matthew Tkachuk Fighting against Jeremy Lauzon
130,penalty,Fighting,Jeremy Lauzon,Matthew Tkachuk,[67. 37.],2,09:43,BOS,CGY,CGY,20,BOS,6,3,4,8478468,8479314.0,2019020945,,2020-02-22,Jeremy Lauzon Fighting against Matthew Tkachuk
183,penalty,Tripping,Patrice Bergeron,Derek Ryan,[-15.  -5.],3,14:05,BOS,CGY,CGY,20,BOS,6,3,4,8470638,8478585.0,2019020945,,2020-02-22,Patrice Bergeron Tripping against Derek Ryan
62,penalty,Holding,Jeremy Lauzon,Elias Pettersson,[-41.   6.],1,09:39,BOS,VAN,VAN,23,BOS,6,1,1,8478468,8480012.0,2019020956,,2020-02-23,Jeremy Lauzon Holding against Elias Pettersson
85,penalty,Holding,Bo Horvat,Brad Marchand,[ 57. -26.],1,04:26,VAN,BOS,VAN,23,BOS,6,2,1,8477500,8473419.0,2019020956,,2020-02-23,Bo Horvat Holding against Brad Marchand
94,penalty,Holding,Patrice Bergeron,Tyler Motte,[-79.   0.],1,02:47,BOS,VAN,VAN,23,BOS,6,2,1,8470638,8477353.0,2019020956,,2020-02-23,Patrice Bergeron Holding against Tyler Motte
192,penalty,Roughing,Tyler Myers,Zdeno Chara,[ 9. 21.],2,03:23,VAN,BOS,VAN,23,BOS,6,5,1,8474574,8465009.0,2019020956,,2020-02-23,Tyler Myers Roughing against Zdeno Chara
193,penalty,Roughing,Zdeno Chara,Danton Heinen,[15. 25.],2,03:23,BOS,VAN,VAN,23,BOS,6,5,1,8465009,8478046.0,2019020956,,2020-02-23,Zdeno Chara Roughing against Tyler Myers served by Danton Heinen
194,penalty,Roughing,Zdeno Chara,Tyler Myers,[12. 12.],2,03:23,BOS,VAN,VAN,23,BOS,6,5,1,8465009,8474574.0,2019020956,,2020-02-23,Zdeno Chara Roughing against Tyler Myers
203,penalty,Fighting,Bo Horvat,Charlie Coyle,[-37.  32.],2,00:30,VAN,BOS,VAN,23,BOS,6,5,1,8477500,8475745.0,2019020956,,2020-02-23,Bo Horvat Fighting against Charlie Coyle
204,penalty,Fighting,Charlie Coyle,Bo Horvat,[-40.  23.],2,00:30,BOS,VAN,VAN,23,BOS,6,5,1,8475745,8477500.0,2019020956,,2020-02-23,Charlie Coyle Fighting against Bo Horvat
233,penalty,Hi-sticking,Antoine Roussel,Torey Krug,[-54.  14.],3,14:35,VAN,BOS,VAN,23,BOS,6,6,1,8474849,8476792.0,2019020956,,2020-02-23,Antoine Roussel Hi-sticking against Torey Krug
41,penalty,Interference,TJ Brodie,Brad Marchand,[75.  0.],1,13:16,CGY,BOS,BOS,6,CGY,20,0,0,8474673,8473419.0,2019020968,,2020-02-26,TJ Brodie Interference against Brad Marchand
78,penalty,Interference,Brad Marchand,TJ Brodie,[ 82. -21.],1,05:10,BOS,CGY,BOS,6,CGY,20,0,1,8473419,8474673.0,2019020968,,2020-02-26,Brad Marchand Interference against TJ Brodie
142,penalty,Slashing,Karson Kuhlman,Noah Hanifin,[-52.   3.],2,11:14,BOS,CGY,BOS,6,CGY,20,0,1,8480901,8478396.0,2019020968,,2020-02-26,Karson Kuhlman Slashing against Noah Hanifin
