,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,description
73,penalty,Slashing,Dale Weise,David Savard,[-35. -21.],1,04:12,MTL,CBJ,MTL,8,CBJ,29,0,1,8474668,8475233.0,Dale Weise Slashing against David Savard
129,penalty,Slashing,Tomas Tatar,Seth Jones,[67. 33.],2,13:00,MTL,CBJ,MTL,8,CBJ,29,0,2,8475193,8477495.0,Tomas Tatar Slashing against Seth Jones
149,penalty,Roughing,Sonny Milano,Phillip Danault,[23. 37.],2,07:47,CBJ,MTL,MTL,8,CBJ,29,1,2,8477947,8476479.0,Sonny Milano Roughing against Phillip Danault
150,penalty,Roughing,Phillip Danault,Sonny Milano,[24. 34.],2,07:47,MTL,CBJ,MTL,8,CBJ,29,1,2,8476479,8477947.0,Phillip Danault Roughing against Sonny Milano
183,penalty,Holding the stick,David Savard,Nick Cousins,[70.  1.],2,00:54,CBJ,MTL,MTL,8,CBJ,29,1,3,8475233,8476393.0,David Savard Holding the stick against Nick Cousins
233,penalty,Hooking,Oliver Bjorkstrand,Tomas Tatar,[-77. -19.],3,06:47,CBJ,MTL,MTL,8,CBJ,29,1,3,8477416,8475193.0,Oliver Bjorkstrand Hooking against Tomas Tatar
121,penalty,Tripping,Mike Matheson,Sonny Milano,[-76.   3.],2,12:04,FLA,CBJ,CBJ,29,FLA,13,0,0,8476875,8477947.0,Mike Matheson Tripping against Sonny Milano
158,penalty,Hi stick - double minor,Scott Harrington,Colton Sceviour,[32. 25.],2,02:10,CBJ,FLA,CBJ,29,FLA,13,0,0,8476449,8474098.0,Scott Harrington Hi stick - double minor against Colton Sceviour
27,penalty,Too many men on the ice,Brendan Perlini,,[ 8. 41.],1,11:58,DET,CBJ,CBJ,29,DET,17,0,0,8477943,,Too many men/ice served by Brendan Perlini
79,penalty,Slashing,Andreas Athanasiou,Gustav Nyquist,[-41. -36.],2,18:36,DET,CBJ,CBJ,29,DET,17,0,0,8476960,8474679.0,Andreas Athanasiou Slashing against Gustav Nyquist
109,penalty,Too many men on the ice,Brendan Perlini,,[10. 41.],2,09:59,DET,CBJ,CBJ,29,DET,17,1,0,8477943,,Too many men/ice served by Brendan Perlini
160,penalty,Slashing,Seth Jones,Givani Smith,[-48. -10.],3,14:05,CBJ,DET,CBJ,29,DET,17,1,0,8477495,8479379.0,Seth Jones Slashing against Givani Smith
186,penalty,Hooking,Pierre-Luc Dubois,Robby Fabbri,[-56.  -1.],3,07:21,CBJ,DET,CBJ,29,DET,17,1,0,8479400,8477952.0,Pierre-Luc Dubois Hooking against Robby Fabbri
210,penalty,Unsportsmanlike conduct,Filip Hronek,Emil Bemstrom,[17. 35.],3,00:00,DET,CBJ,CBJ,29,DET,17,2,0,8479425,8480205.0,Filip Hronek Unsportsmanlike conduct against Emil Bemstrom
9,penalty,Holding,Riley Nash,Mikko Rantanen,[-89. -12.],1,17:41,CBJ,COL,CBJ,29,COL,21,0,0,8474062,8478420.0,Riley Nash Holding against Mikko Rantanen
23,penalty,Interference,Mikko Rantanen,Andrew Peeke,[-82.  -1.],1,14:09,COL,CBJ,CBJ,29,COL,21,0,0,8478420,8479369.0,Mikko Rantanen Interference against Andrew Peeke
35,penalty,Holding the stick,Pierre-Luc Dubois,Gabriel Landeskog,[7. 5.],1,10:27,CBJ,COL,CBJ,29,COL,21,0,0,8479400,8476455.0,Pierre-Luc Dubois Holding the stick against Gabriel Landeskog
36,penalty,Interference,Gabriel Landeskog,Pierre-Luc Dubois,[4. 7.],1,10:27,COL,CBJ,CBJ,29,COL,21,0,0,8476455,8479400.0,Gabriel Landeskog Interference against Pierre-Luc Dubois
52,penalty,Interference,Nazem Kadri,Oliver Bjorkstrand,[84. -1.],1,05:18,COL,CBJ,CBJ,29,COL,21,0,0,8475172,8477416.0,Nazem Kadri Interference against Oliver Bjorkstrand
103,penalty,Too many men on the ice,Tyson Jost,,[11. 41.],2,12:15,COL,CBJ,CBJ,29,COL,21,0,0,8479370,,Too many men/ice served by Tyson Jost
125,penalty,Hooking,Mikko Rantanen,Zach Werenski,[ 65. -22.],2,06:06,COL,CBJ,CBJ,29,COL,21,1,0,8478420,8478460.0,Mikko Rantanen Hooking against Zach Werenski
147,penalty,Interference,Boone Jenner,J.T. Compher,[-41. -37.],2,00:33,CBJ,COL,CBJ,29,COL,21,1,0,8476432,8477456.0,Boone Jenner Interference against J.T. Compher
159,penalty,Tripping,Nikita Zadorov,Emil Bemstrom,[76.  4.],3,17:07,COL,CBJ,CBJ,29,COL,21,1,0,8477507,8480205.0,Nikita Zadorov Tripping against Emil Bemstrom
10,penalty,Roughing,Kevin Shattenkirk,Pierre-Luc Dubois,[ 95. -20.],1,18:31,TBL,CBJ,CBJ,29,TBL,14,0,0,8474031,8479400.0,Kevin Shattenkirk Roughing against Pierre-Luc Dubois
11,penalty,Slashing,Pierre-Luc Dubois,Kevin Shattenkirk,[ 95. -22.],1,18:31,CBJ,TBL,CBJ,29,TBL,14,0,0,8479400,8474031.0,Pierre-Luc Dubois Slashing against Kevin Shattenkirk
75,penalty,Roughing,Luke Schenn,Nathan Gerbe,[ 57. -38.],1,02:50,TBL,CBJ,CBJ,29,TBL,14,0,1,8474568,8471804.0,Luke Schenn Roughing against Nathan Gerbe
76,penalty,Roughing,Pat Maroon,Andrew Peeke,[ 94. -21.],1,02:50,TBL,CBJ,CBJ,29,TBL,14,0,1,8474034,8479369.0,Pat Maroon Roughing against Andrew Peeke
77,penalty,Cross checking,Nathan Gerbe,Luke Schenn,[ 98. -21.],1,02:50,CBJ,TBL,CBJ,29,TBL,14,0,1,8471804,8474568.0,Nathan Gerbe Cross checking against Luke Schenn
79,penalty,Illegal check to head,Nick Foligno,Erik Cernak,[ 93. -31.],1,02:26,CBJ,TBL,CBJ,29,TBL,14,0,1,8473422,8478416.0,Nick Foligno Illegal check to head against Erik Cernak
93,penalty,Holding,Pierre-Luc Dubois,Mikhail Sergachev,[  2. -34.],2,18:39,CBJ,TBL,CBJ,29,TBL,14,0,1,8479400,8479410.0,Pierre-Luc Dubois Holding against Mikhail Sergachev
