,event,secondary_type,player_one,player_one_role,player_two,player_two_role,coords,period,period_time_remaining,player_one_team,player_two_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,game_winning,empty_net,player_one_id,player_two_id,game_id,winning_team,date,description
13,shot,Wrist Shot,Mikael Granlund,Shooter,Marc-Andre Fleury,Goalie,[ 55. -26.],1,16:37,NSH,VGK,NSH,18,VGK,54,0,0,,,8475798,8470594.0,2019020800,VGK,2020-02-02,Mikael Granlund Wrist Shot saved by Marc-Andre Fleury
14,shot,Wrist Shot,Max Pacioretty,Shooter,Pekka Rinne,Goalie,[-67. -28.],1,16:11,VGK,NSH,NSH,18,VGK,54,0,0,,,8474157,8471469.0,2019020800,VGK,2020-02-02,Max Pacioretty Wrist Shot saved by Pekka Rinne
24,shot,Wrist Shot,Max Pacioretty,Shooter,Pekka Rinne,Goalie,[-60.  20.],1,13:40,VGK,NSH,NSH,18,VGK,54,0,0,,,8474157,8471469.0,2019020800,VGK,2020-02-02,Max Pacioretty Wrist Shot saved by Pekka Rinne
26,shot,Wrist Shot,Alex Tuch,Shooter,Pekka Rinne,Goalie,[-58.  19.],1,13:31,VGK,NSH,NSH,18,VGK,54,0,0,,,8477949,8471469.0,2019020800,VGK,2020-02-02,Alex Tuch Wrist Shot saved by Pekka Rinne
32,shot,Backhand,Nicolas Roy,Shooter,Pekka Rinne,Goalie,[-60.  10.],1,11:39,VGK,NSH,NSH,18,VGK,54,0,0,,,8478462,8471469.0,2019020800,VGK,2020-02-02,Nicolas Roy Backhand saved by Pekka Rinne
36,shot,Slap Shot,Reilly Smith,Shooter,Pekka Rinne,Goalie,[-58.  33.],1,10:44,VGK,NSH,NSH,18,VGK,54,0,0,,,8475191,8471469.0,2019020800,VGK,2020-02-02,Reilly Smith Slap Shot saved by Pekka Rinne
37,shot,Wrist Shot,Alex Tuch,Shooter,Pekka Rinne,Goalie,[-75. -29.],1,10:38,VGK,NSH,NSH,18,VGK,54,0,0,,,8477949,8471469.0,2019020800,VGK,2020-02-02,Alex Tuch Wrist Shot saved by Pekka Rinne
43,shot,Wrist Shot,Nick Holden,Shooter,Pekka Rinne,Goalie,[-57. -33.],1,09:00,VGK,NSH,NSH,18,VGK,54,0,0,,,8474207,8471469.0,2019020800,VGK,2020-02-02,Nick Holden Wrist Shot saved by Pekka Rinne
52,shot,Wrist Shot,Nate Schmidt,Shooter,Pekka Rinne,Goalie,[16. -7.],1,06:47,VGK,NSH,NSH,18,VGK,54,0,0,,,8477220,8471469.0,2019020800,VGK,2020-02-02,Nate Schmidt Wrist Shot saved by Pekka Rinne
58,shot,Deflected,Mark Stone,Shooter,Pekka Rinne,Goalie,[-82.  -3.],1,05:02,VGK,NSH,NSH,18,VGK,54,0,0,,,8475913,8471469.0,2019020800,VGK,2020-02-02,Mark Stone Deflected saved by Pekka Rinne
59,shot,Slap Shot,Shea Theodore,Shooter,Pekka Rinne,Goalie,[-47.  26.],1,04:46,VGK,NSH,NSH,18,VGK,54,0,0,,,8477447,8471469.0,2019020800,VGK,2020-02-02,Shea Theodore Slap Shot saved by Pekka Rinne
61,shot,Wrist Shot,Shea Theodore,Shooter,Pekka Rinne,Goalie,[-74.  19.],1,04:27,VGK,NSH,NSH,18,VGK,54,0,0,,,8477447,8471469.0,2019020800,VGK,2020-02-02,Shea Theodore Wrist Shot saved by Pekka Rinne
62,shot,Backhand,Nick Holden,Shooter,Pekka Rinne,Goalie,[-81.   6.],1,04:27,VGK,NSH,NSH,18,VGK,54,0,0,,,8474207,8471469.0,2019020800,VGK,2020-02-02,Nick Holden Backhand saved by Pekka Rinne
66,shot,Wrist Shot,Reilly Smith,Shooter,Pekka Rinne,Goalie,[-69.  24.],1,03:26,VGK,NSH,NSH,18,VGK,54,0,0,,,8475191,8471469.0,2019020800,VGK,2020-02-02,Reilly Smith Wrist Shot saved by Pekka Rinne
79,shot,Wrist Shot,Brayden McNabb,Shooter,Pekka Rinne,Goalie,[ 34. -27.],1,00:29,VGK,NSH,NSH,18,VGK,54,0,0,,,8475188,8471469.0,2019020800,VGK,2020-02-02,Brayden McNabb Wrist Shot saved by Pekka Rinne
81,shot,Wrist Shot,Roman Josi,Shooter,Marc-Andre Fleury,Goalie,[ 65. -27.],1,00:05,NSH,VGK,NSH,18,VGK,54,0,0,,,8474600,8470594.0,2019020800,VGK,2020-02-02,Roman Josi Wrist Shot saved by Marc-Andre Fleury
83,shot,Wrist Shot,Cody Eakin,Shooter,Pekka Rinne,Goalie,[ 59. -21.],2,19:37,VGK,NSH,NSH,18,VGK,54,0,0,,,8475236,8471469.0,2019020800,VGK,2020-02-02,Cody Eakin Wrist Shot saved by Pekka Rinne
85,shot,Deflected,Roman Josi,Shooter,Marc-Andre Fleury,Goalie,[-75. -23.],2,18:57,NSH,VGK,NSH,18,VGK,54,0,0,,,8474600,8470594.0,2019020800,VGK,2020-02-02,Roman Josi Deflected saved by Marc-Andre Fleury
87,shot,Deflected,William Carrier,Shooter,Pekka Rinne,Goalie,[78.  0.],2,18:02,VGK,NSH,NSH,18,VGK,54,0,0,,,8477478,8471469.0,2019020800,VGK,2020-02-02,William Carrier Deflected saved by Pekka Rinne
88,shot,Slap Shot,Dan Hamhuis,Shooter,Marc-Andre Fleury,Goalie,[-62.  29.],2,17:46,NSH,VGK,NSH,18,VGK,54,0,0,,,8469465,8470594.0,2019020800,VGK,2020-02-02,Dan Hamhuis Slap Shot saved by Marc-Andre Fleury
92,shot,Slap Shot,Kyle Turris,Shooter,Marc-Andre Fleury,Goalie,[-59. -23.],2,15:47,NSH,VGK,NSH,18,VGK,54,0,0,,,8474068,8470594.0,2019020800,VGK,2020-02-02,Kyle Turris Slap Shot saved by Marc-Andre Fleury
93,shot,Wrist Shot,Kyle Turris,Shooter,Marc-Andre Fleury,Goalie,[-68. -21.],2,15:39,NSH,VGK,NSH,18,VGK,54,0,0,,,8474068,8470594.0,2019020800,VGK,2020-02-02,Kyle Turris Wrist Shot saved by Marc-Andre Fleury
98,shot,Wrist Shot,Shea Theodore,Shooter,Pekka Rinne,Goalie,[-37. -20.],2,14:34,VGK,NSH,NSH,18,VGK,54,0,1,,,8477447,8471469.0,2019020800,VGK,2020-02-02,Shea Theodore Wrist Shot saved by Pekka Rinne
105,shot,Wrist Shot,Reilly Smith,Shooter,Pekka Rinne,Goalie,[62. 16.],2,12:54,VGK,NSH,NSH,18,VGK,54,0,1,,,8475191,8471469.0,2019020800,VGK,2020-02-02,Reilly Smith Wrist Shot saved by Pekka Rinne
110,shot,Slap Shot,Max Pacioretty,Shooter,Pekka Rinne,Goalie,[38. 12.],2,11:52,VGK,NSH,NSH,18,VGK,54,0,1,,,8474157,8471469.0,2019020800,VGK,2020-02-02,Max Pacioretty Slap Shot saved by Pekka Rinne
111,shot,Slap Shot,Max Pacioretty,Shooter,Pekka Rinne,Goalie,[33. 12.],2,11:39,VGK,NSH,NSH,18,VGK,54,0,1,,,8474157,8471469.0,2019020800,VGK,2020-02-02,Max Pacioretty Slap Shot saved by Pekka Rinne
