,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,description
73,penalty,Slashing,Dale Weise,David Savard,[-35. -21.],1,04:12,MTL,CBJ,MTL,8,CBJ,29,0,1,8474668,8475233.0,Dale Weise Slashing against David Savard
129,penalty,Slashing,Tomas Tatar,Seth Jones,[67. 33.],2,13:00,MTL,CBJ,MTL,8,CBJ,29,0,2,8475193,8477495.0,Tomas Tatar Slashing against Seth Jones
149,penalty,Roughing,Sonny Milano,Phillip Danault,[23. 37.],2,07:47,CBJ,MTL,MTL,8,CBJ,29,1,2,8477947,8476479.0,Sonny Milano Roughing against Phillip Danault
150,penalty,Roughing,Phillip Danault,Sonny Milano,[24. 34.],2,07:47,MTL,CBJ,MTL,8,CBJ,29,1,2,8476479,8477947.0,Phillip Danault Roughing against Sonny Milano
183,penalty,Holding the stick,David Savard,Nick Cousins,[70.  1.],2,00:54,CBJ,MTL,MTL,8,CBJ,29,1,3,8475233,8476393.0,David Savard Holding the stick against Nick Cousins
233,penalty,Hooking,Oliver Bjorkstrand,Tomas Tatar,[-77. -19.],3,06:47,CBJ,MTL,MTL,8,CBJ,29,1,3,8477416,8475193.0,Oliver Bjorkstrand Hooking against Tomas Tatar
24,penalty,Holding,Nate Thompson,Kyle Palmieri,[-27. -31.],1,13:21,MTL,NJD,NJD,1,MTL,8,0,0,8470775,8475151.0,Nate Thompson Holding against Kyle Palmieri
82,penalty,Tripping,Shea Weber,Kyle Palmieri,[-75. -29.],2,18:14,MTL,NJD,NJD,1,MTL,8,1,0,8470642,8475151.0,Shea Weber Tripping against Kyle Palmieri
86,penalty,Fighting,Dale Weise,John Hayden,[-34. -17.],2,18:06,MTL,NJD,NJD,1,MTL,8,2,0,8474668,8477401.0,Dale Weise Fighting against John Hayden
87,penalty,Fighting,John Hayden,Dale Weise,[-37. -18.],2,18:06,NJD,MTL,NJD,1,MTL,8,2,0,8477401,8474668.0,John Hayden Fighting against Dale Weise
101,penalty,Tripping,Artturi Lehkonen,Miles Wood,[-47.   9.],2,15:10,MTL,NJD,NJD,1,MTL,8,2,0,8477476,8477425.0,Artturi Lehkonen Tripping against Miles Wood
108,penalty,Hooking,Damon Severson,Joel Armia,[64.  3.],2,13:37,NJD,MTL,NJD,1,MTL,8,2,0,8476923,8476469.0,Damon Severson Hooking against Joel Armia
133,penalty,Slashing,Max Domi,Andy Greene,[-96.  -4.],2,07:31,MTL,NJD,NJD,1,MTL,8,3,0,8477503,8472382.0,Max Domi Slashing against Andy Greene
134,penalty,Fighting,Nick Cousins,Kevin Rooney,[-84. -36.],2,07:31,MTL,NJD,NJD,1,MTL,8,3,0,8476393,8479291.0,Nick Cousins Fighting against Kevin Rooney
135,penalty,Fighting,Kevin Rooney,Nick Cousins,[-59. -37.],2,07:31,NJD,MTL,NJD,1,MTL,8,3,0,8479291,8476393.0,Kevin Rooney Fighting against Nick Cousins
175,penalty,Hi-sticking,Joey Anderson,Jeff Petry,[95. 23.],3,17:45,NJD,MTL,NJD,1,MTL,8,3,2,8479315,8473507.0,Joey Anderson Hi-sticking against Jeff Petry
235,penalty,Too many men on the ice,Nick Cousins,,[37. 40.],3,01:09,MTL,NJD,NJD,1,MTL,8,3,4,8476393,,Too many men/ice served by Nick Cousins
3,penalty,Delay of game,Victor Mete,,[85.  4.],1,19:03,MTL,ANA,MTL,8,ANA,24,0,0,8479376,,Victor Mete Delay of game
47,penalty,Hooking,Ben Chiarot,Jakob Silfverberg,[74. -5.],1,08:06,MTL,ANA,MTL,8,ANA,24,0,0,8475279,8475164.0,Ben Chiarot Hooking against Jakob Silfverberg
69,penalty,Interference,Nick Ritchie,Brendan Gallagher,[-19.  41.],1,03:49,ANA,MTL,MTL,8,ANA,24,0,0,8477941,8475848.0,Nick Ritchie Interference against Brendan Gallagher
119,penalty,Slashing,Ryan Getzlaf,Tomas Tatar,[73. 11.],2,15:14,ANA,MTL,MTL,8,ANA,24,1,0,8470612,8475193.0,Ryan Getzlaf Slashing against Tomas Tatar
174,penalty,Tripping,Sam Steel,Nick Cousins,[62.  5.],2,03:44,ANA,MTL,MTL,8,ANA,24,2,1,8479351,8476393.0,Sam Steel Tripping against Nick Cousins
227,penalty,Hooking,Nick Ritchie,Victor Mete,[82. 21.],3,11:56,ANA,MTL,MTL,8,ANA,24,2,2,8477941,8479376.0,Nick Ritchie Hooking against Victor Mete
242,penalty,Tripping,Josh Manson,Joel Armia,[-59. -26.],3,08:20,ANA,MTL,MTL,8,ANA,24,2,2,8476312,8476469.0,Josh Manson Tripping against Joel Armia
91,penalty,Slashing,Jonathan Drouin,Rasmus Sandin,[ 44. -21.],2,18:14,MTL,TOR,MTL,8,TOR,10,0,0,8477494,8480873.0,Jonathan Drouin Slashing against Rasmus Sandin
128,penalty,Tripping,Travis Dermott,Joel Armia,[-21.  20.],2,10:35,TOR,MTL,MTL,8,TOR,10,0,0,8478408,8476469.0,Travis Dermott Tripping against Joel Armia
150,penalty,Delaying Game - Puck over glass,Victor Mete,,[-86. -22.],2,04:57,MTL,TOR,MTL,8,TOR,10,0,0,8479376,,Victor Mete Delaying Game - Puck over glass
222,penalty,Too many men on the ice,John Tavares,,[-18.  41.],3,08:08,TOR,MTL,MTL,8,TOR,10,0,1,8475166,,Too many men/ice served by John Tavares
37,penalty,Hooking,Ben Chiarot,Jakob Chychrun,[75.  1.],1,14:27,MTL,ARI,MTL,8,ARI,53,2,1,8475279,8479345.0,Ben Chiarot Hooking against Jakob Chychrun
63,penalty,Cross checking,Nick Cousins,Jakob Chychrun,[ 12. -33.],1,08:34,MTL,ARI,MTL,8,ARI,53,2,1,8476393,8479345.0,Nick Cousins Cross checking against Jakob Chychrun
71,penalty,Holding,Christian Dvorak,Jeff Petry,[56. 30.],1,07:04,ARI,MTL,MTL,8,ARI,53,2,1,8477989,8473507.0,Christian Dvorak Holding against Jeff Petry
90,penalty,Hi stick - double minor,Oliver Ekman-Larsson,Nick Suzuki,[-70.  39.],1,01:52,ARI,MTL,MTL,8,ARI,53,2,1,8475171,8480018.0,Oliver Ekman-Larsson Hi stick - double minor against Nick Suzuki
