,event,hitter,hittee,coords,period,period_time_remaining,hitter_team,hittee_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,hitter_id,hittee_id,description
14,hit,Joel Kellman,Kevin Shattenkirk,[ 50. -42.],1,17:51,SJS,TBL,SJS,28,TBL,14,0,0,8481516,8474031.0,Joel Kellman hit Kevin Shattenkirk
28,hit,Mario Ferraro,Pat Maroon,[-51. -41.],1,13:06,SJS,TBL,SJS,28,TBL,14,0,0,8479983,8474034.0,Mario Ferraro hit Pat Maroon
37,hit,Alex Killorn,Antti Suomela,[99. -9.],1,10:14,TBL,SJS,SJS,28,TBL,14,0,0,8473986,8480965.0,Alex Killorn hit Antti Suomela
40,hit,Brenden Dillon,Kevin Shattenkirk,[-84.  38.],1,08:55,SJS,TBL,SJS,28,TBL,14,0,0,8475455,8474031.0,Brenden Dillon hit Kevin Shattenkirk
49,hit,Barclay Goodrow,Mikhail Sergachev,[99. -4.],1,06:05,SJS,TBL,SJS,28,TBL,14,0,0,8476624,8479410.0,Barclay Goodrow hit Mikhail Sergachev
50,hit,Barclay Goodrow,Victor Hedman,[5. 3.],1,05:45,SJS,TBL,SJS,28,TBL,14,0,0,8476624,8475167.0,Barclay Goodrow hit Victor Hedman
53,hit,Anthony Cirelli,Radim Simek,[-95.  27.],1,05:05,TBL,SJS,SJS,28,TBL,14,0,0,8478519,8480160.0,Anthony Cirelli hit Radim Simek
54,hit,Ondrej Palat,Radim Simek,[-82.  22.],1,05:01,TBL,SJS,SJS,28,TBL,14,0,0,8476292,8480160.0,Ondrej Palat hit Radim Simek
58,hit,Yanni Gourde,Brenden Dillon,[-75.  40.],1,04:05,TBL,SJS,SJS,28,TBL,14,0,0,8476826,8475455.0,Yanni Gourde hit Brenden Dillon
69,hit,Radim Simek,Erik Cernak,[-79.  40.],1,01:21,SJS,TBL,SJS,28,TBL,14,0,0,8480160,8478416.0,Radim Simek hit Erik Cernak
75,hit,Barclay Goodrow,Erik Cernak,[99. -6.],1,00:57,SJS,TBL,SJS,28,TBL,14,0,0,8476624,8478416.0,Barclay Goodrow hit Erik Cernak
80,hit,Antti Suomela,Mikhail Sergachev,[99. 17.],1,00:05,SJS,TBL,SJS,28,TBL,14,0,0,8480965,8479410.0,Antti Suomela hit Mikhail Sergachev
82,hit,Ondrej Palat,Brenden Dillon,[98. -9.],2,19:47,TBL,SJS,SJS,28,TBL,14,0,0,8476292,8475455.0,Ondrej Palat hit Brenden Dillon
100,hit,Joel Kellman,Kevin Shattenkirk,[-85.  37.],2,16:23,SJS,TBL,SJS,28,TBL,14,0,0,8481516,8474031.0,Joel Kellman hit Kevin Shattenkirk
102,hit,Brenden Dillon,Brayden Point,[ 61. -40.],2,16:09,SJS,TBL,SJS,28,TBL,14,0,0,8475455,8478010.0,Brenden Dillon hit Brayden Point
107,hit,Pat Maroon,Erik Karlsson,[ 59. -41.],2,15:31,TBL,SJS,SJS,28,TBL,14,0,1,8474034,8474578.0,Pat Maroon hit Erik Karlsson
113,hit,Mikhail Sergachev,Barclay Goodrow,[-13.  41.],2,14:27,TBL,SJS,SJS,28,TBL,14,0,1,8479410,8476624.0,Mikhail Sergachev hit Barclay Goodrow
115,hit,Evander Kane,Ondrej Palat,[-89. -32.],2,14:04,SJS,TBL,SJS,28,TBL,14,0,1,8475169,8476292.0,Evander Kane hit Ondrej Palat
