,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,description
130,penalty,Interference,Tyler Johnson,Conor Sheary,[27.  0.],2,08:54,TBL,BUF,BUF,7,TBL,14,4,1,8474870,8477839.0,Tyler Johnson Interference against Conor Sheary
133,penalty,Hooking,Marcus Johansson,Cedric Paquette,[-63. -11.],2,07:01,BUF,TBL,BUF,7,TBL,14,4,1,8475149,8476975.0,Marcus Johansson Hooking against Cedric Paquette
194,penalty,Delaying Game - Puck over glass,Mikhail Sergachev,,[ 76. -35.],3,07:53,TBL,BUF,BUF,7,TBL,14,4,5,8479410,,Mikhail Sergachev Delaying Game - Puck over glass
204,penalty,Cross checking,Nikita Kucherov,Rasmus Dahlin,[ 25. -37.],3,04:18,TBL,BUF,BUF,7,TBL,14,4,5,8476453,8480839.0,Nikita Kucherov Cross checking against Rasmus Dahlin
86,penalty,Hooking,Zack Kassian,Victor Olofsson,[-63. -40.],2,16:04,EDM,BUF,BUF,7,EDM,22,1,2,8475178,8478109.0,Zack Kassian Hooking against Victor Olofsson
99,penalty,Tripping,Marcus Johansson,Connor McDavid,[76. -9.],2,11:05,BUF,EDM,BUF,7,EDM,22,1,2,8475149,8478402.0,Marcus Johansson Tripping against Connor McDavid
171,penalty,Slashing,Ryan Nugent-Hopkins,Jack Eichel,[76. 14.],3,08:59,EDM,BUF,BUF,7,EDM,22,2,2,8476454,8478403.0,Ryan Nugent-Hopkins Slashing against Jack Eichel
197,penalty,PS - Hooking on breakaway,Oscar Klefbom,Jack Eichel,[-74.   1.],4,03:51,EDM,BUF,BUF,7,EDM,22,2,2,8476472,8478403.0,Oscar Klefbom PS - Hooking on breakaway against Jack Eichel
29,penalty,Hi-sticking,Kyle Okposo,Mike Hoffman,[-11.   5.],1,09:26,BUF,FLA,BUF,7,FLA,13,0,0,8473449,8474884.0,Kyle Okposo Hi-sticking against Mike Hoffman
47,penalty,Slashing,Conor Sheary,Mark Pysyk,[-67.   8.],1,05:42,BUF,FLA,BUF,7,FLA,13,1,0,8477839,8475796.0,Conor Sheary Slashing against Mark Pysyk
71,penalty,Tripping,Colin Miller,Josh Brown,[-71. -35.],2,17:55,BUF,FLA,BUF,7,FLA,13,2,0,8476525,8477384.0,Colin Miller Tripping against Josh Brown
77,penalty,Hooking,Anton Stralman,Jack Eichel,[-54. -35.],2,14:27,FLA,BUF,BUF,7,FLA,13,2,0,8471873,8478403.0,Anton Stralman Hooking against Jack Eichel
89,penalty,Hooking,Kyle Okposo,Josh Brown,[78. -3.],2,09:55,BUF,FLA,BUF,7,FLA,13,3,0,8473449,8477384.0,Kyle Okposo Hooking against Josh Brown
90,penalty,Hi stick - double minor,Josh Brown,Mike Hoffman,[79. -5.],2,09:55,FLA,BUF,BUF,7,FLA,13,3,0,8477384,8474884.0,Josh Brown Hi stick - double minor against Kyle Okposo served by Mike Hoffman
107,penalty,Delaying Game - Puck over glass,Josh Brown,,[-33. -42.],2,03:17,FLA,BUF,BUF,7,FLA,13,3,0,8477384,,Josh Brown Delaying Game - Puck over glass
98,penalty,Hi-sticking,Rasmus Asplund,Justin Faulk,[ 21. -36.],2,10:59,BUF,STL,STL,19,BUF,7,2,1,8479335,8475753.0,Rasmus Asplund Hi-sticking against Justin Faulk
182,penalty,Hi-sticking,Alex Pietrangelo,Michael Frolik,[-62. -14.],3,10:45,STL,BUF,STL,19,BUF,7,4,1,8474565,8473564.0,Alex Pietrangelo Hi-sticking against Michael Frolik
199,penalty,Roughing,Zach Sanford,Rasmus Ristolainen,[-12.  39.],3,05:10,STL,BUF,STL,19,BUF,7,4,1,8477482,8477499.0,Zach Sanford Roughing against Rasmus Ristolainen
200,penalty,Roughing,Rasmus Ristolainen,Zach Sanford,[-12.  40.],3,05:10,BUF,STL,STL,19,BUF,7,4,1,8477499,8477482.0,Rasmus Ristolainen Roughing against Zach Sanford
14,penalty,Hooking,Rasmus Ristolainen,Tyler Myers,[-11.  34.],1,16:43,BUF,VAN,BUF,7,VAN,23,0,0,8477499,8474574.0,Rasmus Ristolainen Hooking against Tyler Myers
26,penalty,Holding,Jay Beagle,Rasmus Dahlin,[-75.  25.],1,13:55,VAN,BUF,BUF,7,VAN,23,0,0,8474291,8480839.0,Jay Beagle Holding against Rasmus Dahlin
89,penalty,Holding,Jay Beagle,Rasmus Dahlin,[-89. -25.],2,13:53,VAN,BUF,BUF,7,VAN,23,1,2,8474291,8480839.0,Jay Beagle Holding against Rasmus Dahlin
102,penalty,Tripping,Elias Pettersson,Rasmus Asplund,[-62. -33.],2,10:26,VAN,BUF,BUF,7,VAN,23,2,2,8480012,8479335.0,Elias Pettersson Tripping against Rasmus Asplund
110,penalty,Too many men on the ice,Kyle Okposo,,[-15.  41.],2,08:59,BUF,VAN,BUF,7,VAN,23,2,2,8473449,,Too many men/ice served by Kyle Okposo
15,penalty,Slashing,Mike Green,Jack Eichel,[77. -8.],1,16:35,DET,BUF,DET,17,BUF,7,0,1,8471242,8478403.0,Mike Green Slashing against Jack Eichel
45,penalty,Boarding,Zach Bogosian,Dylan Larkin,[-83. -34.],1,07:52,BUF,DET,DET,17,BUF,7,0,2,8474567,8477946.0,Zach Bogosian Boarding against Dylan Larkin
68,penalty,Delaying Game - Puck over glass,Madison Bowey,,[29. 40.],1,03:04,DET,BUF,DET,17,BUF,7,0,3,8477474,,Madison Bowey Delaying Game - Puck over glass
85,penalty,Tripping,Valtteri Filppula,Johan Larsson,[ 92. -26.],1,00:06,DET,BUF,DET,17,BUF,7,0,3,8470047,8475728.0,Valtteri Filppula Tripping against Johan Larsson
94,penalty,Cross checking,Brandon Montour,Justin Abdelkader,[ 95. -14.],2,17:25,BUF,DET,DET,17,BUF,7,0,3,8477986,8471716.0,Brandon Montour Cross checking against Justin Abdelkader
136,penalty,Delay of game,Zach Bogosian,,[85.  0.],2,05:55,BUF,DET,DET,17,BUF,7,1,3,8474567,,Zach Bogosian Delay of game
171,penalty,Tripping,Mike Green,Jack Eichel,[94. 19.],3,16:44,DET,BUF,DET,17,BUF,7,1,4,8471242,8478403.0,Mike Green Tripping against Jack Eichel
48,penalty,Roughing,Alex Tuch,Evan Rodrigues,[-98.   8.],1,05:31,VGK,BUF,BUF,7,VGK,54,0,0,8477949,8478542.0,Alex Tuch Roughing against Evan Rodrigues
49,penalty,Holding,Evan Rodrigues,Alex Tuch,[-98.   7.],1,05:31,BUF,VGK,BUF,7,VGK,54,0,0,8478542,8477949.0,Evan Rodrigues Holding against Alex Tuch
83,penalty,Tripping,Colin Miller,Cody Eakin,[ 90. -17.],2,16:56,BUF,VGK,BUF,7,VGK,54,0,1,8476525,8475236.0,Colin Miller Tripping against Cody Eakin
92,penalty,Interference,Max Pacioretty,Rasmus Ristolainen,[47. 41.],2,14:44,VGK,BUF,BUF,7,VGK,54,0,1,8474157,8477499.0,Max Pacioretty Interference against Rasmus Ristolainen
144,penalty,Too many men on the ice,Jonathan Marchessault,,[18. 41.],2,00:46,VGK,BUF,BUF,7,VGK,54,1,1,8476539,,Too many men/ice served by Jonathan Marchessault
151,penalty,Tripping,Colin Miller,Tomas Nosek,[-89. -27.],3,18:24,BUF,VGK,BUF,7,VGK,54,2,1,8476525,8477931.0,Colin Miller Tripping against Tomas Nosek
152,penalty,Unsportsmanlike conduct,Colin Miller,Nicolas Hague,[-88. -34.],3,18:24,BUF,VGK,BUF,7,VGK,54,2,1,8476525,8479980.0,Colin Miller Unsportsmanlike conduct against Nicolas Hague
193,penalty,Holding the stick,Nicolas Hague,Jack Eichel,[-67. -41.],3,07:07,VGK,BUF,BUF,7,VGK,54,3,2,8479980,8478403.0,Nicolas Hague Holding the stick against Jack Eichel
12,penalty,Tripping,Jack Eichel,Jamie Benn,[-80.   1.],1,18:56,BUF,DAL,DAL,25,BUF,7,0,0,8478403,8473994.0,Jack Eichel Tripping against Jamie Benn
38,penalty,Hi-sticking,Esa Lindell,Kyle Okposo,[-57. -38.],1,11:34,DAL,BUF,DAL,25,BUF,7,0,1,8476902,8473449.0,Esa Lindell Hi-sticking against Kyle Okposo
124,penalty,Tripping,Joel Kiviranta,Jake McCabe,[ 98. -18.],2,11:56,DAL,BUF,DAL,25,BUF,7,1,1,8481641,8476931.0,Joel Kiviranta Tripping against Jake McCabe
126,penalty,Hooking,Rasmus Dahlin,Blake Comeau,[50. -2.],2,11:00,BUF,DAL,DAL,25,BUF,7,1,1,8480839,8471260.0,Rasmus Dahlin Hooking against Blake Comeau
169,penalty,Hooking,Rasmus Ristolainen,Jamie Benn,[97.  7.],2,02:16,BUF,DAL,DAL,25,BUF,7,1,2,8477499,8473994.0,Rasmus Ristolainen Hooking against Jamie Benn
242,penalty,Interference,Lawrence Pilut,Andrew Cogliano,[-44.  -7.],3,03:35,BUF,DAL,DAL,25,BUF,7,1,2,8480935,8471699.0,Lawrence Pilut Interference against Andrew Cogliano
12,penalty,Tripping,Colin Blackwell,Lawrence Pilut,[ 52. -16.],1,17:52,NSH,BUF,NSH,18,BUF,7,0,0,8476278,8480935.0,Colin Blackwell Tripping against Lawrence Pilut
27,penalty,Interference,Rasmus Dahlin,Kyle Turris,[-25. -35.],1,12:46,BUF,NSH,NSH,18,BUF,7,0,0,8480839,8474068.0,Rasmus Dahlin Interference against Kyle Turris
125,penalty,Cross checking,Calle Jarnkrok,Brandon Montour,[-85.   2.],2,10:13,NSH,BUF,NSH,18,BUF,7,1,1,8475714,8477986.0,Calle Jarnkrok Cross checking against Brandon Montour
166,penalty,Tripping,Yannick Weber,Marcus Johansson,[32. 37.],3,19:16,NSH,BUF,NSH,18,BUF,7,1,1,8474134,8475149.0,Yannick Weber Tripping against Marcus Johansson
208,penalty,Tripping,Jack Eichel,Matt Duchene,[ 63. -29.],3,06:36,BUF,NSH,NSH,18,BUF,7,1,1,8478403,8475168.0,Jack Eichel Tripping against Matt Duchene
233,penalty,Slashing,Rasmus Dahlin,Rocco Grimaldi,[66. -1.],3,02:46,BUF,NSH,NSH,18,BUF,7,2,1,8480839,8476428.0,Rasmus Dahlin Slashing against Rocco Grimaldi
8,penalty,Hi-sticking,Rasmus Dahlin,Tyler Ennis,[60. 41.],1,17:50,BUF,OTT,BUF,7,OTT,9,0,0,8480839,8474589.0,Rasmus Dahlin Hi-sticking against Tyler Ennis
31,penalty,Interference,Scott Sabourin,Curtis Lazar,[ 89. -13.],1,11:31,OTT,BUF,BUF,7,OTT,9,0,1,8477149,8477508.0,Scott Sabourin Interference against Curtis Lazar
51,penalty,Holding,Mike Reilly,Sam Reinhart,[86. 36.],1,06:45,OTT,BUF,BUF,7,OTT,9,0,1,8476422,8477933.0,Mike Reilly Holding against Sam Reinhart
80,penalty,Hooking,Connor Brown,Lawrence Pilut,[25. 16.],2,19:49,OTT,BUF,BUF,7,OTT,9,1,1,8477015,8480935.0,Connor Brown Hooking against Lawrence Pilut
94,penalty,Interference,Jeff Skinner,Dylan DeMelo,[-74.  11.],2,15:57,BUF,OTT,BUF,7,OTT,9,1,1,8475784,8476331.0,Jeff Skinner Interference against Dylan DeMelo
179,penalty,Roughing,Michael Frolik,Thomas Chabot,[ 93. -30.],3,12:00,BUF,OTT,BUF,7,OTT,9,2,2,8473564,8478469.0,Michael Frolik Roughing against Thomas Chabot
192,penalty,Tripping,Kyle Okposo,Mark Borowiecki,[ 79. -32.],3,09:06,BUF,OTT,BUF,7,OTT,9,2,3,8473449,8474697.0,Kyle Okposo Tripping against Mark Borowiecki
213,penalty,Roughing,Nikita Zaitsev,Conor Sheary,[98. 16.],3,03:49,OTT,BUF,BUF,7,OTT,9,2,3,8479458,8477839.0,Nikita Zaitsev Roughing against Conor Sheary
21,penalty,Tripping,Joel Armia,Jack Eichel,[-22.  23.],1,13:11,MTL,BUF,BUF,7,MTL,8,0,0,8476469,8478403.0,Joel Armia Tripping against Jack Eichel
65,penalty,Holding,Conor Sheary,Brett Kulak,[-86. -35.],1,03:47,BUF,MTL,BUF,7,MTL,8,1,0,8477839,8476967.0,Conor Sheary Holding against Brett Kulak
153,penalty,Holding,Artturi Lehkonen,Colin Miller,[99.  7.],2,03:05,MTL,BUF,BUF,7,MTL,8,1,2,8477476,8476525.0,Artturi Lehkonen Holding against Colin Miller
205,penalty,Hooking,Phillip Danault,Jeff Skinner,[ 13. -27.],3,06:58,MTL,BUF,BUF,7,MTL,8,1,2,8476479,8475784.0,Phillip Danault Hooking against Jeff Skinner
32,penalty,Tripping,Michael Frolik,Pierre-Luc Dubois,[-40.   9.],1,09:16,BUF,CBJ,BUF,7,CBJ,29,0,0,8473564,8479400.0,Michael Frolik Tripping against Pierre-Luc Dubois
146,penalty,Holding,Johan Larsson,Riley Nash,[-96.  25.],3,17:29,BUF,CBJ,BUF,7,CBJ,29,1,0,8475728,8474062.0,Johan Larsson Holding against Riley Nash
