,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,game_id,winning_team,date,description
3,penalty,Slashing,Alex Ovechkin,Jared McCann,[-5. 21.],1,19:25,WSH,PIT,WSH,15,PIT,5,0,0,8471214,8477955.0,2019020806,,2020-02-02,Alex Ovechkin Slashing against Jared McCann
23,penalty,Roughing,Jack Johnson,Garnet Hathaway,[-89. -21.],1,15:51,PIT,WSH,WSH,15,PIT,5,0,0,8471677,8477903.0,2019020806,,2020-02-02,Jack Johnson Roughing against Garnet Hathaway
24,penalty,Roughing,Garnet Hathaway,Jack Johnson,[-89. -18.],1,15:51,WSH,PIT,WSH,15,PIT,5,0,0,8477903,8471677.0,2019020806,,2020-02-02,Garnet Hathaway Roughing against Jack Johnson
31,penalty,Tripping,John Marino,Lars Eller,[-30.  -1.],1,14:18,PIT,WSH,WSH,15,PIT,5,0,0,8478507,8474189.0,2019020806,,2020-02-02,John Marino Tripping against Lars Eller
44,penalty,Interference,Lars Eller,Patric Hornqvist,[-4. 39.],1,11:42,WSH,PIT,WSH,15,PIT,5,0,0,8474189,8471887.0,2019020806,,2020-02-02,Lars Eller Interference against Patric Hornqvist
96,penalty,Holding the stick,Dominik Simon,Lars Eller,[-70. -13.],1,02:55,PIT,WSH,WSH,15,PIT,5,1,2,8478866,8474189.0,2019020806,,2020-02-02,Dominik Simon Holding the stick against Lars Eller
127,penalty,Slashing,Jonas Siegenthaler,Alex Galchenyuk,[-75.  -2.],2,16:43,WSH,PIT,WSH,15,PIT,5,1,2,8478399,8476851.0,2019020806,,2020-02-02,Jonas Siegenthaler Slashing against Alex Galchenyuk
177,penalty,Interference,Sidney Crosby,T.J. Oshie,[-16.  39.],2,06:33,PIT,WSH,WSH,15,PIT,5,1,3,8471675,8471698.0,2019020806,,2020-02-02,Sidney Crosby Interference against T.J. Oshie
188,penalty,Too many men on the ice,Brendan Leipsic,,[-39.  34.],2,04:17,WSH,PIT,WSH,15,PIT,5,1,3,8476894,,2019020806,,2020-02-02,Too many men/ice served by Brendan Leipsic
201,penalty,Cross checking,Kris Letang,Tom Wilson,[-78.   5.],3,19:43,PIT,WSH,WSH,15,PIT,5,1,3,8471724,8476880.0,2019020806,,2020-02-02,Kris Letang Cross checking against Tom Wilson
202,penalty,Hi-sticking,Tom Wilson,Kris Letang,[-80.  13.],3,19:43,WSH,PIT,WSH,15,PIT,5,1,3,8476880,8471724.0,2019020806,,2020-02-02,Tom Wilson Hi-sticking against Kris Letang
211,penalty,Slashing,Dmitry Orlov,Sidney Crosby,[54.  9.],3,18:06,WSH,PIT,WSH,15,PIT,5,1,3,8475200,8471675.0,2019020806,,2020-02-02,Dmitry Orlov Slashing against Sidney Crosby
261,penalty,Hi-sticking,Carl Hagelin,Chad Ruhwedel,[-19. -11.],3,09:19,WSH,PIT,WSH,15,PIT,5,2,3,8474176,8477244.0,2019020806,,2020-02-02,Carl Hagelin Hi-sticking against Chad Ruhwedel
12,penalty,Hooking,Carl Hagelin,Blake Lizotte,[ 61. -10.],1,16:27,WSH,LAK,WSH,15,LAK,26,0,0,8474176,8481481.0,2019020817,,2020-02-05,Carl Hagelin Hooking against Blake Lizotte
27,penalty,Slashing,Kurtis MacDermid,T.J. Oshie,[-55.  31.],1,10:24,LAK,WSH,WSH,15,LAK,26,0,0,8477073,8471698.0,2019020817,,2020-02-05,Kurtis MacDermid Slashing against T.J. Oshie
138,penalty,Holding,Martin Fehervary,Austin Wagner,[87. 16.],2,00:21,WSH,LAK,WSH,15,LAK,26,1,1,8480796,8478455.0,2019020817,,2020-02-05,Martin Fehervary Holding against Austin Wagner
75,penalty,Hooking,Jonas Siegenthaler,Connor Bunnaman,[ 68. -13.],1,04:47,WSH,PHI,WSH,15,PHI,4,0,0,8478399,8479382.0,2019020849,,2020-02-09,Jonas Siegenthaler Hooking against Connor Bunnaman
92,penalty,Tripping,Brian Elliott,Nicolas Aube-Kubel,[-80.  -3.],1,02:11,PHI,WSH,WSH,15,PHI,4,0,1,8470880,8477979.0,2019020849,,2020-02-09,Brian Elliott Tripping against Lars Eller served by Nicolas Aube-Kubel
140,penalty,Embellishment,Sean Couturier,Alex Ovechkin,[80. 39.],2,12:12,PHI,WSH,WSH,15,PHI,4,1,4,8476461,8471214.0,2019020849,,2020-02-09,Sean Couturier Embellishment against Alex Ovechkin
149,penalty,Roughing,Jakub Voracek,Nic Dowd,[94. 23.],2,09:08,PHI,WSH,WSH,15,PHI,4,1,4,8474161,8475343.0,2019020849,,2020-02-09,Jakub Voracek Roughing against Nic Dowd
150,penalty,Roughing,Nic Dowd,Jakub Voracek,[94. 27.],2,09:08,WSH,PHI,WSH,15,PHI,4,1,4,8475343,8474161.0,2019020849,,2020-02-09,Nic Dowd Roughing against Jakub Voracek
