,event,player_one,coords,period,period_time_remaining,player_one_team,player_two_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,player_one_id,description
7,giveaway,Ilya Samsonov,[95.  7.],1,17:57,WSH,PIT,WSH,15,PIT,5,0,0,8478492,Giveaway by Ilya Samsonov
26,giveaway,Michal Kempny,[88. 32.],1,15:39,WSH,PIT,WSH,15,PIT,5,0,0,8479482,Giveaway by Michal Kempny
37,giveaway,John Carlson,[-31. -37.],1,13:03,WSH,PIT,WSH,15,PIT,5,0,0,8474590,Giveaway by John Carlson
42,giveaway,Brendan Leipsic,[-30.  30.],1,11:49,WSH,PIT,WSH,15,PIT,5,0,0,8476894,Giveaway by Brendan Leipsic
69,giveaway,Michal Kempny,[96.  6.],1,07:40,WSH,PIT,WSH,15,PIT,5,1,1,8479482,Giveaway by Michal Kempny
80,giveaway,John Carlson,[41. 32.],1,06:15,WSH,PIT,WSH,15,PIT,5,1,2,8474590,Giveaway by John Carlson
83,giveaway,T.J. Oshie,[35. 35.],1,06:04,WSH,PIT,WSH,15,PIT,5,1,2,8471698,Giveaway by T.J. Oshie
91,giveaway,Nicklas Backstrom,[79.  8.],1,03:17,WSH,PIT,WSH,15,PIT,5,1,2,8473563,Giveaway by Nicklas Backstrom
105,giveaway,Jack Johnson,[-97.   8.],1,00:23,PIT,WSH,WSH,15,PIT,5,1,2,8471677,Giveaway by Jack Johnson
120,giveaway,Matt Murray,[96. -1.],2,17:46,PIT,WSH,WSH,15,PIT,5,1,2,8476899,Giveaway by Matt Murray
123,giveaway,T.J. Oshie,[-35. -29.],2,17:19,WSH,PIT,WSH,15,PIT,5,1,2,8471698,Giveaway by T.J. Oshie
153,giveaway,Evgeni Malkin,[35. 24.],2,11:38,PIT,WSH,WSH,15,PIT,5,1,2,8471215,Giveaway by Evgeni Malkin
167,giveaway,Marcus Pettersson,[90. 24.],2,08:21,PIT,WSH,WSH,15,PIT,5,1,2,8477969,Giveaway by Marcus Pettersson
169,giveaway,Michal Kempny,[-95.   9.],2,08:11,WSH,PIT,WSH,15,PIT,5,1,2,8479482,Giveaway by Michal Kempny
180,giveaway,Ilya Samsonov,[-68.  -1.],2,05:20,WSH,PIT,WSH,15,PIT,5,1,3,8478492,Giveaway by Ilya Samsonov
217,giveaway,John Marino,[ 3. 36.],3,17:02,PIT,WSH,WSH,15,PIT,5,1,3,8478507,Giveaway by John Marino
229,giveaway,Evgeni Malkin,[-75.   8.],3,14:40,PIT,WSH,WSH,15,PIT,5,1,3,8471215,Giveaway by Evgeni Malkin
