,event,secondary_type,player_one,player_one_role,player_two,player_two_role,coords,period,period_time_remaining,player_one_team,player_two_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,game_winning,empty_net,player_one_id,player_two_id,game_id,winning_team,date,description
3,shot,Tip-In,Anthony Cirelli,Shooter,Aaron Dell,Goalie,[-72.  -5.],1,19:45,TBL,SJS,SJS,28,TBL,14,0,0,,,8478519,8477180.0,2019020805,TBL,2020-02-02,Anthony Cirelli Tip-In saved by Aaron Dell
6,shot,Backhand,Brayden Point,Shooter,Aaron Dell,Goalie,[-77.   2.],1,18:58,TBL,SJS,SJS,28,TBL,14,0,0,,,8478010,8477180.0,2019020805,TBL,2020-02-02,Brayden Point Backhand saved by Aaron Dell
7,shot,Wrist Shot,Steven Stamkos,Shooter,Aaron Dell,Goalie,[-79.   0.],1,18:56,TBL,SJS,SJS,28,TBL,14,0,0,,,8474564,8477180.0,2019020805,TBL,2020-02-02,Steven Stamkos Wrist Shot saved by Aaron Dell
8,shot,Wrist Shot,Erik Cernak,Shooter,Aaron Dell,Goalie,[-50.  12.],1,18:52,TBL,SJS,SJS,28,TBL,14,0,0,,,8478416,8477180.0,2019020805,TBL,2020-02-02,Erik Cernak Wrist Shot saved by Aaron Dell
10,shot,Wrist Shot,Erik Cernak,Shooter,Aaron Dell,Goalie,[-37.  -3.],1,18:41,TBL,SJS,SJS,28,TBL,14,0,0,,,8478416,8477180.0,2019020805,TBL,2020-02-02,Erik Cernak Wrist Shot saved by Aaron Dell
13,shot,Wrist Shot,Melker Karlsson,Shooter,Curtis McElhinney,Goalie,[39. 26.],1,17:58,SJS,TBL,SJS,28,TBL,14,0,0,,,8477922,8470147.0,2019020805,TBL,2020-02-02,Melker Karlsson Wrist Shot saved by Curtis McElhinney
22,shot,Tip-In,Victor Hedman,Shooter,Aaron Dell,Goalie,[-72.   3.],1,14:37,TBL,SJS,SJS,28,TBL,14,0,0,,,8475167,8477180.0,2019020805,TBL,2020-02-02,Victor Hedman Tip-In saved by Aaron Dell
24,shot,Wrist Shot,Brayden Point,Shooter,Aaron Dell,Goalie,[-81.   6.],1,14:14,TBL,SJS,SJS,28,TBL,14,0,0,,,8478010,8477180.0,2019020805,TBL,2020-02-02,Brayden Point Wrist Shot saved by Aaron Dell
25,shot,Slap Shot,Kevin Labanc,Shooter,Curtis McElhinney,Goalie,[ 60. -19.],1,13:59,SJS,TBL,SJS,28,TBL,14,0,0,,,8478099,8470147.0,2019020805,TBL,2020-02-02,Kevin Labanc Slap Shot saved by Curtis McElhinney
26,shot,Wrist Shot,Jan Rutta,Shooter,Aaron Dell,Goalie,[-58.  -1.],1,13:48,TBL,SJS,SJS,28,TBL,14,0,0,,,8480172,8477180.0,2019020805,TBL,2020-02-02,Jan Rutta Wrist Shot saved by Aaron Dell
39,shot,Wrist Shot,Steven Stamkos,Shooter,Aaron Dell,Goalie,[-68. -15.],1,09:24,TBL,SJS,SJS,28,TBL,14,0,0,,,8474564,8477180.0,2019020805,TBL,2020-02-02,Steven Stamkos Wrist Shot saved by Aaron Dell
55,shot,Wrist Shot,Victor Hedman,Shooter,Aaron Dell,Goalie,[-48.  -7.],1,04:52,TBL,SJS,SJS,28,TBL,14,0,0,,,8475167,8477180.0,2019020805,TBL,2020-02-02,Victor Hedman Wrist Shot saved by Aaron Dell
57,shot,Slap Shot,Yanni Gourde,Shooter,Aaron Dell,Goalie,[-46.   1.],1,04:13,TBL,SJS,SJS,28,TBL,14,0,0,,,8476826,8477180.0,2019020805,TBL,2020-02-02,Yanni Gourde Slap Shot saved by Aaron Dell
72,shot,Wrist Shot,Nikita Kucherov,Shooter,Aaron Dell,Goalie,[-52.   8.],1,01:14,TBL,SJS,SJS,28,TBL,14,0,0,,,8476453,8477180.0,2019020805,TBL,2020-02-02,Nikita Kucherov Wrist Shot saved by Aaron Dell
74,shot,Wrist Shot,Nikita Kucherov,Shooter,Aaron Dell,Goalie,[-58.  -1.],1,01:10,TBL,SJS,SJS,28,TBL,14,0,0,,,8476453,8477180.0,2019020805,TBL,2020-02-02,Nikita Kucherov Wrist Shot saved by Aaron Dell
83,shot,Wrist Shot,Anthony Cirelli,Shooter,Aaron Dell,Goalie,[-44. -22.],2,19:32,TBL,SJS,SJS,28,TBL,14,0,0,,,8478519,8477180.0,2019020805,TBL,2020-02-02,Anthony Cirelli Wrist Shot saved by Aaron Dell
90,shot,Wrist Shot,Brent Burns,Shooter,Curtis McElhinney,Goalie,[-42.   7.],2,18:15,SJS,TBL,SJS,28,TBL,14,0,0,,,8470613,8470147.0,2019020805,TBL,2020-02-02,Brent Burns Wrist Shot saved by Curtis McElhinney
91,shot,Slap Shot,Brent Burns,Shooter,Curtis McElhinney,Goalie,[-55. -22.],2,17:47,SJS,TBL,SJS,28,TBL,14,0,0,,,8470613,8470147.0,2019020805,TBL,2020-02-02,Brent Burns Slap Shot saved by Curtis McElhinney
92,shot,Wrist Shot,Evander Kane,Shooter,Curtis McElhinney,Goalie,[-82.   4.],2,17:36,SJS,TBL,SJS,28,TBL,14,0,0,,,8475169,8470147.0,2019020805,TBL,2020-02-02,Evander Kane Wrist Shot saved by Curtis McElhinney
93,shot,Snap Shot,Timo Meier,Shooter,Curtis McElhinney,Goalie,[-56.  27.],2,16:44,SJS,TBL,SJS,28,TBL,14,0,0,,,8478414,8470147.0,2019020805,TBL,2020-02-02,Timo Meier Snap Shot saved by Curtis McElhinney
95,shot,Slap Shot,Brent Burns,Shooter,Curtis McElhinney,Goalie,[-48.  34.],2,16:39,SJS,TBL,SJS,28,TBL,14,0,0,,,8470613,8470147.0,2019020805,TBL,2020-02-02,Brent Burns Slap Shot saved by Curtis McElhinney
108,shot,Wrist Shot,Marcus Sorensen,Shooter,Curtis McElhinney,Goalie,[-59. -35.],2,15:29,SJS,TBL,SJS,28,TBL,14,0,1,,,8475834,8470147.0,2019020805,TBL,2020-02-02,Marcus Sorensen Wrist Shot saved by Curtis McElhinney
114,shot,Slap Shot,Brent Burns,Shooter,Curtis McElhinney,Goalie,[-43.  21.],2,14:05,SJS,TBL,SJS,28,TBL,14,0,1,,,8470613,8470147.0,2019020805,TBL,2020-02-02,Brent Burns Slap Shot saved by Curtis McElhinney
118,shot,Wrist Shot,Evander Kane,Shooter,Curtis McElhinney,Goalie,[-67.  -6.],2,13:46,SJS,TBL,SJS,28,TBL,14,0,1,,,8475169,8470147.0,2019020805,TBL,2020-02-02,Evander Kane Wrist Shot saved by Curtis McElhinney
119,shot,Wrist Shot,Timo Meier,Shooter,Curtis McElhinney,Goalie,[-82.  10.],2,13:44,SJS,TBL,SJS,28,TBL,14,0,1,,,8478414,8470147.0,2019020805,TBL,2020-02-02,Timo Meier Wrist Shot saved by Curtis McElhinney
120,shot,Wrist Shot,Timo Meier,Shooter,Curtis McElhinney,Goalie,[-84.   7.],2,13:42,SJS,TBL,SJS,28,TBL,14,0,1,,,8478414,8470147.0,2019020805,TBL,2020-02-02,Timo Meier Wrist Shot saved by Curtis McElhinney
124,shot,Slap Shot,Erik Karlsson,Shooter,Curtis McElhinney,Goalie,[-50.  11.],2,12:40,SJS,TBL,SJS,28,TBL,14,0,1,,,8474578,8470147.0,2019020805,TBL,2020-02-02,Erik Karlsson Slap Shot saved by Curtis McElhinney
125,shot,Wrist Shot,Nikita Kucherov,Shooter,Aaron Dell,Goalie,[83.  8.],2,12:08,TBL,SJS,SJS,28,TBL,14,0,1,,,8476453,8477180.0,2019020805,TBL,2020-02-02,Nikita Kucherov Wrist Shot saved by Aaron Dell
126,shot,Wrist Shot,Nikita Kucherov,Shooter,Aaron Dell,Goalie,[64. 14.],2,12:02,TBL,SJS,SJS,28,TBL,14,0,1,,,8476453,8477180.0,2019020805,TBL,2020-02-02,Nikita Kucherov Wrist Shot saved by Aaron Dell
133,shot,Wrist Shot,Brayden Point,Shooter,Aaron Dell,Goalie,[68.  3.],2,10:23,TBL,SJS,SJS,28,TBL,14,0,1,,,8478010,8477180.0,2019020805,TBL,2020-02-02,Brayden Point Wrist Shot saved by Aaron Dell
136,shot,Wrist Shot,Tyler Johnson,Shooter,Aaron Dell,Goalie,[62.  0.],2,09:21,TBL,SJS,SJS,28,TBL,14,0,1,,,8474870,8477180.0,2019020805,TBL,2020-02-02,Tyler Johnson Wrist Shot saved by Aaron Dell
138,shot,Tip-In,Stefan Noesen,Shooter,Curtis McElhinney,Goalie,[-22.  11.],2,08:56,SJS,TBL,SJS,28,TBL,14,0,1,,,8476474,8470147.0,2019020805,TBL,2020-02-02,Stefan Noesen Tip-In saved by Curtis McElhinney
146,shot,Backhand,Timo Meier,Shooter,Curtis McElhinney,Goalie,[-73.  -3.],2,07:13,SJS,TBL,SJS,28,TBL,14,0,1,,,8478414,8470147.0,2019020805,TBL,2020-02-02,Timo Meier Backhand saved by Curtis McElhinney
154,shot,Wrist Shot,Cedric Paquette,Shooter,Aaron Dell,Goalie,[68. -4.],2,05:40,TBL,SJS,SJS,28,TBL,14,0,1,,,8476975,8477180.0,2019020805,TBL,2020-02-02,Cedric Paquette Wrist Shot saved by Aaron Dell
157,shot,Backhand,Stefan Noesen,Shooter,Curtis McElhinney,Goalie,[-84.  -7.],2,05:02,SJS,TBL,SJS,28,TBL,14,0,1,,,8476474,8470147.0,2019020805,TBL,2020-02-02,Stefan Noesen Backhand saved by Curtis McElhinney
164,shot,Snap Shot,Evander Kane,Shooter,Curtis McElhinney,Goalie,[-70.  -4.],2,03:15,SJS,TBL,SJS,28,TBL,14,0,1,,,8475169,8470147.0,2019020805,TBL,2020-02-02,Evander Kane Snap Shot saved by Curtis McElhinney
165,shot,Snap Shot,Timo Meier,Shooter,Curtis McElhinney,Goalie,[-73.  16.],2,03:02,SJS,TBL,SJS,28,TBL,14,0,1,,,8478414,8470147.0,2019020805,TBL,2020-02-02,Timo Meier Snap Shot saved by Curtis McElhinney
166,shot,Backhand,Marcus Sorensen,Shooter,Curtis McElhinney,Goalie,[-83.   7.],2,02:46,SJS,TBL,SJS,28,TBL,14,0,1,,,8475834,8470147.0,2019020805,TBL,2020-02-02,Marcus Sorensen Backhand saved by Curtis McElhinney
167,shot,Backhand,Mario Ferraro,Shooter,Curtis McElhinney,Goalie,[-80.   3.],2,02:40,SJS,TBL,SJS,28,TBL,14,0,1,,,8479983,8470147.0,2019020805,TBL,2020-02-02,Mario Ferraro Backhand saved by Curtis McElhinney
170,shot,Slap Shot,Ryan McDonagh,Shooter,Aaron Dell,Goalie,[42. 22.],2,02:12,TBL,SJS,SJS,28,TBL,14,0,1,,,8474151,8477180.0,2019020805,TBL,2020-02-02,Ryan McDonagh Slap Shot saved by Aaron Dell
187,shot,Snap Shot,Yanni Gourde,Shooter,Aaron Dell,Goalie,[-56.  15.],3,15:19,TBL,SJS,SJS,28,TBL,14,0,1,,,8476826,8477180.0,2019020805,TBL,2020-02-02,Yanni Gourde Snap Shot saved by Aaron Dell
188,shot,Wrist Shot,Barclay Goodrow,Shooter,Curtis McElhinney,Goalie,[74. 19.],3,15:10,SJS,TBL,SJS,28,TBL,14,0,1,,,8476624,8470147.0,2019020805,TBL,2020-02-02,Barclay Goodrow Wrist Shot saved by Curtis McElhinney
191,shot,Wrist Shot,Timo Meier,Shooter,Curtis McElhinney,Goalie,[78.  1.],3,14:54,SJS,TBL,SJS,28,TBL,14,0,1,,,8478414,8470147.0,2019020805,TBL,2020-02-02,Timo Meier Wrist Shot saved by Curtis McElhinney
193,shot,Backhand,Melker Karlsson,Shooter,Curtis McElhinney,Goalie,[77. -4.],3,14:47,SJS,TBL,SJS,28,TBL,14,0,1,,,8477922,8470147.0,2019020805,TBL,2020-02-02,Melker Karlsson Backhand saved by Curtis McElhinney
200,shot,Wrist Shot,Nikita Kucherov,Shooter,Aaron Dell,Goalie,[-54.   0.],3,14:20,TBL,SJS,SJS,28,TBL,14,0,1,,,8476453,8477180.0,2019020805,TBL,2020-02-02,Nikita Kucherov Wrist Shot saved by Aaron Dell
215,shot,Snap Shot,Tyler Johnson,Shooter,Aaron Dell,Goalie,[-50.  30.],3,10:21,TBL,SJS,SJS,28,TBL,14,0,1,,,8474870,8477180.0,2019020805,TBL,2020-02-02,Tyler Johnson Snap Shot saved by Aaron Dell
217,shot,Backhand,Patrick Marleau,Shooter,Curtis McElhinney,Goalie,[ 79. -10.],3,10:05,SJS,TBL,SJS,28,TBL,14,0,1,,,8466139,8470147.0,2019020805,TBL,2020-02-02,Patrick Marleau Backhand saved by Curtis McElhinney
219,shot,Wrist Shot,Melker Karlsson,Shooter,Curtis McElhinney,Goalie,[ 65. -35.],3,09:37,SJS,TBL,SJS,28,TBL,14,0,1,,,8477922,8470147.0,2019020805,TBL,2020-02-02,Melker Karlsson Wrist Shot saved by Curtis McElhinney
224,shot,Wrist Shot,Brayden Point,Shooter,Aaron Dell,Goalie,[-66.   1.],3,08:53,TBL,SJS,SJS,28,TBL,14,0,1,,,8478010,8477180.0,2019020805,TBL,2020-02-02,Brayden Point Wrist Shot saved by Aaron Dell
226,shot,Backhand,Brayden Point,Shooter,Aaron Dell,Goalie,[-80.  -8.],3,08:46,TBL,SJS,SJS,28,TBL,14,0,1,,,8478010,8477180.0,2019020805,TBL,2020-02-02,Brayden Point Backhand saved by Aaron Dell
227,shot,Slap Shot,Mikhail Sergachev,Shooter,Aaron Dell,Goalie,[-34.  -5.],3,08:42,TBL,SJS,SJS,28,TBL,14,0,1,,,8479410,8477180.0,2019020805,TBL,2020-02-02,Mikhail Sergachev Slap Shot saved by Aaron Dell
230,shot,Snap Shot,Brent Burns,Shooter,Curtis McElhinney,Goalie,[63. 20.],3,07:49,SJS,TBL,SJS,28,TBL,14,0,1,,,8470613,8470147.0,2019020805,TBL,2020-02-02,Brent Burns Snap Shot saved by Curtis McElhinney
233,shot,Tip-In,Yanni Gourde,Shooter,Aaron Dell,Goalie,[-77.   7.],3,07:27,TBL,SJS,SJS,28,TBL,14,0,1,,,8476826,8477180.0,2019020805,TBL,2020-02-02,Yanni Gourde Tip-In saved by Aaron Dell
235,shot,Tip-In,Yanni Gourde,Shooter,Aaron Dell,Goalie,[-84.  -5.],3,07:20,TBL,SJS,SJS,28,TBL,14,0,1,,,8476826,8477180.0,2019020805,TBL,2020-02-02,Yanni Gourde Tip-In saved by Aaron Dell
245,shot,Wrist Shot,Nikita Kucherov,Shooter,Aaron Dell,Goalie,[-67. -21.],3,05:15,TBL,SJS,SJS,28,TBL,14,0,1,,,8476453,8477180.0,2019020805,TBL,2020-02-02,Nikita Kucherov Wrist Shot saved by Aaron Dell
246,shot,Wrist Shot,Victor Hedman,Shooter,Aaron Dell,Goalie,[-36. -24.],3,05:13,TBL,SJS,SJS,28,TBL,14,0,1,,,8475167,8477180.0,2019020805,TBL,2020-02-02,Victor Hedman Wrist Shot saved by Aaron Dell
252,shot,Wrist Shot,Erik Cernak,Shooter,Aaron Dell,Goalie,[-37.  31.],3,03:50,TBL,SJS,SJS,28,TBL,14,0,1,,,8478416,8477180.0,2019020805,TBL,2020-02-02,Erik Cernak Wrist Shot saved by Aaron Dell
258,shot,Tip-In,Stefan Noesen,Shooter,Curtis McElhinney,Goalie,[18. -1.],3,02:41,SJS,TBL,SJS,28,TBL,14,0,1,,,8476474,8470147.0,2019020805,TBL,2020-02-02,Stefan Noesen Tip-In saved by Curtis McElhinney
261,shot,Wrist Shot,Erik Cernak,Shooter,Aaron Dell,Goalie,[-73. -14.],3,01:52,TBL,SJS,SJS,28,TBL,14,0,2,,,8478416,8477180.0,2019020805,TBL,2020-02-02,Erik Cernak Wrist Shot saved by Aaron Dell
