,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,game_id,winning_team,date,description
235,penalty,Tripping,Evander Kane,Matthew Tkachuk,[ -6. -24.],3,07:42,SJS,CGY,SJS,28,CGY,20,2,5,8475169,8479314.0,2019020865,,2020-02-11,Evander Kane Tripping against Matthew Tkachuk
236,penalty,Misconduct,Stefan Noesen,,[-12. -20.],3,07:42,SJS,CGY,SJS,28,CGY,20,2,5,8476474,,2019020865,,2020-02-11,Stefan Noesen Misconduct
46,penalty,Missing key [PD_151],Gabriel Bourque,,[  0. -40.],1,05:09,WPG,SJS,WPG,52,SJS,28,0,1,8475268,,2019020893,,2020-02-17,Delaying Game - Unsucc. chlg served by Gabriel Bourque
73,penalty,Too many men on the ice,Gabriel Bourque,,[ 6. 39.],2,17:26,WPG,SJS,WPG,52,SJS,28,0,1,8475268,,2019020893,,2020-02-17,Too many men/ice served by Gabriel Bourque
92,penalty,Interference,Evander Kane,Neal Pionk,[-98. -17.],2,13:27,SJS,WPG,WPG,52,SJS,28,0,1,8475169,8480145.0,2019020893,,2020-02-17,Evander Kane Interference against Neal Pionk
116,penalty,Hi-sticking,Stefan Noesen,Tucker Poolman,[  3. -41.],2,08:51,SJS,WPG,WPG,52,SJS,28,2,1,8476474,8477359.0,2019020893,,2020-02-17,Stefan Noesen Hi-sticking against Tucker Poolman
144,penalty,Holding,Josh Morrissey,Timo Meier,[-82.  -1.],2,00:06,WPG,SJS,WPG,52,SJS,28,2,1,8477504,8478414.0,2019020893,,2020-02-17,Josh Morrissey Holding against Timo Meier
170,penalty,Cross checking,Jack Roslovic,Marcus Sorensen,[-24.  41.],3,13:05,WPG,SJS,WPG,52,SJS,28,2,3,8478458,8475834.0,2019020893,,2020-02-17,Jack Roslovic Cross checking against Marcus Sorensen
171,penalty,Roughing,Marcus Sorensen,Jack Roslovic,[-25.  40.],3,13:05,SJS,WPG,WPG,52,SJS,28,2,3,8475834,8478458.0,2019020893,,2020-02-17,Marcus Sorensen Roughing against Jack Roslovic
193,penalty,Elbowing,Evander Kane,Neal Pionk,[90. 34.],3,06:43,SJS,WPG,WPG,52,SJS,28,2,3,8475169,8480145.0,2019020893,,2020-02-17,Evander Kane Elbowing against Neal Pionk
231,penalty,Slashing,Barclay Goodrow,Neal Pionk,[-32. -16.],3,00:00,SJS,WPG,WPG,52,SJS,28,2,3,8476624,8480145.0,2019020893,,2020-02-17,Barclay Goodrow Slashing against Neal Pionk
8,penalty,Delaying Game - Puck over glass,Mario Ferraro,,[-65.  31.],1,18:03,SJS,MIN,MIN,30,SJS,28,0,0,8479983,,2019020899,,2020-02-16,Mario Ferraro Delaying Game - Puck over glass
21,penalty,Slashing,Kevin Fiala,Stefan Noesen,[71. -9.],1,13:55,MIN,SJS,MIN,30,SJS,28,0,0,8477942,8476474.0,2019020899,,2020-02-16,Kevin Fiala Slashing against Stefan Noesen
25,penalty,Delaying Game - Puck over glass,Carson Soucy,,[73.  8.],1,13:47,MIN,SJS,MIN,30,SJS,28,0,0,8477369,,2019020899,,2020-02-16,Carson Soucy Delaying Game - Puck over glass
58,penalty,Hi-sticking,Marcus Foligno,Radim Simek,[-67. -15.],1,03:32,MIN,SJS,MIN,30,SJS,28,0,0,8475220,8480160.0,2019020899,,2020-02-16,Marcus Foligno Hi-sticking against Radim Simek
76,penalty,Illegal stick,Kevin Labanc,,[ 48. -34.],2,18:32,SJS,MIN,MIN,30,SJS,28,0,0,8478099,,2019020899,,2020-02-16,Kevin Labanc Illegal stick
198,penalty,Delaying Game - Puck over glass,Antti Suomela,,[-53. -31.],3,07:02,SJS,MIN,MIN,30,SJS,28,0,1,8480965,,2019020899,,2020-02-16,Antti Suomela Delaying Game - Puck over glass
33,penalty,Interference,Keith Yandle,Stefan Noesen,[89. 18.],1,12:47,FLA,SJS,SJS,28,FLA,13,0,1,8471735,8476474.0,2019020917,,2020-02-20,Keith Yandle Interference against Stefan Noesen
62,penalty,Hooking,Joel Kellman,Aleksander Barkov,[-63.  14.],1,07:02,SJS,FLA,SJS,28,FLA,13,1,1,8481516,8477493.0,2019020917,,2020-02-20,Joel Kellman Hooking against Aleksander Barkov
78,penalty,Tripping,Joel Kellman,Keith Yandle,[ 78. -35.],1,02:03,SJS,FLA,SJS,28,FLA,13,1,1,8481516,8471735.0,2019020917,,2020-02-20,Joel Kellman Tripping against Keith Yandle
82,penalty,Interference,Vincent Trocheck,Melker Karlsson,[-26.  -6.],1,01:27,FLA,SJS,SJS,28,FLA,13,1,1,8476389,8477922.0,2019020917,,2020-02-20,Vincent Trocheck Interference against Melker Karlsson
101,penalty,Hooking,Marcus Sorensen,Frank Vatrano,[ 12. -37.],2,16:21,SJS,FLA,SJS,28,FLA,13,1,1,8475834,8478366.0,2019020917,,2020-02-20,Marcus Sorensen Hooking against Frank Vatrano
141,penalty,Tripping,Melker Karlsson,Aaron Ekblad,[-83. -33.],2,08:19,SJS,FLA,SJS,28,FLA,13,1,2,8477922,8477932.0,2019020917,,2020-02-20,Melker Karlsson Tripping against Aaron Ekblad
156,penalty,Tripping,Mark Pysyk,Tim Heed,[ 83. -36.],2,03:53,FLA,SJS,SJS,28,FLA,13,1,2,8475796,8475841.0,2019020917,,2020-02-20,Mark Pysyk Tripping against Tim Heed
212,penalty,Cross checking,Denis Malgin,Marcus Sorensen,[-74. -35.],3,05:47,FLA,SJS,SJS,28,FLA,13,1,3,8478843,8475834.0,2019020917,,2020-02-20,Denis Malgin Cross checking against Marcus Sorensen
42,penalty,Fighting,Jacob Middleton,John Hayden,[-19.   7.],1,12:34,SJS,NJD,NJD,1,SJS,28,0,1,8478136,8477401.0,2019020934,,2020-02-21,Jacob Middleton Fighting against John Hayden
43,penalty,Fighting,John Hayden,Jacob Middleton,[-21.  -6.],1,12:34,NJD,SJS,NJD,1,SJS,28,0,1,8477401,8478136.0,2019020934,,2020-02-21,John Hayden Fighting against Jacob Middleton
44,penalty,Unsportsmanlike conduct,Jacob Middleton,Noah Gregor,[-8.  8.],1,12:34,SJS,NJD,NJD,1,SJS,28,0,1,8478136,8479393.0,2019020934,,2020-02-21,Jacob Middleton Unsportsmanlike conduct served by Noah Gregor
85,penalty,Tripping,Stefan Noesen,Kevin Rooney,[-69.   7.],1,00:14,SJS,NJD,NJD,1,SJS,28,0,1,8476474,8479291.0,2019020934,,2020-02-21,Stefan Noesen Tripping against Kevin Rooney
91,penalty,Interference,Wayne Simmonds,Marcus Sorensen,[-34. -13.],2,19:13,NJD,SJS,NJD,1,SJS,28,0,1,8474190,8475834.0,2019020934,,2020-02-21,Wayne Simmonds Interference against Marcus Sorensen
125,penalty,Interference,P.K. Subban,Stefan Noesen,[ 93. -22.],2,12:49,NJD,SJS,NJD,1,SJS,28,0,1,8474056,8476474.0,2019020934,,2020-02-21,P.K. Subban Interference against Stefan Noesen
140,penalty,Interference,Dylan Gambrell,Nico Hischier,[ 59. -28.],2,10:05,SJS,NJD,NJD,1,SJS,28,0,1,8479580,8480002.0,2019020934,,2020-02-21,Dylan Gambrell Interference against Nico Hischier
149,penalty,Delaying Game - Puck over glass,Melker Karlsson,,[11. 42.],2,08:51,SJS,NJD,NJD,1,SJS,28,0,1,8477922,,2019020934,,2020-02-21,Melker Karlsson Delaying Game - Puck over glass
181,penalty,Interference,Mirco Mueller,Alexander True,[-15. -40.],2,01:29,NJD,SJS,NJD,1,SJS,28,1,1,8477509,8480384.0,2019020934,,2020-02-21,Mirco Mueller Interference against Alexander True
190,penalty,Delaying Game - Puck over glass,Mario Ferraro,,[ 44. -34.],3,18:54,SJS,NJD,NJD,1,SJS,28,1,1,8479983,,2019020934,,2020-02-21,Mario Ferraro Delaying Game - Puck over glass
244,penalty,Interference - Goalkeeper,Alexander True,Mackenzie Blackwood,[-84.   0.],3,03:04,SJS,NJD,NJD,1,SJS,28,2,1,8480384,8478406.0,2019020934,,2020-02-21,Alexander True Interference - Goalkeeper against Mackenzie Blackwood
