,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,description
38,penalty,Hi-sticking,Nino Niederreiter,Troy Stecher,[-79.   1.],1,12:20,CAR,VAN,CAR,12,VAN,23,0,1,8475799,8479442.0,Nino Niederreiter Hi-sticking against Troy Stecher
92,penalty,Tripping,Erik Haula,Alexander Edler,[56. 18.],1,02:47,CAR,VAN,CAR,12,VAN,23,0,1,8475287,8471303.0,Erik Haula Tripping against Alexander Edler
158,penalty,Holding,Jaccob Slavin,J.T. Miller,[-37. -39.],2,08:50,CAR,VAN,CAR,12,VAN,23,2,1,8476958,8476468.0,Jaccob Slavin Holding against J.T. Miller
245,penalty,Slashing,J.T. Miller,Nino Niederreiter,[-80.  36.],3,09:06,VAN,CAR,CAR,12,VAN,23,3,3,8476468,8475799.0,J.T. Miller Slashing against Nino Niederreiter
255,penalty,Interference,Haydn Fleury,Brandon Sutter,[ 57. -40.],3,06:03,CAR,VAN,CAR,12,VAN,23,3,3,8477938,8474091.0,Haydn Fleury Interference against Brandon Sutter
63,penalty,Missing key [PD_151],Jake Virtanen,,[35. 35.],1,05:36,VAN,BOS,BOS,6,VAN,23,1,0,8477937,,Delaying Game - Unsucc. chlg served by Jake Virtanen
109,penalty,Delaying Game - Puck over glass,Troy Stecher,,[-55.  37.],2,14:15,VAN,BOS,BOS,6,VAN,23,1,0,8479442,,Troy Stecher Delaying Game - Puck over glass
114,penalty,Tripping,Alexander Edler,Brad Marchand,[-96.   1.],2,13:14,VAN,BOS,BOS,6,VAN,23,1,0,8471303,8473419.0,Alexander Edler Tripping against Brad Marchand
130,penalty,Hooking,Anders Bjork,Bo Horvat,[-5. 38.],2,10:12,BOS,VAN,BOS,6,VAN,23,1,0,8478075,8477500.0,Anders Bjork Hooking against Bo Horvat
174,penalty,Hooking,Chris Wagner,Oscar Fantenberg,[58. 38.],2,04:03,BOS,VAN,BOS,6,VAN,23,2,0,8475780,8480147.0,Chris Wagner Hooking against Oscar Fantenberg
246,penalty,Slashing,Torey Krug,Jake Virtanen,[-79. -11.],3,07:22,BOS,VAN,BOS,6,VAN,23,2,0,8476792,8477937.0,Torey Krug Slashing against Jake Virtanen
