,event,player_one,coords,period,period_time_remaining,player_one_team,player_two_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,player_one_id,game_id,winning_team,date,description
17,giveaway,Tanner Pearson,[-38.  -3.],1,16:51,VAN,CAR,CAR,12,VAN,23,0,0,8476871,2019020808,,2020-02-02,Giveaway by Tanner Pearson
23,giveaway,Teuvo Teravainen,[-55.  20.],1,15:49,CAR,VAN,CAR,12,VAN,23,0,0,8476882,2019020808,,2020-02-02,Giveaway by Teuvo Teravainen
29,giveaway,Elias Pettersson,[31. 19.],1,13:30,VAN,CAR,CAR,12,VAN,23,0,1,8480012,2019020808,,2020-02-02,Giveaway by Elias Pettersson
30,giveaway,Sebastian Aho,[-50.  10.],1,13:26,CAR,VAN,CAR,12,VAN,23,0,1,8478427,2019020808,,2020-02-02,Giveaway by Sebastian Aho
46,giveaway,Tanner Pearson,[ 68. -40.],1,10:46,VAN,CAR,CAR,12,VAN,23,0,1,8476871,2019020808,,2020-02-02,Giveaway by Tanner Pearson
74,giveaway,Sebastian Aho,[-62.  39.],1,05:59,CAR,VAN,CAR,12,VAN,23,0,1,8478427,2019020808,,2020-02-02,Giveaway by Sebastian Aho
78,giveaway,Teuvo Teravainen,[-93. -24.],1,04:59,CAR,VAN,CAR,12,VAN,23,0,1,8476882,2019020808,,2020-02-02,Giveaway by Teuvo Teravainen
80,giveaway,Nino Niederreiter,[-73.  16.],1,04:25,CAR,VAN,CAR,12,VAN,23,0,1,8475799,2019020808,,2020-02-02,Giveaway by Nino Niederreiter
100,giveaway,Warren Foegele,[80. 17.],1,00:45,CAR,VAN,CAR,12,VAN,23,0,1,8477998,2019020808,,2020-02-02,Giveaway by Warren Foegele
102,giveaway,Warren Foegele,[19. 18.],1,00:37,CAR,VAN,CAR,12,VAN,23,0,1,8477998,2019020808,,2020-02-02,Giveaway by Warren Foegele
139,giveaway,Christopher Tanev,[60. 41.],2,13:16,VAN,CAR,CAR,12,VAN,23,2,1,8475690,2019020808,,2020-02-02,Giveaway by Christopher Tanev
144,giveaway,Troy Stecher,[  9. -31.],2,12:21,VAN,CAR,CAR,12,VAN,23,2,1,8479442,2019020808,,2020-02-02,Giveaway by Troy Stecher
145,giveaway,Alexander Edler,[93. 29.],2,12:11,VAN,CAR,CAR,12,VAN,23,2,1,8471303,2019020808,,2020-02-02,Giveaway by Alexander Edler
152,giveaway,Erik Haula,[98.  4.],2,10:38,CAR,VAN,CAR,12,VAN,23,2,1,8475287,2019020808,,2020-02-02,Giveaway by Erik Haula
155,giveaway,Martin Necas,[ 42. -24.],2,09:33,CAR,VAN,CAR,12,VAN,23,2,1,8480039,2019020808,,2020-02-02,Giveaway by Martin Necas
189,giveaway,J.T. Miller,[ 98. -16.],2,04:01,VAN,CAR,CAR,12,VAN,23,2,2,8476468,2019020808,,2020-02-02,Giveaway by J.T. Miller
209,giveaway,Thatcher Demko,[-56.  39.],3,18:56,VAN,CAR,CAR,12,VAN,23,2,2,8477967,2019020808,,2020-02-02,Giveaway by Thatcher Demko
