,event,player_one,coords,period,period_time_remaining,player_one_team,player_two_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,player_one_id,game_id,winning_team,date,description
27,giveaway,Damon Severson,[-56.  -1.],1,12:28,NJD,MTL,NJD,1,MTL,8,0,0,8476923,2019020815,,2020-02-05,Giveaway by Damon Severson
38,giveaway,Colton White,[27. 31.],1,10:23,NJD,MTL,NJD,1,MTL,8,1,0,8478841,2019020815,,2020-02-05,Giveaway by Colton White
42,giveaway,Wayne Simmonds,[37. 14.],1,09:16,NJD,MTL,NJD,1,MTL,8,1,0,8474190,2019020815,,2020-02-05,Giveaway by Wayne Simmonds
61,giveaway,Nikita Gusev,[  5. -19.],1,04:31,NJD,MTL,NJD,1,MTL,8,1,0,8477038,2019020815,,2020-02-05,Giveaway by Nikita Gusev
72,giveaway,Ilya Kovalchuk,[-30. -26.],1,00:22,MTL,NJD,NJD,1,MTL,8,1,0,8469454,2019020815,,2020-02-05,Giveaway by Ilya Kovalchuk
81,giveaway,Miles Wood,[ -3. -19.],2,18:26,NJD,MTL,NJD,1,MTL,8,1,0,8477425,2019020815,,2020-02-05,Giveaway by Miles Wood
94,giveaway,Blake Coleman,[-31.  -2.],2,16:23,NJD,MTL,NJD,1,MTL,8,2,0,8476399,2019020815,,2020-02-05,Giveaway by Blake Coleman
116,giveaway,Max Domi,[ 63. -31.],2,11:51,MTL,NJD,NJD,1,MTL,8,3,0,8477503,2019020815,,2020-02-05,Giveaway by Max Domi
139,giveaway,Kyle Palmieri,[-8.  5.],2,06:56,NJD,MTL,NJD,1,MTL,8,3,0,8475151,2019020815,,2020-02-05,Giveaway by Kyle Palmieri
153,giveaway,Jeff Petry,[21. 14.],2,03:15,MTL,NJD,NJD,1,MTL,8,3,1,8473507,2019020815,,2020-02-05,Giveaway by Jeff Petry
184,giveaway,Andy Greene,[-31.  38.],3,16:08,NJD,MTL,NJD,1,MTL,8,3,2,8472382,2019020815,,2020-02-05,Giveaway by Andy Greene
189,giveaway,Jack Hughes,[-8. 17.],3,15:11,NJD,MTL,NJD,1,MTL,8,3,2,8481559,2019020815,,2020-02-05,Giveaway by Jack Hughes
1,takeaway,Brendan Gallagher,[-6. -1.],1,19:58,MTL,NJD,NJD,1,MTL,8,0,0,8475848,2019020815,,2020-02-05,Takeaway by Brendan Gallagher
29,takeaway,Joel Armia,[  5. -38.],1,12:15,MTL,NJD,NJD,1,MTL,8,0,0,8476469,2019020815,,2020-02-05,Takeaway by Joel Armia
58,takeaway,Travis Zajac,[-31. -39.],1,05:01,NJD,MTL,NJD,1,MTL,8,1,0,8471233,2019020815,,2020-02-05,Takeaway by Travis Zajac
98,takeaway,Wayne Simmonds,[-22.  12.],2,15:38,NJD,MTL,NJD,1,MTL,8,2,0,8474190,2019020815,,2020-02-05,Takeaway by Wayne Simmonds
105,takeaway,Joel Armia,[31.  5.],2,13:40,MTL,NJD,NJD,1,MTL,8,2,0,8476469,2019020815,,2020-02-05,Takeaway by Joel Armia
123,takeaway,Jack Hughes,[-94.  21.],2,10:17,NJD,MTL,NJD,1,MTL,8,3,0,8481559,2019020815,,2020-02-05,Takeaway by Jack Hughes
142,takeaway,Joel Armia,[ 22. -17.],2,06:19,MTL,NJD,NJD,1,MTL,8,3,1,8476469,2019020815,,2020-02-05,Takeaway by Joel Armia
170,takeaway,Kevin Rooney,[94. -6.],3,17:57,NJD,MTL,NJD,1,MTL,8,3,2,8479291,2019020815,,2020-02-05,Takeaway by Kevin Rooney
177,takeaway,Blake Coleman,[-22.  39.],3,17:28,NJD,MTL,NJD,1,MTL,8,3,2,8476399,2019020815,,2020-02-05,Takeaway by Blake Coleman
198,takeaway,Dale Weise,[47. 40.],3,11:39,MTL,NJD,NJD,1,MTL,8,3,3,8474668,2019020815,,2020-02-05,Takeaway by Dale Weise
215,takeaway,Joel Armia,[ 30. -40.],3,07:21,MTL,NJD,NJD,1,MTL,8,3,4,8476469,2019020815,,2020-02-05,Takeaway by Joel Armia
229,takeaway,Wayne Simmonds,[70. 39.],3,03:04,NJD,MTL,NJD,1,MTL,8,3,4,8474190,2019020815,,2020-02-05,Takeaway by Wayne Simmonds
230,takeaway,Jack Hughes,[49. 35.],3,02:43,NJD,MTL,NJD,1,MTL,8,3,4,8481559,2019020815,,2020-02-05,Takeaway by Jack Hughes
253,takeaway,Travis Zajac,[45. 41.],4,00:34,NJD,MTL,NJD,1,MTL,8,4,4,8471233,2019020815,,2020-02-05,Takeaway by Travis Zajac
6,giveaway,Travis Konecny,[-71.  40.],1,18:42,PHI,NJD,PHI,4,NJD,1,0,1,8478439,2019020832,,2020-02-07,Giveaway by Travis Konecny
7,giveaway,Jack Hughes,[-92. -29.],1,18:39,NJD,PHI,PHI,4,NJD,1,0,1,8481559,2019020832,,2020-02-07,Giveaway by Jack Hughes
25,giveaway,Jesper Bratt,[62. -8.],1,11:22,NJD,PHI,PHI,4,NJD,1,0,1,8479407,2019020832,,2020-02-07,Giveaway by Jesper Bratt
61,giveaway,James van Riemsdyk,[ 28. -27.],1,01:45,PHI,NJD,PHI,4,NJD,1,0,1,8474037,2019020832,,2020-02-07,Giveaway by James van Riemsdyk
64,giveaway,Ivan Provorov,[ 24. -33.],1,01:39,PHI,NJD,PHI,4,NJD,1,0,1,8478500,2019020832,,2020-02-07,Giveaway by Ivan Provorov
67,giveaway,Matt Niskanen,[-39.  37.],1,00:42,PHI,NJD,PHI,4,NJD,1,0,1,8471702,2019020832,,2020-02-07,Giveaway by Matt Niskanen
87,giveaway,Andy Greene,[96. -7.],2,16:25,NJD,PHI,PHI,4,NJD,1,0,2,8472382,2019020832,,2020-02-07,Giveaway by Andy Greene
89,giveaway,Scott Laughton,[  3. -32.],2,15:16,PHI,NJD,PHI,4,NJD,1,0,2,8476872,2019020832,,2020-02-07,Giveaway by Scott Laughton
94,giveaway,Joey Anderson,[56. 35.],2,13:31,NJD,PHI,PHI,4,NJD,1,0,2,8479315,2019020832,,2020-02-07,Giveaway by Joey Anderson
96,giveaway,Michael Raffl,[  9. -11.],2,12:50,PHI,NJD,PHI,4,NJD,1,0,2,8477290,2019020832,,2020-02-07,Giveaway by Michael Raffl
