"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS/60","NZS/60","DZS/60","OTF/60","OZF/60","NZF/60","DZF/60","Ice_F/60","Ice_A/60"
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,217.52,2.69,55.09,30.62,5.79,1.66,13.79,56.82,8.83,4.14,1.38,0
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,76,211.43,2.78,51.3,23.84,5.39,2.27,19.58,45.69,11.64,3.97,0.57,0
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,178.68,2.67,48.74,26.86,5.71,1.68,25.18,53.06,12.09,3.02,0.34,0
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,80,165.05,2.06,40.55,25.45,11.63,2.54,31.63,45.08,16.72,3.27,0.73,0
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,137.45,1.68,32.65,19.64,11.35,3.06,48.45,37.1,18.33,3.93,0.44,0
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,95.25,1.42,28.49,21.42,6.3,3.15,54.8,38.43,12.6,8.19,3.15,0.63
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,55.2,1.84,27.27,18.48,22.83,2.17,32.61,27.17,28.26,4.35,1.09,0
"Aaron Voros","AARON.VOROS","07-08","MIN","L","L",1981-07-02,26,55,71.9,1.31,22.01,35.05,13.35,3.34,38.39,45.06,20.03,3.34,0,0
"Aaron Voros","AARON.VOROS","08-09","NYR","L","L",1981-07-02,27,54,83.52,1.55,24.39,25.86,6.47,4.31,41.67,38.07,10.06,6.47,0,0
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,63,105.75,1.68,27.15,17.59,9.65,4.54,48.23,34.04,17.02,6.24,0.57,0.57
"Adam Boqvist","ADAM.BOQVIST","19-20","CHI","D","R",2000-08-15,19,41,86.2,2.1,39.9,24.36,5.57,0.7,29.93,49.42,10.44,2.78,0,0
"Adam Fox","ADAM.FOX","19-20","NYR","D","R",1998-02-17,21,69,135.1,1.96,38.06,23.09,4,1.33,42.19,42.19,7.11,2.66,0.89,0
"Adam Gaudette","ADAM.GAUDETTE","18-19","VAN","C","R",1996-10-03,21,54,76.48,1.42,28.25,28.24,6.28,0.78,43.93,36.87,10.2,1.57,0.78,0
"Adam Gaudette","ADAM.GAUDETTE","19-20","VAN","C","R",1996-10-03,22,58,89.18,1.54,29.78,32.97,6.73,2.69,49.79,45.08,10.76,6.73,3.36,0
"Adam Henrique","ADAM.HENRIQUE","11-12","N.J","C","L",1990-02-06,21,73,119.1,1.63,32.24,15.62,5.54,2.02,56.93,22.17,13.1,4.53,0.5,0
"Adam Henrique","ADAM.HENRIQUE","12-13","N.J","C","L",1990-02-06,22,42,109.58,2.61,47.72,33.4,7.67,0.55,32.31,45.99,12.59,4.38,1.64,0
"Adam Henrique","ADAM.HENRIQUE","13-14","N.J","C","L",1990-02-06,23,77,162.08,2.1,42,24.43,6.29,3.7,40.72,40.35,11.48,5.92,0.37,0
"Adam Henrique","ADAM.HENRIQUE","14-15","N.J","C","L",1990-02-06,24,72,126.52,1.76,41.25,29.4,8.54,3.79,31.77,44.1,12.33,6.17,0.95,0
"Adam Henrique","ADAM.HENRIQUE","15-16","N.J","C","L",1990-02-06,25,79,191.87,2.43,49.73,25.64,8.13,0.94,27.52,44.41,12.51,2.81,0,0
"Adam Henrique","ADAM.HENRIQUE","16-17","N.J","C","L",1990-02-06,26,81,191.78,2.37,46.64,22.21,5.94,1.25,33.16,41.3,10.01,2.82,0.31,0
"Adam Henrique","ADAM.HENRIQUE","17-18","ANA","C","L",1990-02-06,27,56,136.5,2.44,60.56,34.73,3.96,0.44,10.11,50.99,6.15,0.88,0,0
"Adam Henrique","ADAM.HENRIQUE","17-18","N.J","C","L",1990-02-06,27,23,62.73,2.73,49.94,40.17,3.83,0,15.3,58.35,8.61,1.91,1.91,0
"Adam Henrique","ADAM.HENRIQUE","18-19","ANA","C","L",1990-02-06,28,82,180.5,2.2,51.64,33.24,7.65,1.33,11.97,54.18,12.96,3.66,0.66,0
"Adam Henrique","ADAM.HENRIQUE","19-20","ANA","C","L",1990-02-06,29,70,157.1,2.24,50.97,30.17,9.17,1.15,18.71,46.21,10.69,1.91,1.15,0
"Adam Larsson","ADAM.LARSSON","11-12","N.J","D","R",1992-11-12,18,65,103.27,1.59,30.27,20.92,9.88,1.74,17.43,43.58,19.75,4.65,0.58,0
"Adam Lowry","ADAM.LOWRY","16-17","WPG","L","L",1993-03-29,23,81,139.15,1.72,33.52,35.79,8.62,1.29,21.99,50.88,13.8,4.31,0.86,0
"Adrian Aucoin","ADRIAN.AUCOIN","07-08","CGY","D","R",1973-07-03,34,76,313.9,4.13,64.26,20.64,13,0.96,10.7,40.14,20.45,1.72,0.38,0
"Adrian Aucoin","ADRIAN.AUCOIN","08-09","CGY","D","R",1973-07-03,35,79,324.4,4.11,58.77,33.11,5.55,1.29,14.61,54.56,11.65,3.33,0.55,0
"Adrian Aucoin","ADRIAN.AUCOIN","09-10","ARI","D","R",1973-07-03,36,80,255.2,3.19,50.61,27.74,6.35,1.65,22.1,44.44,11.52,3.06,0.24,0
"Adrian Aucoin","ADRIAN.AUCOIN","10-11","ARI","D","R",1973-07-03,37,73,64.75,0.89,15.28,26.87,12.05,5.56,52.82,37.99,16.68,7.41,0,0
"Adrian Kempe","ADRIAN.KEMPE","17-18","L.A","L","L",1996-09-13,21,79,89.62,1.13,24.55,30.13,12.05,1.34,43.52,46.86,14.73,3.35,1.34,0
"Adrian Kempe","ADRIAN.KEMPE","18-19","L.A","L","L",1996-09-13,22,77,108.9,1.41,31.2,30.85,9.37,1.1,40.22,42.98,13.77,3.86,0,0
"Adrian Kempe","ADRIAN.KEMPE","19-20","L.A","L","L",1996-09-13,23,67,170,2.54,55.91,36.35,4.94,0,9.53,57.18,6.35,1.41,0.35,0
"Alan Quine","ALAN.QUINE","16-17","NYI","C","L",1993-02-25,23,58,66.82,1.15,26.14,14.37,3.59,1.8,56.57,26.04,5.39,8.08,3.59,0
"Alec Martinez","ALEC.MARTINEZ","10-11","L.A","D","L",1987-07-26,23,59,105.33,1.79,30.74,32.47,8.54,1.71,33.61,50.7,12.53,3.42,1.71,0
"Alec Martinez","ALEC.MARTINEZ","11-12","L.A","D","L",1987-07-26,24,51,90.4,1.77,35.32,29.2,9.96,2.65,38.5,42.48,14.6,5.97,1.33,0
"Alec Martinez","ALEC.MARTINEZ","13-14","L.A","D","L",1987-07-26,26,59,120.67,2.05,35.6,26.35,6.46,0,33.81,42.26,11.93,3.98,1.99,0
"Alec Martinez","ALEC.MARTINEZ","14-15","L.A","D","L",1987-07-26,27,54,108.32,2.01,40.08,15.51,4.99,4.43,43.21,41.54,9.97,6.65,1.66,0.55
"Alec Martinez","ALEC.MARTINEZ","15-16","L.A","D","L",1987-07-26,28,76,153.05,2.01,42.32,28.62,3.92,1.57,35.28,46.26,6.66,2.74,0.78,0
"Alec Martinez","ALEC.MARTINEZ","16-17","L.A","D","L",1987-07-26,29,80,174,2.17,44.01,26.21,5.17,1.03,37.24,42.76,11.72,4.14,0.69,0
"Alec Martinez","ALEC.MARTINEZ","17-18","L.A","D","L",1987-07-26,30,75,148.07,1.97,44.07,31.61,8.91,1.22,25.12,57.14,13.37,4.46,1.22,0
"Alec Martinez","ALEC.MARTINEZ","18-19","L.A","D","L",1987-07-26,31,57,72.2,1.27,27.67,23.27,7.48,1.66,40.72,40.72,12.47,4.16,0.83,0
