"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,217.52,83.76,86.09,85.51,86.95,87.99,20.01,3.88,188.33,30.43,250.27,42.42,312.31,46.86,21.62,2.95,16.13,157.9,207.85,265.45,18.67,10.62,87.25
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,76,211.43,82.89,86.91,87.08,88.47,87.45,16.67,3.44,158.6,23.88,214.35,31.8,296.33,38.63,19.3,2.77,13.23,134.72,182.55,257.7,16.53,10.51,85.59
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,178.68,86.97,88.49,90.28,91.9,88.3,18.76,2.81,184.74,24.02,242.91,26.16,317.71,28,18.86,2.5,15.95,160.72,216.75,289.71,16.36,10.15,88.3
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,80,165.05,94.69,84.46,85.35,87.02,90.19,18.02,1.01,160.61,29.54,212.44,36.45,283.01,42.21,18.39,2,17.01,131.07,175.99,240.8,16.39,11.22,96.58
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,137.45,79.87,81.23,82.63,83.24,81.92,16.11,4.06,128.65,29.73,167.25,35.17,201.99,40.67,14.77,3.26,12.05,98.92,132.08,161.32,11.51,12.52,86.34
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,95.25,92.22,81.87,84.52,85.63,93.16,10.31,0.87,81.99,18.16,105.96,19.4,134.07,22.5,9.81,0.72,9.44,63.83,86.56,111.57,9.09,12.57,95.21
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,55.2,100,79.13,78.71,81.42,81.64,5.1,0,34.32,9.05,41.04,11.1,65.46,14.94,3.78,0.85,5.1,25.27,29.94,50.52,2.93,14.86,100
"Aaron Voros","AARON.VOROS","07-08","MIN","L","L",1981-07-02,26,55,71.9,77.3,79.4,79.75,82.65,86.96,7.05,2.07,49.95,12.96,76.03,19.3,102.51,21.52,6.2,0.93,4.98,36.99,56.73,80.99,5.27,14.11,84.03
"Aaron Voros","AARON.VOROS","08-09","NYR","L","L",1981-07-02,27,54,83.52,48.16,81.55,85.88,88.47,84.54,3.93,4.23,68.65,15.53,108.36,17.81,144.92,18.89,9.68,1.77,-0.3,53.12,90.55,126.03,7.91,5.72,72.76
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,63,105.75,83.45,81.1,83.82,83.79,86.19,9.43,1.87,75.62,17.62,105.82,20.43,129.93,25.13,9.3,1.49,7.56,58,85.39,104.8,7.81,12.47,89.39
"Adam Boqvist","ADAM.BOQVIST","19-20","CHI","D","R",2000-08-15,19,41,86.2,88.2,80.89,84.12,86.54,90.49,7.4,0.99,68.89,16.28,91.5,17.27,122.86,19.11,8.66,0.91,6.41,52.61,74.23,103.75,7.75,10.74,93.92
"Adam Fox","ADAM.FOX","19-20","NYR","D","R",1998-02-17,21,69,135.1,93.93,78.86,83,83.53,89.23,14.39,0.93,112.15,30.06,161.15,33.01,214.93,42.38,14.75,1.78,13.46,82.09,128.14,172.55,12.97,12.83,96.91
"Adam Gaudette","ADAM.GAUDETTE","18-19","VAN","C","R",1996-10-03,21,54,76.48,86.88,81.24,82.37,86.15,79.52,7.15,1.08,50.93,11.76,74.12,15.86,98.13,15.78,5.59,1.44,6.07,39.17,58.26,82.35,4.15,14.04,90.82
"Adam Gaudette","ADAM.GAUDETTE","19-20","VAN","C","R",1996-10-03,22,58,89.18,100,82.79,84.44,85,91.98,15.95,0,74.79,15.55,104.06,19.17,141.9,25.04,8.83,0.77,15.95,59.24,84.89,116.86,8.06,21.33,100
"Adam Henrique","ADAM.HENRIQUE","11-12","N.J","C","L",1990-02-06,21,73,119.1,82.03,80.76,85.1,85.43,83.2,9.45,2.07,73.63,17.54,112.82,19.76,146.7,25.01,9.31,1.88,7.38,56.09,93.06,121.69,7.43,12.83,88.2
"Adam Henrique","ADAM.HENRIQUE","12-13","N.J","C","L",1990-02-06,22,42,109.58,71.7,80.03,82.8,86.61,76.93,7.88,3.11,75.23,18.77,105.69,21.96,157.47,24.34,9.07,2.72,4.77,56.46,83.73,133.13,6.35,10.47,83.43
"Adam Henrique","ADAM.HENRIQUE","13-14","N.J","C","L",1990-02-06,23,77,162.08,89.96,84.51,84.1,86.06,84.91,18.63,2.08,120.32,22.05,152.66,28.86,201.32,32.62,12.72,2.26,16.55,98.27,123.8,168.7,10.46,15.48,90.57
"Adam Henrique","ADAM.HENRIQUE","14-15","N.J","C","L",1990-02-06,24,72,126.52,91.79,79.98,80.96,84.15,82.92,20.12,1.8,82.84,20.74,122.64,28.84,163.94,30.87,11.94,2.46,18.32,62.1,93.8,133.07,9.48,24.29,91.32
"Adam Henrique","ADAM.HENRIQUE","15-16","N.J","C","L",1990-02-06,25,79,191.87,88.71,82.62,83.55,86.11,86.43,14.14,1.8,136.57,28.73,192.25,37.85,246.69,39.8,15.35,2.41,12.34,107.84,154.4,206.89,12.94,10.35,93.73
"Adam Henrique","ADAM.HENRIQUE","16-17","N.J","C","L",1990-02-06,26,81,191.78,68.79,79.3,82.66,84.95,80.14,16.33,7.41,148.19,38.69,204.62,42.92,265.57,47.04,19.21,4.76,8.92,109.5,161.7,218.53,14.45,11.02,80.85
"Adam Henrique","ADAM.HENRIQUE","17-18","ANA","C","L",1990-02-06,27,56,136.5,85.46,85.27,84.61,87.46,88.02,17.22,2.93,124.35,21.48,173.42,31.55,231.93,33.26,17.56,2.39,14.29,102.87,141.87,198.67,15.17,13.85,86.36
"Adam Henrique","ADAM.HENRIQUE","17-18","N.J","C","L",1990-02-06,27,23,62.73,84.01,81.24,85.2,85.23,88.24,10.19,1.94,65.03,15.02,97.03,16.85,118.49,20.54,8.1,1.08,8.25,50.01,80.18,97.95,7.02,15.67,87.08
"Adam Henrique","ADAM.HENRIQUE","18-19","ANA","C","L",1990-02-06,28,82,180.5,92.04,82.39,83.03,85.03,88.66,23.25,2.01,154.21,32.97,210.4,42.99,279.87,49.27,19.07,2.44,21.24,121.24,167.41,230.6,16.63,15.08,93.9
"Adam Henrique","ADAM.HENRIQUE","19-20","ANA","C","L",1990-02-06,29,70,157.1,92.94,82.5,84.83,85.92,91.03,11.46,0.87,127.17,26.97,168.84,30.2,227.53,37.3,16.54,1.63,10.59,100.2,138.64,190.23,14.91,9.01,96.77
"Adam Larsson","ADAM.LARSSON","11-12","N.J","D","R",1992-11-12,18,65,103.27,70.03,79.54,80.61,84.21,85.34,7.36,3.15,74.56,19.18,101.63,24.45,139.84,26.23,9.78,1.68,4.21,55.38,77.18,113.61,8.1,9.87,83.58
"Adam Lowry","ADAM.LOWRY","16-17","WPG","L","L",1993-03-29,23,81,139.15,93.06,83.81,85.65,86.24,90.28,14.49,1.08,134.55,26,186.73,31.29,234.94,37.47,17.36,1.87,13.41,108.55,155.44,197.47,15.49,10.77,95.85
"Adrian Aucoin","ADRIAN.AUCOIN","07-08","CGY","D","R",1973-07-03,34,76,313.9,89.53,83,84.74,86.44,90.26,33.68,3.94,253.7,51.95,353.86,63.71,463.57,72.71,32.07,3.46,29.74,201.75,290.15,390.86,28.61,13.28,92.42
"Adrian Aucoin","ADRIAN.AUCOIN","08-09","CGY","D","R",1973-07-03,35,79,324.4,75.63,83.26,85.31,87.5,85.8,30.73,9.9,248.1,49.89,359.4,61.87,466.56,66.64,31.12,5.15,20.83,198.21,297.53,399.92,25.97,12.39,80.16
"Adrian Aucoin","ADRIAN.AUCOIN","09-10","ARI","D","R",1973-07-03,36,80,255.2,88.34,87.45,88.65,89.71,89.83,22.66,2.99,191.43,27.46,270.99,34.7,373.95,42.87,22.44,2.54,19.67,163.97,236.29,331.08,19.9,11.84,89.11
"Adrian Aucoin","ADRIAN.AUCOIN","10-11","ARI","D","R",1973-07-03,37,73,64.75,100,81.9,78.15,81.4,88.11,2.18,0,40.13,8.87,51.79,14.48,70.93,16.21,4.15,0.56,2.18,31.26,37.31,54.72,3.59,5.43,100
"Adrian Kempe","ADRIAN.KEMPE","17-18","L.A","L","L",1996-09-13,21,79,89.62,81.17,75.69,78.48,82.26,86.49,8.32,1.93,79.54,25.55,106.65,29.25,145.48,31.37,9.86,1.54,6.39,53.99,77.4,114.11,8.32,10.46,92.45
"Adrian Kempe","ADRIAN.KEMPE","18-19","L.A","L","L",1996-09-13,22,77,108.9,59.51,76.37,77.5,79.18,72.08,5.88,4,83.7,25.9,116.68,33.88,147.16,38.7,10.35,4.01,1.88,57.8,82.8,108.46,6.34,7.03,84.56
"Adrian Kempe","ADRIAN.KEMPE","19-20","L.A","L","L",1996-09-13,23,67,170,100,84.79,87.86,90.05,93.65,18.77,0,169.08,30.34,232.72,32.15,300.57,33.2,20.34,1.38,18.77,138.74,200.57,267.37,18.96,11.1,100
"Alan Quine","ALAN.QUINE","16-17","NYI","C","L",1993-02-25,23,58,66.82,77.63,79.56,79.63,82.8,80.53,3.02,0.87,46.28,11.89,62.53,16,90.02,18.7,6.37,1.54,2.15,34.39,46.53,71.32,4.83,6.53,92.68
"Alec Martinez","ALEC.MARTINEZ","10-11","L.A","D","L",1987-07-26,23,59,105.33,100,90.06,89.79,91.65,90.73,5.74,0,81.98,9.05,125.3,14.25,177.35,16.16,8.81,0.9,5.74,72.93,111.05,161.19,7.91,7,100
"Alec Martinez","ALEC.MARTINEZ","11-12","L.A","D","L",1987-07-26,24,51,90.4,100,92.73,92.12,93.54,95.84,10.91,0,81.81,6.41,120.92,10.34,163.46,11.29,10.13,0.44,10.91,75.4,110.58,152.17,9.69,13.34,100
"Alec Martinez","ALEC.MARTINEZ","13-14","L.A","D","L",1987-07-26,26,59,120.67,90.39,93.01,92.39,93.88,93.56,10.16,1.08,114.88,8.64,172.88,14.23,232.2,15.15,15.55,1.07,9.08,106.24,158.65,217.05,14.48,8.84,87.5
"Alec Martinez","ALEC.MARTINEZ","14-15","L.A","D","L",1987-07-26,27,54,108.32,100,81.93,82.19,85.13,88.03,8.15,0,78.38,17.29,117.87,25.55,166.94,29.16,9.19,1.25,8.15,61.09,92.32,137.78,7.94,10.4,100
"Alec Martinez","ALEC.MARTINEZ","15-16","L.A","D","L",1987-07-26,28,76,153.05,95.95,89.81,90.24,90.9,89.91,23.47,0.99,144.44,16.38,215.84,23.35,290.52,29.09,17.56,1.97,22.48,128.06,192.49,261.43,15.59,16.25,93.96
"Alec Martinez","ALEC.MARTINEZ","16-17","L.A","D","L",1987-07-26,29,80,174,94.92,85.33,86.15,86.79,87.35,22.04,1.18,147.7,25.39,215.05,34.57,284.79,43.34,17.82,2.58,20.86,122.31,180.48,241.45,15.24,14.92,95.35
"Alec Martinez","ALEC.MARTINEZ","17-18","L.A","D","L",1987-07-26,30,75,148.07,86.03,80.79,83.31,85.24,91.52,18.05,2.93,144.38,34.32,200.35,40.14,265.88,46.03,18.88,1.75,15.12,110.06,160.21,219.85,17.13,12.5,91.46
"Alec Martinez","ALEC.MARTINEZ","18-19","L.A","D","L",1987-07-26,31,57,72.2,65.38,78.79,83.89,86.97,86.24,1.87,0.99,49.38,13.29,74.12,14.23,110.49,16.55,6.14,0.98,0.88,36.09,59.89,93.94,5.16,3.79,92.55
"Alec Martinez","ALEC.MARTINEZ","19-20","L.A","D","L",1987-07-26,32,41,60.98,100,81.46,82.69,84.68,84.6,5.98,0,58.54,13.32,72.78,15.24,94.23,17.05,6.21,1.13,5.98,45.22,57.54,77.18,5.08,10.22,100
"Aleksander Barkov","ALEKSANDER.BARKOV","13-14","FLA","C","L",1995-09-02,18,54,138.1,100,85.29,85.68,87.48,90.8,7.93,0,106.11,18.3,141.62,23.66,193.96,27.76,12.54,1.27,7.93,87.81,117.96,166.2,11.27,7.47,100
"Aleksander Barkov","ALEKSANDER.BARKOV","14-15","FLA","C","L",1995-09-02,19,71,150.53,84.36,87.04,84.28,86.61,86,15.53,2.88,128.93,19.19,160.99,30.02,212.28,32.82,14.56,2.37,12.65,109.74,130.97,179.46,12.19,12.05,84.99
"Aleksander Barkov","ALEKSANDER.BARKOV","15-16","FLA","C","L",1995-09-02,20,64,181.17,88.67,86.2,86.01,87.5,89.03,17.68,2.26,140.75,22.54,189.94,30.9,245.36,35.05,17.62,2.17,15.42,118.21,159.04,210.31,15.45,12.56,89.97
"Aleksander Barkov","ALEKSANDER.BARKOV","16-17","FLA","C","L",1995-09-02,21,59,165.12,89.15,87.8,90.09,91.69,89.54,17,2.07,169.72,23.58,235.14,25.86,305.27,27.67,20.29,2.37,14.93,146.14,209.28,277.6,17.92,10.02,91.22
"Aleksander Barkov","ALEKSANDER.BARKOV","17-18","FLA","C","L",1995-09-02,22,77,256,90.84,83.09,85.64,87.35,89.12,27.88,2.81,259.92,52.91,363.04,60.89,476.48,69.02,32.2,3.93,25.07,207.01,302.15,407.46,28.27,10.73,94.69
"Aleksander Barkov","ALEKSANDER.BARKOV","18-19","FLA","C","L",1995-09-02,23,82,275.4,81.73,82.06,83.85,85.6,84.45,44.61,9.97,255.74,55.9,368.12,70.9,486.49,81.84,32.69,6.02,34.64,199.84,297.22,404.65,26.67,17.44,82.16
"Aleksander Barkov","ALEKSANDER.BARKOV","19-20","FLA","C","L",1995-09-02,24,66,218.2,93.99,80.01,82.81,86.13,84.89,33.16,2.12,207.25,51.79,296.31,61.53,407.67,65.67,27.58,4.91,31.04,155.46,234.78,342,22.67,16,95.91
