"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"Aaron Ekblad","AARON.EKBLAD","14-15","FLA","D","R",1996-02-07,18,81,217.52,2.69,55.09,111,21,6,50,206,32,15,5,0
"Aaron Ekblad","AARON.EKBLAD","15-16","FLA","D","R",1996-02-07,19,76,211.43,2.78,51.3,84,19,8,69,161,41,14,2,0
"Aaron Ekblad","AARON.EKBLAD","16-17","FLA","D","R",1996-02-07,20,67,178.68,2.67,48.74,80,17,5,75,158,36,9,1,0
"Aaron Ekblad","AARON.EKBLAD","17-18","FLA","D","R",1996-02-07,21,80,165.05,2.06,40.55,70,32,7,87,124,46,9,2,0
"Aaron Ekblad","AARON.EKBLAD","18-19","FLA","D","R",1996-02-07,22,82,137.45,1.68,32.65,45,26,7,111,85,42,9,1,0
"Aaron Ekblad","AARON.EKBLAD","19-20","FLA","D","R",1996-02-07,23,67,95.25,1.42,28.49,34,10,5,87,61,20,13,5,1
"Aaron Johnson","AARON.JOHNSON","07-08","NYI","D","L",1983-04-30,24,30,55.2,1.84,27.27,17,21,2,30,25,26,4,1,0
"Aaron Voros","AARON.VOROS","07-08","MIN","L","L",1981-07-02,26,55,71.9,1.31,22.01,42,16,4,46,54,24,4,0,0
"Aaron Voros","AARON.VOROS","08-09","NYR","L","L",1981-07-02,27,54,83.52,1.55,24.39,36,9,6,58,53,14,9,0,0
"Aaron Ward","AARON.WARD","07-08","BOS","D","R",1973-01-17,34,63,105.75,1.68,27.15,31,17,8,85,60,30,11,1,1
"Adam Boqvist","ADAM.BOQVIST","19-20","CHI","D","R",2000-08-15,19,41,86.2,2.1,39.9,35,8,1,43,71,15,4,0,0
"Adam Fox","ADAM.FOX","19-20","NYR","D","R",1998-02-17,21,69,135.1,1.96,38.06,52,9,3,95,95,16,6,2,0
"Adam Gaudette","ADAM.GAUDETTE","18-19","VAN","C","R",1996-10-03,21,54,76.48,1.42,28.25,36,8,1,56,47,13,2,1,0
"Adam Gaudette","ADAM.GAUDETTE","19-20","VAN","C","R",1996-10-03,22,58,89.18,1.54,29.78,49,10,4,74,67,16,10,5,0
"Adam Henrique","ADAM.HENRIQUE","11-12","N.J","C","L",1990-02-06,21,73,119.1,1.63,32.24,31,11,4,113,44,26,9,1,0
"Adam Henrique","ADAM.HENRIQUE","12-13","N.J","C","L",1990-02-06,22,42,109.58,2.61,47.72,61,14,1,59,84,23,8,3,0
"Adam Henrique","ADAM.HENRIQUE","13-14","N.J","C","L",1990-02-06,23,77,162.08,2.1,42,66,17,10,110,109,31,16,1,0
"Adam Henrique","ADAM.HENRIQUE","14-15","N.J","C","L",1990-02-06,24,72,126.52,1.76,41.25,62,18,8,67,93,26,13,2,0
"Adam Henrique","ADAM.HENRIQUE","15-16","N.J","C","L",1990-02-06,25,79,191.87,2.43,49.73,82,26,3,88,142,40,9,0,0
"Adam Henrique","ADAM.HENRIQUE","16-17","N.J","C","L",1990-02-06,26,81,191.78,2.37,46.64,71,19,4,106,132,32,9,1,0
"Adam Henrique","ADAM.HENRIQUE","17-18","ANA","C","L",1990-02-06,27,56,136.5,2.44,60.56,79,9,1,23,116,14,2,0,0
"Adam Henrique","ADAM.HENRIQUE","17-18","N.J","C","L",1990-02-06,27,23,62.73,2.73,49.94,42,4,0,16,61,9,2,2,0
"Adam Henrique","ADAM.HENRIQUE","18-19","ANA","C","L",1990-02-06,28,82,180.5,2.2,51.64,100,23,4,36,163,39,11,2,0
"Adam Henrique","ADAM.HENRIQUE","19-20","ANA","C","L",1990-02-06,29,70,157.1,2.24,50.97,79,24,3,49,121,28,5,3,0
"Adam Larsson","ADAM.LARSSON","11-12","N.J","D","R",1992-11-12,18,65,103.27,1.59,30.27,36,17,3,30,75,34,8,1,0
"Adam Lowry","ADAM.LOWRY","16-17","WPG","L","L",1993-03-29,23,81,139.15,1.72,33.52,83,20,3,51,118,32,10,2,0
"Adrian Aucoin","ADRIAN.AUCOIN","07-08","CGY","D","R",1973-07-03,34,76,313.9,4.13,64.26,108,68,5,56,210,107,9,2,0
"Adrian Aucoin","ADRIAN.AUCOIN","08-09","CGY","D","R",1973-07-03,35,79,324.4,4.11,58.77,179,30,7,79,295,63,18,3,0
"Adrian Aucoin","ADRIAN.AUCOIN","09-10","ARI","D","R",1973-07-03,36,80,255.2,3.19,50.61,118,27,7,94,189,49,13,1,0
"Adrian Aucoin","ADRIAN.AUCOIN","10-11","ARI","D","R",1973-07-03,37,73,64.75,0.89,15.28,29,13,6,57,41,18,8,0,0
"Adrian Kempe","ADRIAN.KEMPE","17-18","L.A","L","L",1996-09-13,21,79,89.62,1.13,24.55,45,18,2,65,70,22,5,2,0
"Adrian Kempe","ADRIAN.KEMPE","18-19","L.A","L","L",1996-09-13,22,77,108.9,1.41,31.2,56,17,2,73,78,25,7,0,0
"Adrian Kempe","ADRIAN.KEMPE","19-20","L.A","L","L",1996-09-13,23,67,170,2.54,55.91,103,14,0,27,162,18,4,1,0
"Alan Quine","ALAN.QUINE","16-17","NYI","C","L",1993-02-25,23,58,66.82,1.15,26.14,16,4,2,63,29,6,9,4,0
"Alec Martinez","ALEC.MARTINEZ","10-11","L.A","D","L",1987-07-26,23,59,105.33,1.79,30.74,57,15,3,59,89,22,6,3,0
"Alec Martinez","ALEC.MARTINEZ","11-12","L.A","D","L",1987-07-26,24,51,90.4,1.77,35.32,44,15,4,58,64,22,9,2,0
"Alec Martinez","ALEC.MARTINEZ","13-14","L.A","D","L",1987-07-26,26,59,120.67,2.05,35.6,53,13,0,68,85,24,8,4,0
"Alec Martinez","ALEC.MARTINEZ","14-15","L.A","D","L",1987-07-26,27,54,108.32,2.01,40.08,28,9,8,78,75,18,12,3,1
"Alec Martinez","ALEC.MARTINEZ","15-16","L.A","D","L",1987-07-26,28,76,153.05,2.01,42.32,73,10,4,90,118,17,7,2,0
"Alec Martinez","ALEC.MARTINEZ","16-17","L.A","D","L",1987-07-26,29,80,174,2.17,44.01,76,15,3,108,124,34,12,2,0
"Alec Martinez","ALEC.MARTINEZ","17-18","L.A","D","L",1987-07-26,30,75,148.07,1.97,44.07,78,22,3,62,141,33,11,3,0
"Alec Martinez","ALEC.MARTINEZ","18-19","L.A","D","L",1987-07-26,31,57,72.2,1.27,27.67,28,9,2,49,49,15,5,1,0
